id,Time,Tweet
16458908,2023-01-30 16:31:10+00:00,b'RT @picphysicians: Are you aware of the association between aluminum in vaccines and childhood asthma? A recent study found that asthma occ\xe2\x80\xa6'
1550635965215113216,2023-01-30 16:29:52+00:00,b'RT @8mutualaidmem18: Ive always been immunocomp. Always had asthma.'
938851,2023-01-30 16:29:31+00:00,"b'Commenting on winning the competition, Eleanor said: \xe2\x80\x9cI thought of my backpack to help clean the air because some o\xe2\x80\xa6 https://t.co/zCnKApPZ6U'"
1332677043931279360,2023-01-30 16:28:44+00:00,b'someone is smoking on the bus i swear that\xe2\x80\x99s illegal what if i had life threatening asthma'
1197852392,2023-01-30 16:28:05+00:00,"b'RT @cbcwatcher: ""This is how you end up with climate outfits masquerading as health experts. One frequently cited study from the Rocky Moun\xe2\x80\xa6'"
1445128854809583616,2023-01-30 16:27:33+00:00,"b'RT @AgathaRaisin5: @jwingnut @ericareport Except for the ever rising #of kids with autism, asthma, food allergies, juvenile diabetes, etc t\xe2\x80\xa6'"
1016641744987799559,2023-01-30 16:27:25+00:00,"b""got lucky and got the asthma gene but i'm so lucky i might also have the migraine gene \xf0\x9f\x98\x82"""
1595918306,2023-01-30 16:27:17+00:00,b'Fun fact: Kensington Palace was bought by King William because he was searching for an area better suited for him t\xe2\x80\xa6 https://t.co/gQp4uXvNm4'
1497170562510118917,2023-01-30 16:26:37+00:00,b'@aoirthoir It makes them feel like crap. That 10 year old won\xe2\x80\x99t take their steroid shots for debilitating asthma be\xe2\x80\xa6 https://t.co/1H6ycshfV9'
855330755358019584,2023-01-30 16:25:48+00:00,"b'@piersmorgan Join the 1000s of Londoners like you: hayfever, asthma. Solution is easy: reduce cars, ban wood burnin\xe2\x80\xa6 https://t.co/ZHPA2D3d6U'"
731214928435118083,2023-01-30 16:25:42+00:00,b'@YungJoeyPullout @anarchoboognish @Diadelics was sitting in my apartment living room one time when someone just wal\xe2\x80\xa6 https://t.co/5PZsP2yZcd'
14398840,2023-01-30 16:25:34+00:00,"b'""This is how you end up with climate outfits masquerading as health experts. One frequently cited study from the Ro\xe2\x80\xa6 https://t.co/Xrxni7h9rq'"
1125727031407173634,2023-01-30 16:24:21+00:00,"b'How Chest tightness and Asthma are linked? Learn more about the symptoms, causes, diagnosis, and treatment. #health\xe2\x80\xa6 https://t.co/V85Eg3VIcM'"
3413374269,2023-01-30 16:24:20+00:00,b'RT @Michele_Tafoya: \xe2\x80\x9cThis is how you end up with climate outfits masquerading as health experts. One frequently cited study from the Rocky\xe2\x80\xa6'
1544196037656584193,2023-01-30 16:24:00+00:00,b'@Peatches66 Glad you\xe2\x80\x99re home. Wishing you a better day and some good healing slowly. Try to rest as you can I\xe2\x80\x99m sur\xe2\x80\xa6 https://t.co/xXePH0BKih'
1123968030592122882,2023-01-30 16:23:04+00:00,b'@wonder_cripple When I was 6 years old I had to go to the emergency room for an asthma attack. They had to put me a\xe2\x80\xa6 https://t.co/mASFDArXkv'
1561018581835403264,2023-01-30 16:22:31+00:00,"b""RT @EpochHealth1: It\xe2\x80\x99s found in nearly everything you eat, but there're very good reasons to steer clear of it. This \xe2\x80\x98homegrown\xe2\x80\x99 oil create\xe2\x80\xa6"""
4152782833,2023-01-30 16:22:20+00:00,b'Me: what do you mean I might have asthma?? \n\nAlso me: I already can\xe2\x80\x99t see. Now I can\xe2\x80\x99t breathe?? \n\nAlso also me: th\xe2\x80\xa6 https://t.co/BarTDVLCtn'
2233962596,2023-01-30 16:21:44+00:00,"b'RT @DebbieRevor: @SabinehazanMD My husband and I, 61 and 66 at the time, did great on ivermectin and immune supplements. I have asthma, He\xe2\x80\xa6'"
589676920,2023-01-30 16:21:36+00:00,b'Distracting myself to not mind my asthma'
