,Tweet,tags,Cleaned_tweet,Subjectivity,Polarity,Sentiment,Noun_phrases,Adjectives,final
0,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',fever,runny nose tear eye fever headache loss appetite chill nausea idk im functioning work,0,0,Neutral,"['runny', 'nose tear eye', 'fever', 'headache', 'loss', 'appetite', 'chill', 'nausea', 'idk', 'im', 'functioning', 'work']","['nose', 'tear']",Join a yoga class or a meditation group
1,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'",fever,hot cold sometimes usually cold mean thing turning around like fever breaking ,0.84375,-0.45625,Negative,"['cold mean thing', 'fever', 'breaking']","['hot', 'cold', 'cold', 'mean']",Dress in Light Clothing.
2,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'",fever,cytomegalovirus colitis complication cd lt cells microl s s nausea fever abd pain diarrhea hemorrhag ,0,0,Neutral,"['cytomegalovirus', 'colitis', 'complication', 'cd', 'lt', 's s', 'nausea', 'fever', 'abd', 'pain', 'diarrhea', 'hemorrhag']",['s'],A Course in Miracles by Foundation for Inner Peace (book)
3,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb',fever,l know otli matli nausea vomiting  sar me darad headache. bukhar fever. takleef ,0,0,Neutral,"['l', 'matli', 'nausea', 'darad headache', 'bukhar', 'fever', 'takleef']",['darad'],A Course in Miracles by Foundation for Inner Peace (book)
4,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',fever,went fever cough sore throat flu perma sneezing nosebleed nausea span day pls send help,0,0,Neutral,"['cough sore', 'throat', 'flu', 'perma', 'nosebleed nausea', 'span', 'day', 'send', 'help']","['cough', 'nosebleed']",The War of Art: Break Through the Blocks and Win Your Inner Creative Battles by Steven Pressfield (book)
5,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',fever,the initial sick day covid absolutely brutal  days later fever nausea killing today weird fucking disease,0.731428571,-0.537857143,Negative,"['the initial sick day', 'nausea', 'today', 'weird fucking', 'disease']","['initial', 'sick', 'brutal', 'weird']",Dress in Light Clothing.
6,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',fever, disco fever disco nausea disco stomach cramp died disco dysentery,0,0,Neutral,"['disco', 'fever', 'disco', 'nausea', 'disco', 'stomach', 'cramp', 'disco dysentery']",['disco'],plan a weekend getaway to a nature retreat or spa
7,b'fever and flu starting thursday tonight ; feeling nausea',fever,fever flu starting thursday tonight feeling nausea,0.1,0,Neutral,"['thursday tonight feeling', 'nausea']","['thursday', 'tonight']","take up a new hobby or creative pursuit, such as painting, photography, or writing"
8,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',fever,may fever nausea everyone talking baby encrypted code,0,0,Neutral,"['nausea', 'everyone', 'baby', 'code']",[],The How of Happiness by Sonja Lyubomirsky (book)
9,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'",fever,also vomiting nausea diarrhoea shaking periphery dyspnea fever etc,0,0,Neutral,"['nausea', 'diarrhoea', 'periphery', 'dyspnea', 'fever', 'etc']",[],Mindfulness-Based Stress Reduction Course 
