,id,Time,Tweet
0,1.52709E+18,2023-02-14 16:19:14+00:00,"b""@thepupmommy My wife and I couldn't have a baby, so we adopted a cat instead.\n\nA year or so after that, I developed... https://t.co/jMqb6U6Hpi"""
1,187989747,2023-02-14 16:18:57+00:00,"b""RT @shmallergy: Bring your loved one a safe sweet this #Valentine's Day! There are LOTS of #foodallergy -friendly #bakeries out there who a..."""
2,8.91271E+17,2023-02-14 16:18:53+00:00,"b""Hey everyone I had a severe allergy attack last night that hasn't exactly ended yet, so I'm holding off on today's... https://t.co/Unwr4TZhH5"""
3,1332417834,2023-02-14 16:18:28+00:00,"b""RT @FoodAllergy: Happy Valentine's Day! \nTodays the day for EVERYONE to feel loved!  \nOur Send Love, Not Allergens campaign is the pe..."""
7,2520776000,2023-02-14 16:17:01+00:00,b'i take allergy medicine every morning!!! this is ridiculous!! allergens go back home no one likes you!!!'
9,15222008,2023-02-14 16:15:49+00:00,b'RT @PAGreenbuilding: Improving Indoor Air Quality with Product Testing - Allergy Standards Ltd.: https://t.co/TztUS0BSwm @allergystandard C...'
11,161900763,2023-02-14 16:15:18+00:00,b'New allergy meds might be kicking my butt really hard today...  Super drowsy'
13,207079872,2023-02-14 16:14:33+00:00,"b""RT @GlassHalfWrong: @SparksN123 I've heard that if you are not exposed to nuts as a child you can actually develop an allergy to them. PB&amp;J..."""
14,1.61743E+18,2023-02-14 16:14:22+00:00,b'\n\n(allergy)\n'
16,1233533119,2023-02-14 16:14:09+00:00,"b""Today's symptoms:  headache, difficulty being in a lighted room, sore throat, dry cough, a bit of breathlessness ru... https://t.co/SHyFtearwU"""
17,1.15109E+18,2023-02-14 16:13:25+00:00,b'tabang akong allergy nilala yawa oy di nasad ko katarong ug tulog ani'
19,246664168,2023-02-14 16:12:27+00:00,"b'@Agent131711 My teeth, ears and neck glands typically all hurt in spring with snow mold, pollen etc. My allergies w... https://t.co/Vmpdw8cd8P'"
21,1.55618E+18,2023-02-14 16:11:48+00:00,b'bandaid allergy'
23,1.52089E+18,2023-02-14 16:10:25+00:00,"b""If y'all could keep @joker12979  in your prayers we would appreciate it. \nHe got his allergy shots today and had an... https://t.co/eqBrfvu4CW"""
25,303849876,2023-02-14 16:09:46+00:00,b'I have allergy for money being wrongly spent https://t.co/AoN1LZCktK'
27,41510212,2023-02-14 16:08:23+00:00,b'Roses are red\nViolets are blue\nOh no. I have a pollen allergy\nAchoooo!'
29,747563359,2023-02-14 16:08:09+00:00,b'i have a very strong suspicion that allergy season has already started '
30,3184559611,2023-02-14 16:07:47+00:00,"b""FoodAllergy: Happy Valentine's Day! \nTodays the day for EVERYONE to feel loved!  \nOur Send Love, Not Allergen... https://t.co/TayY0zfwXA"""
31,23143287,2023-02-14 16:07:37+00:00,b'Food #allergy is an immune system reaction that occurs soon after eating a certain food. https://t.co/XqD4kHOsLt https://t.co/sRgRISb2Zg'
33,365999380,2023-02-14 16:06:41+00:00,"b'RT @Uncle_Obinna: ""I have an allergy for money being wrongly spent"".\n\nThis man sey worry o.'"
34,1651215006,2023-02-14 16:06:26+00:00,"b'@Slev___ @aliamethyst I also suffer from this specific adhesive allergy, exactly what happens to mine.\n\nI switched... https://t.co/L6biyPXmtu'"
36,21225737,2023-02-14 16:04:58+00:00,"b""@WhirledCitizen_ Wish I'd had room to fit it in the tweet. Thanks for asking! Here's a grab off their website to ex... https://t.co/langTaQQI6"""
37,1305627180,2023-02-14 16:04:26+00:00,"b""Without proper sleep, you'll never feel energized. If allergies are keeping you up at night, it's time for a change... https://t.co/jl552BFJ52"""
38,3023502906,2023-02-14 16:04:23+00:00,b'Some of the best ways to accommodate a child with allergies are by using separate cooking utensils and washing surf... https://t.co/OQpNU1Zq9J'
40,1.35773E+18,2023-02-14 16:04:01+00:00,"b'With all of the unmet needs within the #allergy community, Revolo is dedicated to changing that with our product in... https://t.co/57zsmIohSK'"
41,442009790,2023-02-14 16:03:40+00:00,"b""Happy Valentine's Day from our team at Hedberg Allergy &amp; Asthma! https://t.co/OgAcx3G7a4"""
42,14315513,2023-02-14 16:03:17+00:00,"b'@markchristie Might be nut allergy stuff? That stuff is taken very seriously. There are some real fun police watching lunch boxes, though'"
43,3304014503,2023-02-14 16:02:33+00:00,b'RT @Mackobra1: I have ALLERGY for MONEY being WRONGLY spent ~ Peter Onwuanusi Taiwo Mustafa Terfa Obi'
44,600295692,2023-02-14 16:02:04+00:00,b'Spring is near. If you suffer from #allergies try these all natural at home remedies that can Safeguard you against... https://t.co/cXHAerwLxO'
45,8.36613E+17,2023-02-14 16:02:00+00:00,"b'I really find joy in giving people, hehe. Pero allergy ako sa opportunist'"
46,2337419532,2023-02-14 16:01:50+00:00,"b""yu47Y  You're suffering from an allergy?           #   #   #   #                    https://t.co/XFkYnqc9jH"""
47,1.60867E+18,2023-02-14 16:01:40+00:00,b'Real tempted to just allergy pill myself to sleep but Im not tryin to waste time like that.'
