,id,Time,Tweet
1,2447961475,2023-02-14 16:40:12+00:00,b'.@CDCgov report: Too few US children with #sicklecell anemia receive recommended screening or treatment. &lt;50% of th... https://t.co/2aYeDu7R3N'
5,1333374505931198466,2023-02-14 16:38:01+00:00,b'eu tava fazendo questao de anemia ai dormi e sonhei que eu tinha uma anemia que ngm descobria oq era e tinham todos... https://t.co/qsUZmFSqGI'
7,204970444,2023-02-14 16:37:25+00:00,"b'la verdad es que ando tan cansada que no se si tengo anemia, depresion o simplemente soy una pajera'"
9,1593276163132112897,2023-02-14 16:37:12+00:00,"b'Even before my ed I have been struggling with anemia literally since childhood, does anybody know why??'"
13,1230594840255225863,2023-02-14 16:36:09+00:00,"b'Bueno, por culpa de estar menstruando, la anemia y que no comi en todo el dia, me dio un mareo, pote y mi familia m... https://t.co/4FTqvW8ReH'"
14,1230594840255225863,2023-02-14 16:35:39+00:00,"b'Bueno, por culpa de estar menstruando, la anemia y que no comi en todo el dia, me dio un mareo, pote y mi familia m... https://t.co/LG75mkPO6p'"
17,1196400099586215936,2023-02-14 16:34:24+00:00,b'Valentine ku diisi dgn puasa dan anemia'
18,384384667,2023-02-14 16:33:46+00:00,b'Can you wipe out Sickle Cell Anemia with better/consistent application of effort to the Science of Eradicating? https://t.co/LI9uqVCE9R'
19,1437744311966257153,2023-02-14 16:33:23+00:00,b'mermao eu tenho anemia'
25,1060492367961178112,2023-02-14 16:31:41+00:00,b'@DrArabiFrank What kills them is\nObstructed pregnancy\nProlonged Labour\nPre-eclampsia/Eclampsia\nAntepartum haemorrha... https://t.co/aGPfTYNzwf'
29,391344883,2023-02-14 16:30:55+00:00,"b'gran avance para el cuidado de la Pachamama, yo no puedo evitar ver decenas de miles de ninos con problemas de desn... https://t.co/Vu4pWgsPP8'"
31,1466542078377271300,2023-02-14 16:30:11+00:00,"b'@quay_dr @R_H_Ebright 3/so many ppl died, I know I should be grateful, but after severe infection 2020,I now have r... https://t.co/FGftcEm2ZY'"
38,22139525,2023-02-14 16:27:42+00:00,b'@_CROPES_ @StevenDJBaumann @TakeThatDarwin @derShasta THAT example is literally the only one I have have been heari... https://t.co/7wtlBP3NIW'
43,1372594682425905158,2023-02-14 16:26:32+00:00,"b'ultimamente me estoy mareando como 6 veces al dia, sera el comienzo de mi anemia era?'"
