,id,Time,Tweet
1,1169775415,2023-02-14 15:40:12+00:00,"b'STEELE Water Fact- When dehydrated, airways are restricted by the body to minimize water loss. This can make asthma... https://t.co/ES41FDa1ho'"
2,837186017501331456,2023-02-14 15:39:49+00:00,"b""@ShieldMouse NO BC I'M CRYING LIKE IM ABT TO HAVE AN ASTHMA ATTACK OKG """
3,1281186137109925893,2023-02-14 15:39:48+00:00,"b'""Love is in the air""\n\nAsthma patients : https://t.co/qrrdBatgC7'"
4,2976676220,2023-02-14 15:39:44+00:00,b'Tigas ulo nag mango shake pa ako. Tonsillitis tuloy road to asthma '
5,1536036590119682049,2023-02-14 15:39:18+00:00,b'@mattyseventeen @MattWalshBlog Any of those experts think it might be wise to get folks out of the area while they... https://t.co/Rwv0n3VX3X'
6,23866756,2023-02-14 15:39:11+00:00,b'@Covid_Stinks @CityOfVictoria @MarianneAlto My husband ventured downtown yesterday and came home yet again shaking... https://t.co/1BbvYtAmnT'
7,1411358700934033412,2023-02-14 15:39:06+00:00,b'@oksoshhh Asthma '
9,94962756,2023-02-14 15:38:45+00:00,"b'RT @BolaOwolabi8: NEW BLOG from Dr Martin Allen on high quality, low carbon respiratory care that improves lung health outcomes for patien...'"
11,1172592878947905537,2023-02-14 15:38:38+00:00,"b'NEW BLOG from Dr Martin Allen on high quality, low carbon respiratory care that improves lung health outcomes for... https://t.co/5BOEdbp8HU'"
13,2876907620,2023-02-14 15:38:15+00:00,b'@OkeyaDesu wwwwwwwwww'
14,168654286,2023-02-14 15:38:08+00:00,b'@IppoAng Completely agree. Positive thinking will not treat your disease. \n\nWanting to be healthy does not cure lon... https://t.co/FkJp69BA9C'
15,2876907620,2023-02-14 15:38:00+00:00,b'@fujii_takafumi_ '
18,2876907620,2023-02-14 15:36:48+00:00,b'@bass9808 Bondee!!!!'
19,2876907620,2023-02-14 15:36:05+00:00,b'@OkeyaDesu '
20,833466915561431040,2023-02-14 15:35:10+00:00,b'@VP Make ALBUTEROL ASTHMA INHALERS available Over the Counter.\nMore and more adults and children are developing Ast... https://t.co/kql4HhwYPH'
21,799195448217108481,2023-02-14 15:33:36+00:00,b'RT @iang_uk: Roses are red \nSalbutamol is blue \nIf you need it 3 times per week\nBook an #asthma review (with your Nurse or GP)\n#Happy...'
22,28892884,2023-02-14 15:33:33+00:00,b'i can only make the new york dates so i cant wait to come back to canada with shit skin and asthma again :)'
23,250524094,2023-02-14 15:33:14+00:00,b'@asthma___chan !\n:>\n?'
24,1481361640268439556,2023-02-14 15:33:08+00:00,"b""Free CEU's for the 2022 Asthma Summit available: https://t.co/V7MtPwhYKn https://t.co/4WHfG1PEQ2"""
27,1420488591747256321,2023-02-14 15:31:51+00:00,b'gonna go have a cigarette break this lana cover is giving me an asthma attack and i need nicotine x'
28,1502950781456207874,2023-02-14 15:31:13+00:00,"b'I have never felt more like a walking chemist than I do right now. Antibiotics for the viral infection, steroids as... https://t.co/W8UGjoBXU7'"
30,849918669832413184,2023-02-14 15:30:03+00:00,"b'#iCliniq Q. What is the ideal dosage of Betamethasone Dipropionate for bronchitis, COPD, or asthma? #Pulmonology https://t.co/yard8tzp68'"
32,1106935589725790208,2023-02-14 15:28:31+00:00,b'@anotherleratoo We finally got him on that asthma treatment.'
33,358159591,2023-02-14 15:28:30+00:00,"b'@MarioNawfal All these poor people are going to come down with multiple chemical sensitivity, asthma, reactive airw... https://t.co/XxJB4AFirA'"
34,730603182896746496,2023-02-14 15:28:06+00:00,"b'pollutants have been linked to asthma, heart disease, reproductive dysfunction and cognitive impairment\n\ndo Mormons... https://t.co/eXNeFpFeC1'"
37,332230204,2023-02-14 15:27:05+00:00,"b'@joeolivermd So happy for my 5th shot, especially with asthma. After masking for almost 3 years now, avoiding publi... https://t.co/6yJAfoG5a5'"
39,1478531501495300096,2023-02-14 15:26:46+00:00,b'@asthma___chan !~!!\n:(` c):'
40,73277273,2023-02-14 15:24:47+00:00,"b'@ReddogOHIO My cat has asthma, not severe but just enough. Episodes every 6 months on top of other issues. I can NO... https://t.co/coKc208FTU'"
41,1584407508063485952,2023-02-14 15:24:46+00:00,b'@badi_bri @xmiyahh yeah Im gonna judge people who wanna walk around 9months carrying a baby while smoking knowing... https://t.co/97OmJf6pap'
42,85370662,2023-02-14 15:24:45+00:00,"b'@atrueindyscot Thanks. Chest infection/Asthma, unfortunately Im more than used to it x'"
43,1259178745845485568,2023-02-14 15:24:02+00:00,"b'RT @HappyCamper2626: @KamalaHarris ""I have effects from the vaccine...it was the 2nd shot that I now developed asthma that has never gone a...'"
44,16334429,2023-02-14 15:24:01+00:00,"b'In #Syria, we continue to support functioning healthcare facilities. Last week, our teams delivered 15 metric tons... https://t.co/fqtN93rAb8'"
45,1603895255694282752,2023-02-14 15:23:51+00:00,b'RT @Lynn4freedom11: @JimmyLevyMusic I live @ 40 miles SE of that train derailment and I have been suffering from aggravated asthma symptoms...'
