,id,Time,Tweet
0,1521984934772060160,2023-02-14 15:50:56+00:00,"b""@purplekisstrend Buff the SLAYer \n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
1,1323639536350617602,2023-02-14 15:50:52+00:00,"b'@horsepower kids whole account is a fever dream, fortnite tournament leaderboards to tapn for methods LMFAO'"
3,18013990,2023-02-14 15:50:47+00:00,b'Catching a fever. Need someone to do a kerokan for me. Anyone?'
4,868972807115468800,2023-02-14 15:50:35+00:00,"b""But somehow it started to feel like it wasn't real. It was just a fever dream.... https://t.co/NZTVaitBsx"""
7,1521984934772060160,2023-02-14 15:50:21+00:00,"b""@purplekisstrend Sabrina the teenage witch\n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
10,325075015,2023-02-14 15:50:06+00:00,b'how many sweet treats to cure fever estimate'
12,1119063088945221632,2023-02-14 15:50:01+00:00,"b'@fluffyliltae Ikr, feels like a fever dream for me '"
15,1614571063484239873,2023-02-14 15:49:57+00:00,b'RT @PathinaSrinu: The #PoonakaluLoading fever continues \n@KChiruTweets @dirbobby @ThisIsDSP #Waltairverayya #BlockbusterWaltairVeerayya...'
16,1167252823639093248,2023-02-14 15:49:56+00:00,b'RT @haruca92: ShazamMAX CHANGMINFever https://t.co/2Jn5s8xH1b'
17,814995058994900993,2023-02-14 15:49:55+00:00,b'RT @speliviaspr: https://t.co/d7fErog7f6'
18,1465067811924230147,2023-02-14 15:49:49+00:00,"b""101  Night Fever on Valentine's Day !!!\nGamble Rumble\n\n!\n\n?\nPON?\n... https://t.co/iGHPbrQr5G"""
21,1520113018092535809,2023-02-14 15:49:43+00:00,b' 5555555'
22,814995058994900993,2023-02-14 15:49:35+00:00,b'RT @CLGlifer:  https://t.co/hY7WrnfeaF'
23,535505365,2023-02-14 15:49:29+00:00,b'RT | PRE #ENHYPEN Fever Dance Practice ()\n\n#SUNOO CONVERSE: RUN STAR HIKE OX ( -10%)\n: 3390\n( 1790)... https://t.co/HHQ7bgj5Ou'
24,1577687730108219392,2023-02-14 15:49:12+00:00,"b""RT @ENHYPEN_ENGENE: [] REMINDER\n\nPlease keep streaming ENHYPEN () 'FEVER' Official MV on YouTube. Our daily views are increasing slowl..."""
25,749716911848468482,2023-02-14 15:49:11+00:00,b'RT @IQWrestler: this was my fever dream last night https://t.co/sY2r5ULxSx'
26,1389736913691582468,2023-02-14 15:49:07+00:00,b'\n:\n:\n\nGuilty Eyes Fever\n\nGuilty Kiss\n! !!'
27,3405338470,2023-02-14 15:49:06+00:00,"b'RT @mkaketo: #EquatorialGuinea confirms #Marburg  outbreak-09 confirmed dead \n\nDr Matshidiso Moeti, WHO Regional Director for Africa: Marb...'"
28,1520735662634573824,2023-02-14 15:49:02+00:00,b'PSYCHIC FEVER LIVE TOUR 2023 P.C.F\n\n6/13  Zepp Namba 2\n       6/15  Zepp Nagoya 2\n       6/26  Zepp Ha... https://t.co/jsKK5WsWo2'
29,1521984934772060160,2023-02-14 15:49:00+00:00,"b""@purplekisstrend Blair witch project \n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
30,1283398889597366278,2023-02-14 15:48:58+00:00,b'ShazamMAX CHANGMINFever https://t.co/2Jn5s8xH1b'
32,377424514,2023-02-14 15:48:47+00:00,b'WGN morning news is occasionally a fever dream. https://t.co/0HjbHyqlvi'
33,1602999527895699456,2023-02-14 15:48:41+00:00,b'@wckedgxmes on a dit baby fever?!'
34,1125753132888158208,2023-02-14 15:48:39+00:00,b'RT @GObyYaya: OPEN FAST PO ALBUM ATEEZ ZERO FEVER PART 2\n\n 16.500/album\n\nAvail : A &amp; Z ver\n\n bersih kr\n pilih versi\n sealed\n ems tax...'
35,1167252823639093248,2023-02-14 15:48:38+00:00,"b""RT @haruca92: MAX CHANGMIN \n' #Fever ' Dance Practice\n\nhttps://t.co/nSCIjuTztk\n\n# # #MAXCHANGMIN\n#MAXCHANGMIN_Devil #Devil htt..."""
36,628013,2023-02-14 15:48:35+00:00,b'I just added Bike Night Live 2/9/23 to Cycle Fever TV on #Vimeo: https://t.co/1k5bA1M1dH'
39,1283398889597366278,2023-02-14 15:48:27+00:00,"b""MAX CHANGMIN \n' #Fever ' Dance Practice\n\nhttps://t.co/nSCIjuTztk\n\n# # #MAXCHANGMIN\n#MAXCHANGMIN_Devil... https://t.co/sEzv72rfq2"""
41,1604792468305764352,2023-02-14 15:48:24+00:00,b'jai un baby fever omg eclatez moi le crane.. i cant have a baby now il va etre scorpion '
42,814995058994900993,2023-02-14 15:48:20+00:00,"b""I seriously can't do this anymore  https://t.co/qnKIYuNFkw https://t.co/lJo5QiROys"""
43,1518881620677251072,2023-02-14 15:48:19+00:00,b'@JoJoFromJerz The country is burning and you still got Trump fever! Special one!'
44,1428568359935770628,2023-02-14 15:48:13+00:00,"b'RT @raquelleeeee:  HELP RT \nwts // want to sell // lfb\n\n Enhypen photocard Heeseung, Jay, Jake\n\n Dom Jkt\n Boleh book keep event\n...'"
46,1432803376287428614,2023-02-14 15:48:12+00:00,b'@Piquelme21 Mbappe or R9 are more overpriced and never worth 10 million and more. Some ppl must have fever to buy them for that price.'
47,922391498259353601,2023-02-14 15:48:08+00:00,"b""still can't believe this announcement isn't just a fever dream coz wdym a solo tour??"""
48,531419283,2023-02-14 15:48:06+00:00,b'Managed to go out for an hour tonight  and now I have a fever hahahahaha'
49,21546951,2023-02-14 15:48:03+00:00,"b""@como_belladonna I mean at least it isn't baby fever"""
54,332067313,2023-02-14 15:47:56+00:00,b'@skzhealingplace Get well soon I also got fever today maybe its the season where many people get sick '
55,1168267402460766208,2023-02-14 15:47:51+00:00,"b""I'm so upset. I'm basically too sick to go to the The Kooks concert in Berlin today as I got a fever too now and I'... https://t.co/k9nYA5Hgvh"""
56,2775673399,2023-02-14 15:47:42+00:00,b'   Fever   Kun-Foo Boy   Basement  '
59,1263081299301949448,2023-02-14 15:47:36+00:00,"b'@Heedeungethan Hii, you may offer for the hee ld hybee and for the fever pob the price is already in the picture.'"
62,1498613501820309504,2023-02-14 15:47:28+00:00,b'ih yaallah merinding gue bayangin min yoongi bawain people di tanah air indonesia raya ini.. sounds like fever dream to me '
63,1176108775184445440,2023-02-14 15:47:27+00:00,"b'High on fever, Early Good Night Fam  https://t.co/4j48C6DJrB'"
64,323420067,2023-02-14 15:47:16+00:00,b'PJM1 feels like a fever dream   https://t.co/HEouYZ8lDL'
67,2326787923,2023-02-14 15:47:09+00:00,"b'disease known as Texas fever was held\nto work n\n_Coupon_Iherb_I_Herb_Code_s_\nhurt, but\nabove all he https://t.co/EBeI3QjYxI'"
68,748265249837559808,2023-02-14 15:47:07+00:00,"b""turn ons: Brendon's v, ryan's hobo look during fever and George Ryan Ross III's livejournal dont @ me"""
69,1436142046138417159,2023-02-14 15:47:01+00:00,b'@fever_noachin '
71,2676977953,2023-02-14 15:46:53+00:00,b'@inshal_says Nice fever deer'
72,3196187100,2023-02-14 15:46:50+00:00,b'DAMN THERE WAS ZERO CONTEXT WHEN I ASKED TO HIM TO COMR BACK HERE I JUST MISSED HIM THATS ALL BUT OMG IT SUDDENLY M... https://t.co/BTw0NygoYI'
73,1025524980212105217,2023-02-14 15:46:45+00:00,b' Trigger the fever '
74,1361125055892254721,2023-02-14 15:46:40+00:00,b'@Dusk_tilldawnn Ye fever utar rha'
75,1349577728563924992,2023-02-14 15:46:37+00:00,b'RT @_wltjd25: Hello Future/https://t.co/hKV2LkK2LV()\nWe Go Up/https://t.co/x3WXxlz6Tl(2)\nTrigger the Fever/https://t.co/v7DRl7w3y...'
76,1139940618484867072,2023-02-14 15:46:31+00:00,b'Baby fever'
79,893526548103475200,2023-02-14 15:46:14+00:00,b'@OverlordMilkuwu Valid https://t.co/uFUVhSeH9R'
82,1572912793476825089,2023-02-14 15:46:06+00:00,b'@raquelleeeee How much for hee fever pob and hee hybe ld?'
90,955700255906971648,2023-02-14 15:45:45+00:00,b'fever fever fever~'
92,1508831267433103364,2023-02-14 15:45:38+00:00,b' trigger the fever  '
93,705587170871021572,2023-02-14 15:45:34+00:00,b'I dont even know.... how many times... ive wished i could see agust d songs live... me and nonnee. Have had so many... https://t.co/hOET8XtPPr'
94,1037063654854680576,2023-02-14 15:45:33+00:00,b'\n94?? https://t.co/qPe5SxdjLD'
97,1263081299301949448,2023-02-14 15:45:15+00:00,"b' HELP RT \nwts // want to sell // lfb\n\n Enhypen photocard Heeseung, Jay, Jake\n\n Dom Jkt\n Boleh book keep ev... https://t.co/ygBUq50SGK'"
99,1598357696553447424,2023-02-14 15:45:11+00:00,b'02/16 00:38~\nnice FEVER TimeFEVERFEVER\n\n#\n#\n# \nhttps://t.co/47AGNgBr66'
104,1482289277992337409,2023-02-14 15:45:03+00:00,b'..  ..'
105,1324497388397015042,2023-02-14 15:45:01+00:00,b'no one wanted fever https://t.co/Z8eJ7wdUwA'
106,1613909793541947393,2023-02-14 15:45:00+00:00,"b'Audis Activesphere Concept is a VR, Pickup Bed, Quattro Fever Dream https://t.co/3SB5wE75Ed'"
107,56966615,2023-02-14 15:44:49+00:00,"b'RT @WheelsnToys: Marburg is a severe, often fatal illness. It begins abruptly, with high fever, severe headache and severe malaise. Many pa...'"
108,1311200591759122432,2023-02-14 15:44:48+00:00,b'@BIGHIT_MUSIC feels like a fever dream'
109,876456381720743937,2023-02-14 15:44:44+00:00,"b'RT @PK_charts: .@RBW_PURPLEKISS highest pre-order on ktown4u! \n\nGeekyland - 2,315 copies \nCabin Fever - 1,470 copies \n\n#PURPLE_KISS #...'"
110,1456532194059456516,2023-02-14 15:44:43+00:00,"b""who's tf going to have a fever on valentine's day? yeah, me"""
111,269446260,2023-02-14 15:44:41+00:00,"b'RT @ThePunnyWorld: When I get in to work, I automatically hide. \n\nGood employees are hard to find.'"
113,774487694386667522,2023-02-14 15:44:36+00:00,b'all the d-2 tracks live performances were gonna get... this feels like a fever dream its insane https://t.co/MrpYAjIqSN'
114,1499831502384906246,2023-02-14 15:44:34+00:00,"b""are you looking extra hot this valentine's day, or do I just have a fever? \n\n...I have a fever """
