,id,Time,Tweet
0,2819481719,2023-02-14 16:00:00+00:00,b'Join us on stand 22 at #BACOInternational2023 tomorrow to get hands on with \n\n#CELERIS - The worlds 1st disposabl... https://t.co/lVoZEXT1kp'
1,1.33175E+18,2023-02-14 15:58:49+00:00,"b""@TaylorLGrothe I can't remember if you said you've had sinus surgery before, but just so you know, your dr may say... https://t.co/7fDdExlG0o"""
2,9.12569E+17,2023-02-14 15:55:34+00:00,"b'Aquamarine sometimes referred to as the breath stone, aquamarine is known to alleviate sinus, lung, and respirato... https://t.co/YsaHco1Ng2'"
3,1.36244E+18,2023-02-14 15:54:48+00:00,"b""RT @fzaofficial: *5 KISILIK AILE* ICIN *ANKARA'DA* KALACAK YER\nMALATYA'DAN GELEN DEPREMZEDELER ICIN, \nBEYIN KANAMASI GECIREN HASTA VAR!\nSED..."""
4,1284013387,2023-02-14 15:54:40+00:00,"b'Happy Valentines Day to my Sinugator, which I affectionately refer to as the booger blaster, as I near the end of this sinus infection'"
5,20638539,2023-02-14 15:54:15+00:00,"b""99% sure I have a sinus infection but I'm at work anyways"""
6,1.36244E+18,2023-02-14 15:54:14+00:00,"b'RT @dizianaIiz: Gokhan Zann yardm cagrsna kulak verelim. Samandag Subas Mahallesi, Antakya, Hatay. #deprem https://t.co/cGAnEqs6Yy'"
8,1.36244E+18,2023-02-14 15:52:57+00:00,b'@AFADBaskanlik @haluklevent #DEPREMOLDU #deprem #ENKAZALTINDAYIM https://t.co/4vCV2nUyRy'
10,1.47079E+18,2023-02-14 15:51:52+00:00,b'I swear if this is another sinus infection Im '
11,1.21506E+18,2023-02-14 15:51:48+00:00,b'I declined my transportation via text and so someone sent transportation 2 hours early and I declined because I hav... https://t.co/YfRTiZeWpW'
14,58300342,2023-02-14 15:50:23+00:00,"b'RT @Hendr_xx: FT ela ya every day, for 2+hrs. Ge e sa arabiwi tonight, mablomo a le o sa morekelang, a mo tswarisitse di sinus.. allergex y...'"
15,104614051,2023-02-14 15:49:45+00:00,b'Is It a Sinus Infection or a Cold? Tips On How To Tell The Difference... \nVIEW TIPS... https://t.co/vfs2PgGOGD https://t.co/Y89yPl02VR'
16,8.09846E+17,2023-02-14 15:49:08+00:00,"b""@diane642016 Awe I hope you feel better soon I understand I'm living day by day in hotels right now have sinus infe... https://t.co/omGzg5e0Jc"""
17,2305701888,2023-02-14 15:48:16+00:00,"b""sinus surgery was one of my least favorite experiences, he's got a long couple weeks ahead https://t.co/z20Wj4WuNB"""
18,1.09263E+18,2023-02-14 15:42:58+00:00,b'@sunsetsWinter Bali udah\nTp gw tetep make krn gw sayang duit\nKlo sinus kumat berobatnya mahal coook '
19,1.6154E+18,2023-02-14 15:42:02+00:00,b'MM Reversal $BTCUSD\n  @ 21947.36\n sinus MA @: 22098.15\n Dir:  UP\n 5:1 UP22732 DOWN\n 5:1: @ 21320'
20,1.6154E+18,2023-02-14 15:42:01+00:00,b'MM Reversal $SPY\n  @ 410.52\n sinus MA @: 412.38\n Dir:  UP\n 5:1 UP416 DOWN\n 5:1: @ 406'
21,1.34898E+18,2023-02-14 15:41:43+00:00,b'@PPistone Great Show This Morning Fellas. A little busy but will be calling In later this week. The Valentines Day... https://t.co/SMge4dAPm9'
22,48739485,2023-02-14 15:40:17+00:00,"b""@literallymecats Im bout to end up in a chubbyemu vid the amount of sinus decongestion meds i've been taking"""
23,19475946,2023-02-14 15:40:16+00:00,"b""This sinus infection broke my brain because I'm getting misty eyed watching a Shakira performance what the fuck"""
24,3041879741,2023-02-14 15:39:36+00:00,b'Sinus infections are from satan himself!'
25,229437982,2023-02-14 15:36:50+00:00,b'2023222~33(18)( Credit: Stellarium Planetarium)323.92.10.5()... https://t.co/EKuUbFeSle'
26,1.36244E+18,2023-02-14 15:35:57+00:00,"b'RT @smazehradag: Zor bir savas benimkisi. Cunku savasm bedenimle. Dusmanm da icimde, kahramanmda. Icimdeki kahraman galip gelsin. Zolge...'"
27,1.27869E+18,2023-02-14 15:35:27+00:00,"b'Frig, it was one-two-PUNCH last night. My face hurt like someone whacked me with a hammer. Sinus inflammation from... https://t.co/KWd2FOEiwC'"
28,9.58174E+17,2023-02-14 15:32:54+00:00,"b'Sinus and double ear infection! Fuck yea! Go big, or go home! https://t.co/96POenb6T6'"
29,1.42853E+18,2023-02-14 15:29:51+00:00,"b'Person in Profession!\nGrade 3 adenoid hypertrophy in an adult, excised in toto, a rewarding one to do,!\nA trauma ca... https://t.co/HtXwAaKF5f'"
30,1.5642E+18,2023-02-14 15:29:30+00:00,b'A 60-year-old woman outpatient consultation for dyspnea NYHA III and a rude aortic systolic murmur.  ECG sinus rhyt... https://t.co/ws1mZ02u0C'
31,354809912,2023-02-14 15:28:38+00:00,b'I dont really want to cry because it flares up my sinus pressure but minhyuk im trying to not cry but not happening  Welcome headache.'
33,1.36244E+18,2023-02-14 15:25:58+00:00,b'@AFADBaskanlik @haluklevent #DEPREMOLDU #deprem #ENKAZALTINDAYIM https://t.co/S2wjthFKqT'
34,1.36244E+18,2023-02-14 15:25:49+00:00,b'@AFADBaskanlik @haluklevent #DEPREMOLDU #deprem #ENKAZALTINDAYIM https://t.co/A4ga3kpYP4'
35,1.53301E+18,2023-02-14 15:25:14+00:00,"b'FT ela ya every day, for 2+hrs. Ge e sa arabiwi tonight, mablomo a le o sa morekelang, a mo tswarisitse di sinus..... https://t.co/0NajpxjoGn'"
36,2436922172,2023-02-14 15:25:01+00:00,"b'a flat tire and a sinus infection, WEEHOO TUESDAY'"
37,17373638,2023-02-14 15:24:38+00:00,"b""i wish winter would settle in.  these ~20F days into a series of 50F days is brutal on the ol' allergies/sinus."""
38,930737041,2023-02-14 15:24:27+00:00,b'RT @TheodorAdorno17: Terror before the abyss of the self is removed by the consciousness of being concerned with nothing so very different...'
39,1.45002E+18,2023-02-14 15:23:15+00:00,b'@seiryu1210 (      )(      )'
40,136928085,2023-02-14 15:21:51+00:00,b'@ParrasJorge2 @rafmatcom @DiegoPicchio @eugetorossi Valve of coronary sinus\nValve of viuessens?'
42,1.36244E+18,2023-02-14 15:19:54+00:00,b'@AFADBaskanlik @haluklevent #DEPREMOLDU #deprem #ENKAZALTINDAYIM https://t.co/GQCXP2UYE6'
44,1.51265E+18,2023-02-14 15:17:48+00:00,b'@Rakuen_Prime I got sinus problems so no keep your products to your self lol Seriously though feel beet'
45,1.51934E+18,2023-02-14 15:17:40+00:00,b'@KnoxSeefort @NiarhosDebra @picphysicians No Vax or mask for me.  Had covid b4 it was officially in the US. MY IMMU... https://t.co/o2CJNI3S21'
47,1.45002E+18,2023-02-14 15:16:13+00:00,b'@seiryu1210 ...'
48,1.41137E+18,2023-02-14 15:14:33+00:00,"b""@Katastrofic222 Thank you kat  im feeling better but im still having a massive sinus headache that's making it hard to work on anything :')"""
50,1.21688E+18,2023-02-14 15:14:17+00:00,"b'@jellybeandogge @JRamsey_Truth JonBenet had 27 dr visits in 3 yrs- sinus issues, hit in head with golfclub + plasti... https://t.co/CUZuayMM8R'"
51,186195712,2023-02-14 15:13:53+00:00,b'Sinus is the nerdiest type of infection'
52,1.42806E+18,2023-02-14 15:11:48+00:00,"b""@Joy_Sticks_n Moi j'ai appris cet ete que c'est parceque j'ai un sinus completement bouche a cause de ma cloison na... https://t.co/Y8sb21izX6"""
53,52728374,2023-02-14 15:10:20+00:00,b'Primary maxillary sinus carcinosarcoma with multidisciplinary management: a case report with 4 years follow-up and... https://t.co/HeBOSMN5NJ'
55,1.43738E+18,2023-02-14 15:08:48+00:00,"b""YAAAAY, sinus issues are back along with hacking up my lungs. \n\nI believe I'm allergic to something in this office. Fucking hell"""
56,1.48959E+18,2023-02-14 15:07:35+00:00,"b'@Gormogons Trying to power through a sinus infection, but no puking.  So about average.\n\nReplace those electrolytes!'"
57,9.65575E+17,2023-02-14 15:07:19+00:00,"b""I have been very ill over the last week. I've had a terrible sinus infection that have completely wiped me out. \n\nR... https://t.co/rj5iZDHLYT"""
59,1.45002E+18,2023-02-14 15:05:51+00:00,b'RT @BunAl_PR:  \n! \n\n10\n50\n# https://t.co/osiYnjnrm0'
60,1.39789E+18,2023-02-14 15:04:55+00:00,b'Sinus infection dia teruk jugalah dah infected and bengkak saluran telinga dan hidung.\n\nBersyukur tau telinga dia j... https://t.co/NMfVCod0bV'
61,2579956796,2023-02-14 15:04:41+00:00,"b'Tersiksa karena sinus \nSe-wajah nyeri, mana sampe ke gigi, dibuat sujud sakit.'"
62,1487275008,2023-02-14 15:02:18+00:00,b'New voice valve in and much better. Nasal check and she thinks I have a sinus infection so she has prescribed me a... https://t.co/FlVWyLau4T'
63,16765892,2023-02-14 15:02:06+00:00,b'@craftingflan @cujobassplayer @drdjbarbarella @DesignDreamer1 My ENT had me start sinus rinsing (Distilled water wi... https://t.co/qdRrbCcklI'
65,1.6154E+18,2023-02-14 15:00:04+00:00,b'MM Reversal $SPY\n  @ 413.36\n sinus MA @: 412.43\n Dir:  DOWN\n 5:1: 411\n 5:1 up @ 417'
66,44566616,2023-02-14 14:59:45+00:00,"b'@TRHLofficial  Brilliant. Made the mistake of drinking my coffee while reading these... On a side note, does any... https://t.co/2MTpqQQ2gA'"
67,1.42766E+18,2023-02-14 14:54:24+00:00,"b""@JauneSnow2 je suis convaincue que mes deux chattes sont mortes des vaccins. L'une a eu un lymphome du sinus, l'aut... https://t.co/fbIzs4dgcs"""
68,1.41061E+18,2023-02-14 14:54:19+00:00,"b'RT @khustazm: I dont know what going on here, but I know that people with sinus problems. Dont act like this '"
69,1.36342E+18,2023-02-14 14:51:41+00:00,b'kenapa sekali ini sinus ku kumatnya parah kali'
71,21193473,2023-02-14 14:50:45+00:00,"b'@PontificatorOMF @DavidWolfe you right, sometimes on sparring sessions o got hit and my sinus goes wild'"
72,1.6154E+18,2023-02-14 14:48:02+00:00,b'MM Reversal $BTCUSD\n  @ 21787.98\n sinus MA @: 21707.1\n Dir:  DOWN\n 5:1: 21635\n 5:1 up @ 21980'
