,id,Time,Tweet
0,id,Time,Tweet
3,85859978,2023-02-13 19:30:16+00:00,"b'Butyl acrylate exposure can cause eye irritation, difficulty breathing, and cracking of the skin, as well as dizzin\xe2\x80\xa6 https://t.co/ufUlP8RhKe'"
4,856982274,2023-02-13 19:30:14+00:00,"b'@roseonyourgrave The smell of them always gives me nausea, and after i get used to it i would maybe eat some but by\xe2\x80\xa6 https://t.co/l7w0hqH0hN'"
5,9.6345E+17,2023-02-13 19:28:49+00:00,"b'@uncrtnbthpfl I have frequent stress related nausea. So eating and keeping food down, quite literally is more diffi\xe2\x80\xa6 https://t.co/mydYbsWHvy'"
7,18009708,2023-02-13 19:27:08+00:00,"b'@ugluis @petrogustavo De acuerdo pero que firme cualquier persona de la calle, mil veces, leer esos nombres de un poco de nausea.'"
8,1.41984E+18,2023-02-13 19:27:05+00:00,b'RT @itsagor: vi capita di ascoltare una canzone fino alla nausea tanto da non apprezzarne pi\xc3\xb9 il testo e non distinguerne le parole poi ria\xe2\x80\xa6'
9,333845683,2023-02-13 19:24:38+00:00,"b'I turned to WebMD (https://t.co/tJeqBI7aPo) for the symptoms, just in case I\xe2\x80\x99d missed any.\n\n\xe2\x80\x9cWith gastroenteritis,\xe2\x80\xa6 https://t.co/qTdjwAjZa5'"
11,1.29735E+18,2023-02-13 19:24:33+00:00,b'just found out i\xe2\x80\x99m allergic to my birth control pills i\xe2\x80\x99ve been taking for abt 2 months and have had severe nausea\xe2\x80\xa6 https://t.co/kEiZahLnI3'
12,1.50989E+18,2023-02-13 19:24:25+00:00,b'No eating = no nausea and sickness. Problem solved'
14,40965357,2023-02-13 19:23:04+00:00,"b'WHOA \xf0\x9f\x90\xb6\xe2\x9a\xa1\xef\xb8\x8f""Nausea, Wobbling, Confusion: Dogs Are Getting Sick From Discarded Weed ""https://t.co/or6enkjbwm'"
17,1.35377E+18,2023-02-13 19:22:27+00:00,b'@reinaldoazevedo Uol chega a dar n\xc3\xa1usea de tanta mentira divulgada.'
18,3381499241,2023-02-13 19:22:12+00:00,b'ah domani \xc3\xa8 san valentino ecco perch\xc3\xa9 ho la nausea gi\xc3\xa0'
19,1.21533E+18,2023-02-13 19:22:10+00:00,"b'Nausea, Wobbling, Confusion: Dogs Are Getting Sick From Discarded Weed \nhttps://t.co/dzhWZiIwGJ\n \nhttps://t.co/dzhWZiIwGJ'"
20,1.55236E+18,2023-02-13 19:21:35+00:00,b'@ClownWorld_ That p---y is open to anybody and anything that would fight through the nausea to touch it'
21,1.06178E+18,2023-02-13 19:21:14+00:00,b'@ALoulli A Relief Band might help or non drowsy mecalizine or nausea meds?'
22,547253108,2023-02-13 19:20:51+00:00,"b'Day 9 #Covid positive - stomach cramps, nausea, congestion, coughing and fatigue. Talked to Dr x2, meds &amp; inhaler n\xe2\x80\xa6 https://t.co/Z0b32YfoCW'"
23,2916084289,2023-02-13 19:20:04+00:00,"b'@MigraineSummit Nausea, vomiting, dizziness, feeling numbness and paralysis on the right side of body. Fatigue and\xe2\x80\xa6 https://t.co/oRb3uH0J1g'"
24,1.16009E+18,2023-02-13 19:19:52+00:00,"b""This is from @CathyCathyFox's website.  I never liked #WoodyAllen.  In case you didn't know that he is a complete a\xe2\x80\xa6 https://t.co/TvmnQgQQiG"""
26,1401041641,2023-02-13 19:19:10+00:00,"b'@ririrightnextto With the nausea, vomiting and fatigue sis \xf0\x9f\x91\x80'"
28,1606861039,2023-02-13 19:18:08+00:00,"b'@955KLOS @heidihamilton Should\xe2\x80\x99ve taken some Pepto the other day @heidihamilton ! \xf0\x9f\x8e\xb6If you\xe2\x80\x99ve got nausea, heartburn,\xe2\x80\xa6 https://t.co/10t7q8Fcjb'"
29,4819936071,2023-02-13 19:17:55+00:00,b'capitalist apprehension. self destructive behaviour. alienation. empty nausea.'
31,3260797555,2023-02-13 19:17:45+00:00,"b'@LaSalitadelSin LARGATE SINVERGUENZA! NAUSEA DAR VERTE LA CARA, SINVERGUENZA! CON TODO EL DINERO ROBADO POR TU PADR\xe2\x80\xa6 https://t.co/l8dVl91WPK'"
32,1.36101E+18,2023-02-13 19:17:22+00:00,b'I love how neurotic people are in New York.  My dog ate a loose half spent joint.  I need to call the vet.  While h\xe2\x80\xa6 https://t.co/ElDQuViP9n'
33,9.34819E+17,2023-02-13 19:17:15+00:00,"b'RT @OfficialPCA: Have you refreshed your knowledge of the signs &amp; symptoms of pancreatic cancer recently? If not, now is the time! \xe2\x8f\xb0 \n\nFrom\xe2\x80\xa6'"
34,1.50279E+18,2023-02-13 19:16:35+00:00,"b""Woke up to nausea courtesy of IBS. \nThank fuck for THC. Few tokes and meds kickin' in."""
37,83691410,2023-02-13 19:15:20+00:00,b'Santo cielo que n\xc3\xa1usea \xf0\x9f\x98\x85'
38,3306124295,2023-02-13 19:15:11+00:00,b'The nausea \xf0\x9f\x98\xad'
39,1.57819E+18,2023-02-13 19:14:57+00:00,"b'@SarahDalyCJ if you have a family member or friend thats struggling from a cold, migraine, nausea, or food poisoning, text us 442-216-0948 \xf0\x9f\x92\x89'"
42,232515496,2023-02-13 19:13:46+00:00,b'@janogarcia_ Ufffff!!!!  \n\n\xc2\xbf\xc2\xa1C\xc3\xb3mo ser\xc3\xa1n tus libros!?'
44,85444520,2023-02-13 19:12:25+00:00,"b'@AsiLoDiceMexico @LillyTellez @AngelVerdugoB Tr\xc3\xado de sonsorenses, son de caricatura, s\xc3\xb3lo dan Risa\xf0\x9f\x98\x82\xf0\x9f\x98\x82 y n\xc3\xa1usea\xf0\x9f\xa4\xa2.Don\xe2\x80\xa6 https://t.co/ScSfLPF8M6'"
46,1452965868,2023-02-13 19:11:26+00:00,"b'Ustedes qu\xc3\xa9 prefieren: ni\xc3\xb1atos ideologizados hasta la n\xc3\xa1usea, sin experiencia, sin conocimientos, sin tolerancia a\xe2\x80\xa6 https://t.co/U4BECsyEyl'"
47,1315943485,2023-02-13 19:11:18+00:00,"b'RT @pancanscot: Have you refreshed your knowledge of the signs &amp; symptoms of pancreatic cancer recently? If not, now is the time! \xe2\x8f\xb0 \n\nFrom\xe2\x80\xa6'"
48,28486633,2023-02-13 19:10:58+00:00,"b""@sublimecoder I love the idea of VR, but I get the most awful nausea that I don't think I could ever get used to."""
49,604506665,2023-02-13 19:10:57+00:00,b'mi fa male tutto + non avrei dovuto mangiare manco a cena perch\xc3\xa9 ora ho ancora pi\xc3\xb9 nausea e vbb'
50,9.0957E+17,2023-02-13 19:09:19+00:00,b'@JustJ_RN yeah i get terrible nausea from morphine so they listed it in my allergies with it as an adverse reaction. works for me.'
58,98994569,2023-02-13 19:05:53+00:00,"b'@Tgaret990 Not in pain (as long as I don\xe2\x80\x99t walk around the building too much, which is a challenge). Making myself\xe2\x80\xa6 https://t.co/JQeFxDA4Un'"
60,9.65698E+17,2023-02-13 19:04:43+00:00,"b'@nausea_total Obrigado amiga!! Desapegar do que poderia ter sido, t\xc3\xa3o pesado quanto n\xc3\xa9 mas enfim, seguimos\xe2\x80\xa6'"
62,589894875,2023-02-13 19:04:04+00:00,b'@c_nenye It gives you nausea?'
