,id,Time,Tweet
3,2258783351,2023-02-14 16:17:16+00:00,"b'a cidade ta em surto de dengue e a @PrefeituraUdia simplesmente  \\_()_/  assim\n\nnao passam um fumace, nao... https://t.co/lxevCscUJ8'"
4,247225060,2023-02-14 16:16:54+00:00,b'RT @radiolt10: #Alerta | Un caso sospechoso de dengue en la Ciudad de Santa Fe  https://t.co/zaj6ZAJ9UK https://t.co/al8UgvlTeY'
5,35729682,2023-02-14 16:15:00+00:00,b'#Alerta | Un caso sospechoso de dengue en la Ciudad de Santa Fe  https://t.co/zaj6ZAJ9UK https://t.co/al8UgvlTeY'
6,144678130,2023-02-14 16:14:35+00:00,b'#Bolivia | Reportan la muerte de un tercer bebe con sintomas de dengue en #SantaCruz\nhttps://t.co/myA3Ds1214 https://t.co/w4akKbWQSs'
7,1269573411186982918,2023-02-14 16:14:02+00:00,b'@bts_zerooclock No wait but if its dengue then please squash it'
10,267332450,2023-02-14 16:13:00+00:00,b'En los barrios de Asuncion y Central se pueden notar ultimamente una infestacion masiva de mosquitos transmisores d... https://t.co/ztavyEQKaM'
13,1494715419306901513,2023-02-14 16:10:45+00:00,b'Mi San Valentin \nHoy con dolor de Cabeza \nParece que el dengue hizo de las suyas  https://t.co/nBPw5W5e10'
15,851618575274127360,2023-02-14 16:10:14+00:00,b'Ayer se cumplio dos anos de la partida de mi abuelito Juan. De quien ni siquiera pudimos despedirnos. Un dia como h... https://t.co/TnRYPhqyOg'
18,1177769048047788033,2023-02-14 16:07:32+00:00,b'sera q to com dengue'
19,65444625,2023-02-14 16:07:24+00:00,b'Habilitan 30 camas mas para pacientes con dengue en centros de la zona sur de Santa Cruz. #ElDeber  #Dengue... https://t.co/lhTBj4rwXX'
20,18971006,2023-02-14 16:07:11+00:00,"b'@hakimel I have fond memories from my last visit. Got my first Dengue fever there :D \n\nEnjoy it, and make sure to a... https://t.co/1OEu5WrS14'"
23,46624815,2023-02-14 16:05:00+00:00,"b'A Visita Certa, a importancia dos agentes de endemias no combate a dengue\nhttps://t.co/GLhq2AxjZq https://t.co/pdP7ANZSuG'"
25,4419510922,2023-02-14 16:03:59+00:00,"b'LA SALUD EN TU BARRIO \n\n Este jueves 16/02, estaremos realizando un operativo integral de salud:\n\n Vacunacion de... https://t.co/yMR5JKQv07'"
27,2361549715,2023-02-14 16:03:36+00:00,b'Un caso sospechoso de dengue en Sta Fe de una persona que viajo a Guillermina jajajajaja'
28,2597953628,2023-02-14 16:03:03+00:00,"b'RT @meherbokhari: A huge puss filled boil on this childs head, several at the back of it. Children w high fever &amp; infected cannulas shown t...'"
29,69656162,2023-02-14 16:01:48+00:00,"b'RT @ameliarueda: Casos de dengue en Costa Rica aumentaron 280% durante una semana en enero, reporta Salud https://t.co/YGRXzXUSaW'"
31,4219392873,2023-02-14 16:01:42+00:00,b' | Confirmado caso de dengue en Soria. https://t.co/jmd2ibOftP'
33,192704026,2023-02-14 16:00:57+00:00,"b'@BernadeteM57 @reporterenato Sabemos que eles so trabalham em cima do que os afetam, exemplo vivo foi a Covid-19.\nV... https://t.co/BbW8mKGcWP'"
35,1272157823368036358,2023-02-14 16:00:25+00:00,b'o tanto que eu perdi peso com essa dengue foi brincadeira'
37,1251371253715402754,2023-02-14 15:58:58+00:00,"b'@kuztella Matou logo o mosquito da dengue,parabens ao policial'"
39,972133074354999296,2023-02-14 15:58:54+00:00,b'Noticia de hoy: Confirmado un caso de dengue en Soria de un paciente que estuvo en Bolivia y que ya ha recibido el... https://t.co/LM2QiSafC2'
41,1527675599975849989,2023-02-14 15:57:15+00:00,b'#Noticias #Speech_sv Salud confirma que el dengue esta en la zona de exito del corredor endemico\nA escala nacional... https://t.co/lAG0yqOH2T'
45,15308535,2023-02-14 15:55:52+00:00,"b'Casos de dengue en Costa Rica aumentaron 280% durante una semana en enero, reporta Salud https://t.co/YGRXzXUSaW'"
46,520636337,2023-02-14 15:55:41+00:00,"b""RT @OCSoriaradio: La falta de apoyo economico de @jcyl, detras de la suspension del 'Covaleda Fest', segun el alcalde. Confirmado el primer..."""
47,987748912923643910,2023-02-14 15:55:39+00:00,b'Dengue: realizan control focal y descacharreo en el Barrio Juan XXIII | https://t.co/Q3kN7s9dqh https://t.co/angeZHkVfB'
48,300465859,2023-02-14 15:55:03+00:00,b'Confirmado un caso de dengue en Soria de un paciente que estuvo en Bolivia y que ya ha recibido el alta https://t.co/J3oABOyoI5'
49,1265488245531586561,2023-02-14 15:54:35+00:00,"b'RT @AlejandroPunch: Me trato peor y me dejo mas debil el Dengue que el Covid, que barbaro ehh'"
52,1579254662846373897,2023-02-14 15:53:31+00:00,b'@Centraldoocec paulo andre do bbb com dengue'
53,28764661,2023-02-14 15:53:09+00:00,b'Santa Cruz: Reportan la muerte de un bebe con sintomas de dengue; es el tercero en cuestion de horas... https://t.co/miwRZb3Q4K'
55,943916044019572737,2023-02-14 15:52:07+00:00,b'Yea school/college waalo ko bs fees/payment aithna hota...bachho se...management ke naam pe kuchh nhi..\n\nExam hall... https://t.co/yNZ11UStE6'
58,436581338,2023-02-14 15:50:23+00:00,b'Confirmado caso de dengue en Soria https://t.co/D5MU4vj7UM'
60,914491447461769216,2023-02-14 15:49:10+00:00,"b'Ambos casos son de bebes de poco mas de un mes de nacidos, quienes presentaron fiebre alta por al menos tres dias... https://t.co/ReIjV8vmEL'"
61,885364250444791809,2023-02-14 15:48:56+00:00,b'@_vassinha ah dengue paraaa todo carnailha nois ta fudida de sujeira vai ligar pra uma chuvinha? ahushaudhauhsushs'
63,897633526128009216,2023-02-14 15:48:29+00:00,"b'@EssapSA Desde el jueves vengo insistiendo con mi reclamo, hay una cuantiosa perdida de agua potable por el cano ro... https://t.co/db65GOrf3d'"
64,1196193206251278337,2023-02-14 15:47:45+00:00,b'to com dengue vsf'
66,17883280,2023-02-14 15:47:07+00:00,"b'tive dor no pescoco e ouvido: fui no otorrinolaringologista, era tensao muscular, nada mais\n\nestou com todos os sin... https://t.co/BwdCx9UaCn'"
68,1481281240644964352,2023-02-14 15:46:54+00:00,"b'a dengue me ama so pode, segunda vez ja slk'"
69,3085026177,2023-02-14 15:46:42+00:00,b'#esUltimo| Mueren dos bebes con sintomas de dengue en Santa Cruz https://t.co/UynesbZf5F'
71,178953682,2023-02-14 15:45:51+00:00,b'Vontade de denunciar a casa aqui do lado que ta abandonada e com a piscina cheia provavelmente e de la que ta vindo esse foco de dengue'
72,1411190283765747712,2023-02-14 15:45:50+00:00,b'Sinto q eu estou com dengue!!! '
76,1334537139237900291,2023-02-14 15:42:16+00:00,b'Piura registra mas de mil casos de Dengue y pone en alerta a seis distritos de la ciudad nortena https://t.co/NY0yTVi6fC'
77,947483666476912640,2023-02-14 15:41:58+00:00,"b'@FreddyteleSUR @teleSURtv 6ta semana de aumento de casos de dengue, masismo inoperante!'"
79,1105491891267780609,2023-02-14 15:40:58+00:00,b'mds um menino morreu de dengue aq na minha cidade e eu tava passando mal ontem Jesus amado quero durar ate dia 24 de marco'
80,1440677371053436948,2023-02-14 15:40:43+00:00,b'NOVO LANCAMENTO\nCHUMBO QUENTE https://t.co/OAyvXYPQ3k https://t.co/YWHBoxDMgV'
81,1048759634549460992,2023-02-14 15:40:32+00:00,"b'RT @SomosToos87: @EthikaJeans Dengue, Sika, chikungunya y el maldito COVID\nEspero mi remera'"
82,1189325548251734018,2023-02-14 15:40:14+00:00,b'@ricardobussi @GobiernoTucuman el dengue esta en tucuman desde el 96'
83,1063527061057429505,2023-02-14 15:40:13+00:00,"b'Peguei dengue logo agora, nao e possivel'"
94,1154218790181359616,2023-02-14 15:39:33+00:00,b'@LeoesNordeste Eu n sigo o mosquito da dengue para achar agua'
103,890071944070144000,2023-02-14 15:37:56+00:00,b'Estamos llevando a cabo una jornada de abatizacion para combatir la proliferacion del mosquito transmisor del dengu... https://t.co/VKZmz9z4YR'
