,id,Time,Tweet
0,42410755,2023-01-30 12:05:01+00:00,b'CureVac Announces Positive Data in Older Adults from COVID-19 and Flu mRNA Vaccine Development Progr... https://t.co/WOMZ4up9Xu'
1,1546567715728629762,2023-01-30 12:04:56+00:00,"b'@PoetCheesehead An increase in holiday demand, higher production costs for farmers, and an outbreak of bird flu.\nAs\xe2\x80\xa6 https://t.co/Z75Wx5VfqN'"
2,1608464035091206144,2023-01-30 12:04:48+00:00,b'@DVATW Covid is just rebranded flu.  They killed people in the hospitals with drugs and intubation.'
3,3055606189,2023-01-30 12:04:34+00:00,"b'RT @j_g_allen: 4/ The 1918 Spanish flu pandemic, measles outbreaks in schools and SARS all show that living conditions can play a critical\xe2\x80\xa6'"
4,768556527934328833,2023-01-30 12:04:25+00:00,"b'@HannahB04173129 @relic_1022 @AntonioSabatoJr That it was deadly, not a hoax like trump pretended. Not the flu like Trump acted.'"
6,1249301034,2023-01-30 12:04:12+00:00,b'Went to work with some flu like symptoms. This medicine resident ( posted for only 15 days in Nephrology) efficient\xe2\x80\xa6 https://t.co/3hHfplTzi4'
7,4809501555,2023-01-30 12:04:07+00:00,"b'@mz_storymakers @AlexWallasch Vaccination isn\xe2\x80\x99t an \xe2\x80\x98iron dome\xe2\x80\x99 over you, it\xe2\x80\x99s a system to let the immune system rec\xe2\x80\xa6 https://t.co/8K9HN2ji2c'"
8,716207945365716992,2023-01-30 12:04:06+00:00,"b'Something to consider, some vaccines are made using eggs, like the flu vaccine. https://t.co/zFcv6aRIL8'"
11,1237435305482956801,2023-01-30 12:03:39+00:00,"b'Now I\xe2\x80\x99m committed to getting the flu shot every year, and I know that I won\xe2\x80\x99t regret it!\n\nThis serum is developed t\xe2\x80\xa6 https://t.co/9YK6NIt7uW'"
14,789331774161563648,2023-01-30 12:03:29+00:00,b'Been under the weather since Thursday. I wanna feel better again. Little dood just recovered but still on and off f\xe2\x80\xa6 https://t.co/5Q0aQQuljo'
16,894296085178593282,2023-01-30 12:03:16+00:00,"b'@VP 12). Well, well, well! Hmmmm! Now we all know what a hoax is. Yet, I still run up on people, even rightwingers\xe2\x80\xa6 https://t.co/Vpd9LnXlXS'"
17,1316433171026792448,2023-01-30 12:03:12+00:00,"b""@covidanarchy All the time! Ex colleague who wouldn't listen &amp; ran for every jab going, including flu, has been off\xe2\x80\xa6 https://t.co/CMN1fILoka"""
18,1487747551956717569,2023-01-30 12:03:03+00:00,b'RT @Robertvegan7: 2 year old.\nCovid and Flu shot.\nDead. https://t.co/9vPu5SwhNg'
19,1609152557414318080,2023-01-30 12:03:02+00:00,"b'@CTVNews Stop identity theft,bring back seasonal flu!!!'"
22,45746264,2023-01-30 12:02:50+00:00,b'@juliatanner @Rachel5742 @kacidama @EvLenz @JFRitte @MmzelleFrenchie @nonnie100759 @tominfrance @Petersbrooking\xe2\x80\xa6 https://t.co/QRcLgqBMHv'
25,857617891390353408,2023-01-30 12:02:32+00:00,b'Bird flu has decimated flocks. https://t.co/qw46WgChlt'
30,1447933281706651651,2023-01-30 12:02:19+00:00,"b'RT @WolfHouseAK: @healthbyjames Me. A good flu, but nowhere near the terror they want you to feel. I\xe2\x80\x99ve had worse before.'"
