,id,Time,Tweet
0,id,Time,Tweet
3,2480147330,2023-02-13 19:49:11+00:00,"b'Back in the gym, just about flu free felt good today.'"
5,245865960,2023-02-13 19:49:10+00:00,b'RT @backtolife_2023: \xf0\x9f\xa4\x94https://t.co/2k9bnyJR6Z https://t.co/hey3amVIVE'
6,3846167595,2023-02-13 19:49:07+00:00,b'Bird flu continues to spread in mammals \xe2\x80\x93 what this means for humans and wildlife https://t.co/FWRCiebHHS via @World News Intel'
7,1364300594257809411,2023-02-13 19:49:06+00:00,"b'@SholaMos1 Wow! You really are looking for something to moan about aren\xe2\x80\x99t you \xf0\x9f\x99\x84\n\nSeasonal illness, cold, flu, covid\xe2\x80\xa6 https://t.co/841KCH46KH'"
8,789639343140769792,2023-02-13 19:49:00+00:00,b'queuing with this gonna be harder than the flu game pray for me https://t.co/Z1oNCkTwkl'
9,1272476892734672904,2023-02-13 19:48:58+00:00,b'RT @PTHBhealth: Autumn Booster &amp; Flu Vaccination drop-in clinics week beginning 13 February.\nPlease see our website for more information an\xe2\x80\xa6'
14,1588372748,2023-02-13 19:48:50+00:00,"b'RT @NombuleloNkosi2: Our natural immune systems are top tier, to think that the entire pandemic not once did I suffer from a flu.'"
15,1277587677446131712,2023-02-13 19:48:47+00:00,"b""So today, i was talking to someone about 'aviation flu' \xf0\x9f\x99\x84\xf0\x9f\xa4\xa3 for a good couple of minutes before being corrected \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3"""
16,845331120,2023-02-13 19:48:41+00:00,"b'@robbotrip @ChiariPaul @PRGuy17 No, I don\xe2\x80\x99t listen to fake doctors and health advisors, I listen to Nikolai Petrovs\xe2\x80\xa6 https://t.co/gTs7V1v5Df'"
17,105176415,2023-02-13 19:48:39+00:00,b'@adrianomotta Eu falei aqui quando o pessoal descia a lenha que se o Flu vende o Martinelli dificilmente acha outro\xe2\x80\xa6 https://t.co/JklxbHs4KA'
19,1230600375675301889,2023-02-13 19:48:27+00:00,b'@Pouldeau61 @ptcjoneses @monyro5 @mcfunny @zee_parody @ogilville1 @ConsequentialBr @f_kyburz @Nicoleg425 @Scary7Dr\xe2\x80\xa6 https://t.co/lZCiezJgDT'
20,309433293,2023-02-13 19:48:22+00:00,"b'@allisoncunny @danitasteinberg @offbeatorbit Dining indoors is not ""denying"" this. Plenty of other harmful diseases\xe2\x80\xa6 https://t.co/Wh2FyO59XJ'"
22,1216847698122477568,2023-02-13 19:48:09+00:00,b'@danrichman @doc_gero Many suffer serious adverse events from the flu shot.'
23,384467672,2023-02-13 19:48:08+00:00,"b""@woodplumstocks @MrsFlowers007 It's actually also due to bird flu outbreaks too"""
25,2428822935,2023-02-13 19:47:59+00:00,"b'RT @ciwf: ""As bird flu continues to hurtle out of control, it can only be a matter of time before authorities have to address the underlyin\xe2\x80\xa6'"
26,315869136,2023-02-13 19:47:58+00:00,b'@CrumsRevenge If I have the stomach flu it helps me to completely purge my system quicker'
27,1372906249294077952,2023-02-13 19:47:48+00:00,b'RT @muffjnz: the bird flu??? that\xe2\x80\x99s NORMAL. that\xe2\x80\x99s what they DO.'
33,1213174050014449664,2023-02-13 19:47:36+00:00,"b'@BoobyJargon @offbeatorbit @dirtydancing2HN Cool story, I\xe2\x80\x99ve already said flu can cause sequalae. Read your own sou\xe2\x80\xa6 https://t.co/uIFFqH1SDY'"
34,376358488,2023-02-13 19:47:33+00:00,"b'@sailorslt1966 @UjuAnya @zeebap2 and, to continue - Kung Flu - racist\n\nCalling Elaine Chao ""Coco Chow"" \n\nAnd, of co\xe2\x80\xa6 https://t.co/fMeEfU7CUE'"
35,895056335150174209,2023-02-13 19:47:28+00:00,"b'As new reports of #avianflu spillover to multiple species of mammals including #foxes + #otters, #WHO urges countri\xe2\x80\xa6 https://t.co/I9KtKd1Nib'"
37,360444420,2023-02-13 19:47:22+00:00,"b'@ClaretLiamUTC @TalkTV Flu kills tens of thousands of people, every year.'"
45,18923480,2023-02-13 19:46:43+00:00,"b'Norovirus cases spreading throughout US faster than normal, CDC says\nhttps://t.co/WK61KmZcis'"
47,51754423,2023-02-13 19:46:34+00:00,"b""Doubling the weirdness are these drowsy flu pills that cuts half my waking hours in a day \xf0\x9f\x98\x82 \n\nIt's 2.45 AM now and\xe2\x80\xa6 https://t.co/Za6GbEkqIR"""
52,314793015,2023-02-13 19:46:26+00:00,b'@AimeeJayne1995 @AaronR1993 @SkyNews https://t.co/BMMxKQphRX https://t.co/rCvRdhxI9h'
54,1189187305300361218,2023-02-13 19:46:23+00:00,"b""@Theo_TJ_Jordan That's a recommendation, not a mandate. They also recommend the flu shot for the same age group, very few do it."""
55,1503936571447267329,2023-02-13 19:46:21+00:00,b'Bird Flu?\nThey do that sometimes.'
60,1349700080589287424,2023-02-13 19:46:15+00:00,b'Como n\xc3\xa3o tem um corte do @Casimiro comentando o jogo entre Flu x Vasco pelo Carioca 2023?'
65,1167712356983402497,2023-02-13 19:46:09+00:00,b'RT @KatePri14608408: Dr.\xc2\xa0Shayan Sharif\xc2\xa0an avian immunologist with the\xc2\xa0Ontario Veterinary College explained the concern behind the spread of\xe2\x80\xa6'
67,1484638288715689986,2023-02-13 19:45:58+00:00,b'Senator Peterson gets a flu &amp; a bivalent Covid vaccine #IowaImmunizes https://t.co/ARB0LFdApr'
68,287413569,2023-02-13 19:45:56+00:00,"b'Fauci -- Covid &amp; Flu ""Vaccines"" Don\'t Work Well\n\nWatch the whole show here: https://t.co/FUZ0MZ2M0H https://t.co/CxW29OzmZP'"
73,498305248,2023-02-13 19:45:42+00:00,"b""My body's commitment to having the flu is so impressive to me. It is more committed to having a cold than I have be\xe2\x80\xa6 https://t.co/YKluHKWtKs"""
83,873209801127362560,2023-02-13 19:45:06+00:00,b'@Zidan58049165 @LJGLA_ I lost 10 lbs in a week from stomach flu...'
86,880606938282831872,2023-02-13 19:45:04+00:00,"b'@benevidesdm O problema \xc3\xa9 que o Flu faz isso contra absolutamente todos os times, independente se s\xc3\xa3o altos ou n\xc3\xa3o\xe2\x80\xa6 https://t.co/0jO8V0RSiS'"
87,17782359,2023-02-13 19:45:00+00:00,"b'We\xe2\x80\x99re close to spring, which means cold and flu season is still underway. \xf0\x9f\xa4\x92\xf0\x9f\xa6\xa0\n\nIf you\xe2\x80\x99re #immunocompromised, don\xe2\x80\x99t t\xe2\x80\xa6 https://t.co/BbBugOnlfr'"
88,371915358,2023-02-13 19:44:58+00:00,b'@AUTOMAN1424 @RooLabs_ @RooTroopNFT Lmao nah I don\xe2\x80\x99t really drink. I was/am sick w the flu \xf0\x9f\xa4\x92'
89,1558188083966795776,2023-02-13 19:44:51+00:00,"b'RT @ginacolacurcio: @DC_Draino Just like 911 when they said it was safe to work downtown.  I worked at 80 Broad   At the end of every week,\xe2\x80\xa6'"
92,1268693169522294789,2023-02-13 19:44:43+00:00,"b""RT @RachCarruthers: I feel terrible. I was up sick at 3am this morning. My Mom's reaction was to accuse me of getting drunk at Tower Farm,\xe2\x80\xa6"""
96,1357994242560446464,2023-02-13 19:44:24+00:00,b'There is an important debate in Czech academia right now. Researchers in the humanities are paid significantly less\xe2\x80\xa6 https://t.co/wdwv5LZLli'
102,1143933906556772353,2023-02-13 19:43:52+00:00,b'@RonFilipkowski Maybe he has a cold or flu and thinking about others!!'
104,1377965149,2023-02-13 19:43:46+00:00,b'RT @zombiegeordie: @Edanouli @TheEconomist When I had chemo and had no immunity in 2007 why did not a single nurse doctor or anyone in hosp\xe2\x80\xa6'
107,1266475123982454786,2023-02-13 19:43:20+00:00,b'@Olliveira_BR ir\xc3\xa1 sanar d\xc3\xbavidas sobre seu envolvimento com a derrota do Flu sob Palmeiras'
109,1337393224583884800,2023-02-13 19:43:13+00:00,b'@TalkTV flu'
110,255032250,2023-02-13 19:43:08+00:00,"b'@grenlith my point is that covid is endemic like the flu and that saying ""nobody should be going to restaurants unt\xe2\x80\xa6 https://t.co/MUpi4TWfqB'"
111,1327023604048007168,2023-02-13 19:43:04+00:00,b'@Hollywood1114 @RobPhillips770 @SilverFire69 @AmestoyKat @ChuckWa15503713 @kylenabecker No it hasn\xe2\x80\x99t. We still have\xe2\x80\xa6 https://t.co/qNfvg4Ta5A'
112,720835218,2023-02-13 19:43:00+00:00,"b'RT @Peterj_Again: Red meat processing plants burned down (over 100 so far)\n\nPush toward vegetarianism, sorry \xe2\x80\x98plant based foods\xe2\x80\x99\n\n#EggShort\xe2\x80\xa6'"
113,1225979934897733632,2023-02-13 19:42:48+00:00,"b'@Ro20956124 @swd2 @RepMTG Once again, just like flu vaccines, they don\xe2\x80\x99t keep u from getting it, it keeps u from dy\xe2\x80\xa6 https://t.co/dnXUjyl5do'"
114,1361744573349920769,2023-02-13 19:42:46+00:00,b'still recovering from some weird flu or fever ish bug but i think i did alright #SpeedyValfaris @ValfarisGame\xe2\x80\xa6 https://t.co/H1h22B8NtD'
115,252398355,2023-02-13 19:42:38+00:00,"b'Fauci concedes the challenges for respiratory viral vaccines are \xe2\x80\x9cmany and complex,\xe2\x80\x9d are prone to mutation with \xe2\x80\x9can\xe2\x80\xa6 https://t.co/RlVwK2oxn8'"
117,449015447,2023-02-13 19:42:31+00:00,"b'RT @BillyBostickson: So who is the homicidal maniac in this story? \n\nIt\xe2\x80\x99s \xe2\x80\x9cthe economy\xe2\x80\x9d, a monster to whom anything &amp; everything must be sa\xe2\x80\xa6'"
120,1587562659154722817,2023-02-13 19:42:23+00:00,b'@TMF1213 @visionaire187 @healthbyjames The flu.'
122,3704444892,2023-02-13 19:42:15+00:00,b'Norovirus is NOT a Flu nor just a stomach virus. https://t.co/Uuld1ecnp6'
123,829074617486675968,2023-02-13 19:42:10+00:00,"b'RT @EmmanuelLuiz12: Confio nesse elenco do Fluminense, ainda mais com o retorno de Alexsander, Edinho e John Kenedy, \n\nDito isso, ainda ach\xe2\x80\xa6'"
128,1472694092077445128,2023-02-13 19:41:42+00:00,b'RT @jeanne7303: It\xe2\x80\x99s deliberate murder and medical malpractice. IT IS AN EXPERIMENTAL GENE THERAPY THAT HAS NOT BEEN APPROVED AS SAFE AMD E\xe2\x80\xa6'
129,1519414237638148097,2023-02-13 19:41:40+00:00,b'Discovery launches new affordable private health insurance package.\nIt comes at a monthly cost of R435 n provides f\xe2\x80\xa6 https://t.co/bsoNNPh4qS'
133,1590738436784267267,2023-02-13 19:41:27+00:00,b'@geglobo Vai ficar lindo do lado da bicicleta \n\nMuseu do Flu cada vez mais recheado'
134,1613217027774156834,2023-02-13 19:41:25+00:00,b'@leytonuntidy Yes true. This part of history is hushed up. Faded from the memories of the population. \n\nThe Spanish\xe2\x80\xa6 https://t.co/YGXyCGdCaK'
138,1565349171133300736,2023-02-13 19:41:10+00:00,b'@MrsFlowers007 Bird flu x'
139,40296265,2023-02-13 19:41:09+00:00,"b'In the last six months, 225 Norovirus outbreaks have been recorded compared to 172 last year https://t.co/fXcS2dBijJ'"
142,317894973,2023-02-13 19:40:59+00:00,"b'@JooSouz33898483 @lou1sgf @odeiomulambo @geglobo Voc\xc3\xaas foram bem ontem, mereciam ter sa\xc3\xaddo na frente, mas o time do\xe2\x80\xa6 https://t.co/MoLbVdv2Dz'"
143,252398355,2023-02-13 19:40:46+00:00,"b'Horowitz: As FDA prepares to roll out RSV, flu shots, Fauci concedes they\xe2\x80\x99re not ready for prime time https://t.co/oFcw66hVzx'"
144,357425652,2023-02-13 19:40:44+00:00,"b'RT @elisaperego78: The presence of an early mild stage in SARS-CoV-2 infection, with flu like symptoms in a significant number of Covid pat\xe2\x80\xa6'"
145,1289362682659962880,2023-02-13 19:40:42+00:00,"b'@Gunguy196 @HenryKarlsonIII @tedcruz It wasn\xe2\x80\x99t like a very bad, cold, nor flu! That was proven over and over again!\xe2\x80\xa6 https://t.co/jMhhpI1VzF'"
146,357425652,2023-02-13 19:40:41+00:00,"b'RT @elisaperego78: On the brief, ""mild"" flu like illness that may come early with HIV infection\nTo note, of course HIV is a different virus\xe2\x80\xa6'"
147,1397640985136488450,2023-02-13 19:40:39+00:00,b'RT @johnsummit: just made a fkn BANGER with the worlds worst hangover. this is my michael jordan flu game'
148,301676767,2023-02-13 19:40:37+00:00,"b'\xe2\x80\x9cI\xe2\x80\x99m feeling sick and I ain\xe2\x80\x99t got the flu, girl I\xe2\x80\x99m missing youuu!\xe2\x80\x9d \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6'"
149,1240373212355141634,2023-02-13 19:40:36+00:00,b'God damn frat flu caused to forget my fucking snowboard at work \xf0\x9f\x98\xad'
150,1221578464509222913,2023-02-13 19:40:35+00:00,b'RT @ejustin46: BIRD FLU NOT REALLY TRANSMITTABLE TO HUMANS? IS THIS A BAD JOKE?\n#birdflu #AvianFlu\n\nIt was suggested recently that since th\xe2\x80\xa6'
152,1520760410613321728,2023-02-13 19:40:16+00:00,b'RT @realEdwardG: @AGHuff @TaraBull808 I am being discharged from the military for refusing a NEW experimental adenovirus (live-virus) PILL\xe2\x80\xa6'
154,1114836378494349312,2023-02-13 19:40:12+00:00,b'@UnlikelyBot Seasonal Illness is quite often flu. She\xe2\x80\x99s a mean woman who thinks that a woman of 75 is not allowed to be ill.'
155,1333063839605207046,2023-02-13 19:40:03+00:00,b'@ShortlandsPR @sammyanntyler Would you have worked with any type cold/flu? \xf0\x9f\xa4\x94'
