,Tweet,tags,Processed_Tweets,Tweets_Adjectives,Tweets_Sentiment,Subjectivity,Polarity,Sentiment
0,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',fever,b'runny nose tear eyes fever headache loss appetite chills nausea\nidk im functioning work,nose tear nausea idk im,runny nose tear eye fever headache loss appetite chill nausea\nidk im functioning work,0.0,0.0,Neutral
1,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'",fever,b hot/cold sometimes usually cold means things turning around like fever breaking ...,cold,hot/cold sometimes usually cold mean thing turning around like fever breaking ...,0.84375,-0.45625,Negative
2,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'",fever,b'cytomegalovirus colitis complication cd lt cells/microl s/s nausea fever abd pain diarrhea hemorrhag ...,,cytomegalovirus colitis complication cd lt cells/microl s/s nausea fever abd pain diarrhea hemorrhag ...,0.0,0.0,Neutral
3,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb',fever,b l know otli matli nausea vomiting \nsar-me-darad headache.\nbukhar fever.\ntakleef ..., sarmedarad,l know otli matli nausea vomiting \nsar-me-darad headache.\nbukhar fever.\ntakleef ...,0.0,0.0,Neutral
4,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',fever,b'went fever cough sore throat flu perma sneezing nosebleeds nausea span days pls send help,,went fever cough sore throat flu perma sneezing nosebleed nausea span day pls send help,0.0,0.0,Neutral
5,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',fever,b'the initial sick day covid absolutely brutal -days-later fever nausea killing today weird fucking disease,the initial sick brutal weird,the initial sick day covid absolutely brutal -days-later fever nausea killing today weird fucking disease,0.7314285714285715,-0.5378571428571429,Negative
6,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',fever,b'rt disco fever disco nausea disco stomach cramps died disco dysentery,disco, disco fever disco nausea disco stomach cramp died disco dysentery,0.0,0.0,Neutral
7,b'fever and flu starting thursday tonight ; feeling nausea',fever,b'fever flu starting thursday tonight feeling nausea,thursday tonight,fever flu starting thursday tonight feeling nausea,0.1,0.0,Neutral
8,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',fever,b may fever nausea everyone talking babies encrypted code,,may fever nausea everyone talking baby encrypted code,0.0,0.0,Neutral
9,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'",fever,b'also vomiting nausea diarrhoea shaking peripheries dyspnea fever etc,,also vomiting nausea diarrhoea shaking periphery dyspnea fever etc,0.0,0.0,Neutral
10,"b'well my wish came true... body aches, fever, nausea, im miserable '",fever,b'well wish came true ... body aches fever nausea im miserable,wish true nausea,well wish came true ... body ache fever nausea im miserable,0.825,-0.325,Negative
11,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'",fever,b'catching cold/tropical cold\n\ncause much exertion outdoor activities bad weather\n\nsymptoms nausea fever ...,cold/tropical much bad,catching cold/tropical cold\n\ncause much exertion outdoor activity bad weather\n\nsymptoms nausea fever ...,0.5888888888888889,0.0333333333333334,Positive
12,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'",fever,b fever nausea vomiting bowel issues weak dizzy ..............,weak,fever nausea vomiting bowel issue weak dizzy ..............,0.625,-0.375,Negative
13,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""",fever,b '' kid got sick high fever nausea think 'm sick neat 's hoping passes quickly '',sick high sick,`` kid got sick high fever nausea think 'm sick neat 's hoping pass quickly ``,0.6885714285714285,-0.23380952380952386,Negative
14,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'",fever,b wks ago cough fever really bad headache nausea,bad,wks ago cough fever really bad headache nausea,0.6666666666666666,-0.6999999999999998,Negative
15,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x',fever,b cryptospiridium \nwatery diarrhea stomach cramps pain dehydration nausea vomiting fever ...,,cryptospiridium \nwatery diarrhea stomach cramp pain dehydration nausea vomiting fever ...,0.0,0.0,Neutral
16,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'",fever,b'the shakes nausea feverishness lethargy cramps bathroom time cant keep anything even apple wow,feverishness cant,the shake nausea feverishness lethargy cramp bathroom time cant keep anything even apple wow,1.0,0.1,Positive
17,"b'typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'",fever,b'typical food poisoning symptoms fever headache nausea vomiting abdominal pain diarrhea.\n\nread ...,typical abdominal,typical food poisoning symptom fever headache nausea vomiting abdominal pain diarrhea.\n\nread ...,0.5,-0.16666666666666666,Negative
18,"b'and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'",fever,b'and im episodes body pain slight fever sore throat nausea vomiting yaw q na si b ...,slight q,and im episode body pain slight fever sore throat nausea vomiting yaw q na si ...,0.16666666666666666,-0.16666666666666666,Negative
19,b'@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0',fever,b covid last august stuffy/burning nose loss taste amp smell fever dizzinesss nausea loss app ...,last august nose dizzinesss,covid last august stuffy/burning nose loss taste amp smell fever dizziness nausea loss app ...,0.06666666666666667,0.0,Neutral
20,"b""woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""",fever,b '' woke high fever nausea puked y'all n't see tweet cause im fighting life '',high y'all tweet,`` woke high fever nausea puked y'all n't see tweet cause im fighting life ``,0.5399999999999999,0.16,Positive
21,"b'most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'",fever,b'most common side effect seen mountaineer trial diarrhea fatigue rash nausea fever amp reactions tra ...,common,most common side effect seen mountaineer trial diarrhea fatigue rash nausea fever amp reaction tra ...,0.5,0.1,Positive
22,"b'@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'",fever,b experience full body tremors high fevers migraines fatigue nausea vomiting cold sweats dry ...,full high cold,experience full body tremor high fever migraine fatigue nausea vomiting cold sweat dry ...,0.6725,-0.039166666666666655,Negative
23,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'",fever,b'-fever \n\nthe pain nausea vomiting result fever accompanied headaches delirium.\n\ny ...,,-fever \n\nthe pain nausea vomiting result fever accompanied headache delirium.\n\ny ...,0.0,0.0,Neutral
24,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'",fever,b'-fever \n\nthe pain nausea vomiting result fever accompanied headaches delirium.\n\ny ...,,-fever \n\nthe pain nausea vomiting result fever accompanied headache delirium.\n\ny ...,0.0,0.0,Neutral
25,b'high fever &amp; nausea ',fever,b'high fever amp nausea,high,high fever amp nausea,0.5399999999999999,0.16,Positive
26,"b'i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'",fever,b got chills nausea fever wtf nah taking cough medicine everything got worse close crashing ...,wtf cough close,got chill nausea fever wtf nah taking cough medicine everything got worse close crashing ...,0.8,-0.45,Negative
27,"b'woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'",fever,b'woke feeling like unknown garbage c test negative fever mucus nausea malaise \nhad cance ...,unknown c negative,woke feeling like unknown garbage c test negative fever mucus nausea malaise \nhad cance ...,0.5,-0.2,Negative
28,"b'woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'",fever,b'woolworths nambour queensland suspected food poisoning symptoms diarrhea nausea vomiting fever stomach p ...,nambour nausea,woolworths nambour queensland suspected food poisoning symptom diarrhea nausea vomiting fever stomach p ...,0.0,0.0,Neutral
29,b'fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',fever,b'fast forward today child fever high amp got nothing nausea vomiting,high,fast forward today child fever high amp got nothing nausea vomiting,0.57,0.18,Positive
30,b'sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',fever,b'sophie started fever wednesday amp urgent care dr prescribed nausea medication,wednesday urgent nausea,sophie started fever wednesday amp urgent care dr prescribed nausea medication,0.0,0.0,Neutral
31,b'symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',fever,b'symptoms appendicitis\nloss appetite\nflatulence\nnausea vomiting\nfever\nmore information please visit us ...,,symptoms appendicitis\nloss appetite\nflatulence\nnausea vomiting\nfever\nmore information please visit u ...,0.0,0.0,Neutral
32,b'the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',fever,b'the commonly searched conditions \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure hyperte ...,pain fever headache nausea high,the commonly searched condition \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure hyperte ...,0.5,-0.3,Negative
33,b'2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',fever,b nausea throat bro theres way isnt fever bc limbs painnn body temperature weird,isnt painnn,nausea throat bro there way isnt fever bc limpainnn body temperature weird,1.0,-0.5,Negative
34,"b'@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'",fever,b avian flu symptoms humans range fever cough sore throat muscle aches nausea abdomi ...,avian throat,avian flu symptom human range fever cough sore throat muscle ache nausea abdomi ...,0.1,0.0,Neutral
