,id,Time,Tweet,Processed_Tweets,tags
3763,1578527198734065664,2023-02-13 17:09:44+00:00,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',b'runnynoseteareyesfeverheadachelossappetitechillsnausea\nidkimfunctioningwork',fever
3860,49049956,2023-02-13 15:34:08+00:00,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'","b'hot/coldsometimes.usuallycoldmeansthingsturningaround,likefeverbreaking....",fever
3950,92341784,2023-02-13 13:57:31+00:00,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'","b'cytomegaloviruscolitis-complicationcd&lt;cells/microl;s/s:nausea,fever,abdpain,diarrhea,hemorrhag...",fever
4020,1179433528687239173,2023-02-13 11:38:54+00:00,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb',b'lknowotlimatlinauseavomiting.\nsar-me-daradheadache.\nbukharfever.\ntakleef...,fever
4297,856681920,2023-02-13 01:57:45+00:00,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',b'wentfevercoughsorethroatflupermasneezingnosebleedsnauseaspandays.plssendhelp;-;',fever
4328,17979526,2023-02-13 00:59:52+00:00,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',b'theinitialsickdaycovidabsolutelybrutal-days-laterfevernauseakillingtoday.weirdfuckingdisease',fever
4604,1170795830,2023-02-12 17:16:21+00:00,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',b'rt:discofever.disconausea.discostomachcramps.dieddiscodysentery.',fever
4615,927943576943607808,2023-02-12 16:52:01+00:00,b'fever and flu starting thursday tonight ; feeling nausea',b'feverflustartingthursdaytonight;feelingnausea',fever
4650,1581382109595422723,2023-02-12 16:06:33+00:00,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',b'mayfevernauseaeveryonetalkingbabiesencryptedcode?',fever
4664,910215892222521346,2023-02-12 15:39:09+00:00,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'","b'also;vomiting,nausea,diarrhoea,shakingperipheries,dyspnea,feveretc",fever
4673,1316235967427084288,2023-02-12 15:18:17+00:00,"b'well my wish came true... body aches, fever, nausea, im miserable '","b'wellwishcametrue...bodyaches,fever,nausea,immiserable'",fever
4695,318562607,2023-02-12 14:42:22+00:00,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'","b'catchingcold/tropicalcold\n\ncause:muchexertionoutdooractivities+badweather\n\nsymptoms:nausea,fever,...",fever
4964,2329454670,2023-02-12 03:22:14+00:00,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'","b'fever,nausea,vomiting,bowelissues,weak,dizzy..............'",fever
5071,320558416,2023-02-11 23:48:47+00:00,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""",b''kidgotsickhighfevernauseathink'msick.neat.'shopingpassesquickly.'',fever
5182,511177454,2023-02-11 20:47:40+00:00,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'","b'wksago.coughfever.reallybadheadache,nausea.'",fever
5220,1257376306058182660,2023-02-11 19:46:00+00:00,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x',b'cryptospiridium:\nwaterydiarrhea/stomachcrampspain/dehydration/nausea/vomiting/fever/...,fever
5365,288115413,2023-02-11 15:30:57+00:00,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'","b'theshakes.nausea.feverishness.lethargy.cramps.bathroomtime.cantkeepanything,evenapple.wow.'",fever
5407,1210849104265220096,2023-02-11 14:36:00+00:00,"b'typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'","b'typicalfoodpoisoningsymptomsfever,headache,nausea,vomiting,abdominalpaindiarrhea.\n\nread...",fever
5446,139020039,2023-02-11 13:13:27+00:00,"b'and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'","b'andimepisodesbodypain,slightfever,sorethroat,nausea,vomitingyawqna.sib...",fever
5539,171610252,2023-02-11 09:26:53+00:00,b'@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0',b'covidlastauguststuffy/burningnoselosstaste&amp;smellfeverdizzinesssnausealossapp...,fever
5545,825339954293252096,2023-02-11 09:14:02+00:00,"b""woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""",b''wokehighfevernauseapukedy'alln'tseetweetcauseimfightinglife'',fever
5584,1479442159,2023-02-11 07:25:16+00:00,"b'most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'","b'mostcommonsideeffectseenmountaineertrialdiarrhea,fatigue,rash,nausea,fever&amp;reactionstra...",fever
5601,1423367229534576646,2023-02-11 06:29:00+00:00,"b'@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'","b'experiencefullbodytremors,highfevers,migraines,fatigue,nausea,vomiting,coldsweats,dry...",fever
5607,1586238984900022274,2023-02-11 06:23:16+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'","b'-fever:\n\nthepain,nauseavomitingresultfeveraccompaniedheadachesdelirium.\n\ny...",fever
5647,1477017359152033792,2023-02-11 04:31:28+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'","b'-fever:\n\nthepain,nauseavomitingresultfeveraccompaniedheadachesdelirium.\n\ny...",fever
5841,304148225,2023-02-10 23:50:29+00:00,b'high fever &amp; nausea ',b'highfever&amp;nausea',fever
5900,1456472462221271049,2023-02-10 22:00:12+00:00,"b'i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'","b'gotchills,nausea,feverwtf.nahtakingcoughmedicineeverythinggotworse.closecrashing...",fever
6093,1487589976292343811,2023-02-10 16:59:50+00:00,"b'woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'","b'wokefeelinglikeunknowngarbage.ctestnegative,fever,mucusnauseamalaise.\nhadcance...",fever
6185,921197448885886977,2023-02-10 14:43:05+00:00,"b'woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'","b'woolworths-nambour,queensland-suspectedfoodpoisoning.symptoms:diarrhea,nausea,vomiting,fever,stomachp...",fever
6300,1390056121,2023-02-10 11:17:19+00:00,b'fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',b'fastforwardtodaychildfeverhigh&amp;gotnothingnauseavomiting',fever
6301,1390056121,2023-02-10 11:16:27+00:00,b'sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',b'sophiestartedfeverwednesday&amp;urgentcaredrprescribednauseamedication',fever
6316,1255760114423869441,2023-02-10 10:51:41+00:00,b'symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',b'symptomsappendicitis\nlossappetite\nflatulence\nnauseavomiting\nfever\nmoreinformationpleasevisitus:...,fever
6593,78914170,2023-02-10 01:22:55+00:00,b'the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',b'thecommonlysearchedconditions\n\ndiabetes\nchestpain\nfever\nheadache\nnausea\nhighbloodpressure(hyperte...,fever
6598,925078232722001921,2023-02-10 01:15:13+00:00,b'2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',b'nauseathroatbrothereswayisntfeverbclimbspainnnbodytemperatureweird',fever
6648,821557840401702912,2023-02-09 23:45:16+00:00,"b'@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'","b'avianflusymptomshumansrangefever,cough,sorethroatmuscleachesnausea,abdomi...",fever
6685,19778050,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'","b'peoplesuffervomiting,diarrhea,nausea,stomachpain.mayalsodevelopfever,headache,bod...",fever
6686,258784821,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'","b'peoplesuffervomiting,diarrhea,nausea,stomachpain.mayalsodevelopfever,headache,bod...",fever
6695,1241457204265463808,2023-02-09 22:28:30+00:00,"b'@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'","b'needgetbacktouch..painfever,chills,pressure,swelling,rednesshea...",fever
6733,28895742,2023-02-09 21:20:24+00:00,"b'what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'","b'whatfucksortillnessrandomlyshowstakingafternoonnapgivesnausea,fever,headach...",fever
6766,1537995574326112256,2023-02-09 20:38:03+00:00,b'its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',b'itsfevernauseamakeswholethingworse...,fever
6908,383140300,2023-02-09 17:50:03+00:00,"b'physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'","b'physicalhealth:\nfever,jointsmusclepain,nausea,fatigue,cold\ncure:\nkr$na'",fever
6921,966464426420338688,2023-02-09 17:39:33+00:00,"b'i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'","b'sickening(chills,fever,nausea,headaches)",fever
7057,1547716535443066880,2023-02-09 14:04:18+00:00,b'seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',b'seemfevertoday.\n\nnonausealeastsweatingshakingprettybad.throatimproving',fever
7152,1521706762142846977,2023-02-09 10:57:42+00:00,b'diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',b'diarrheadiagnosistreatment.\n\nsymptoms:\n\nabdominalpain\nfever\nnausea\nvomiting\n\nbookappointmenttoday...,fever
7164,2463500425,2023-02-09 10:29:13+00:00,"b'#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'","b'kidneystonesassociatedsymptomsinclude:nausea,vomiting,fever,bloodurine,pusurine,painfulurination.'",fever
7207,402105206,2023-02-09 08:33:34+00:00,"b' body aches, fever, cough, nausea, phlegm and shivers. '","b'bodyaches,fever,cough,nausea,phlegmshivers.'",fever
