,tags,Cleaned_tweet,recommend,symptoms1
1,fever,hot cold sometimes usually cold mean thing turning around like fever breaking ,Dress in Light Clothing.,No
52,fever,im confuse w  body feeling sick amp since weekend running fever body ache ,Dress in Light Clothing.,No
66,fever,and feverish anxiety incident betting toefl+ ielts.+ gre+ gmat+ sat+ act+ ,Dress in Light Clothing.,No
67,fever,yall dont understand dangerous reckless drive cause people ,Dress in Light Clothing.,No
72,fever,  usually would angry sh take app last time checked fever 'm jus ,Dress in Light Clothing.,No
78,fever, condo property manager sick day developed persistent fever wks yet choice ,Dress in Light Clothing.,No
81,fever,feeling kaafi sick rn fever killing,Dress in Light Clothing.,No
83,fever,   illness cause sharp rise absence christmas strep  scarlet fever  well covid  empti ,Dress in Light Clothing.,No
85,fever,caught baby fever soooooo bad yesterday,Dress in Light Clothing.,No
88,fever,eh dont think someone ever loses presidential fever catch path f ,Dress in Light Clothing.,No
91,fever,fever inevitable scanner disappointment house react     ,Dress in Light Clothing.,No
97,fever,  people sunset suffering endless fever.  can reverse spell even affected,Dress in Light Clothing.,No
101,fever,failed state year corruption n religious fever destroyed nation all.st ,Dress in Light Clothing.,No
105,fever,why still fever   please move sir g. main bowler failed ge ,Dress in Light Clothing.,No
106,fever,for everyone fever digital id understand ship sailed later  soylent green ,Dress in Light Clothing.,No
109,fever,im mad cause tf woke fever,Dress in Light Clothing.,No
117,fever,sick hell nov dont know covid hour fever heavy sweat chill ,Dress in Light Clothing.,No
119,fever,yeah cough cold like fever day ago negative thought flu similar,Dress in Light Clothing.,No
120,fever,liberal fever dream .   you leftist fruitcake strange bunch,Dress in Light Clothing.,No
137,fever,  keep living fever dream white racism 's unhealthy want badly oppressed  ,Dress in Light Clothing.,No
138,fever,gm way date halfway son called school sick fever motherhood call  happy ,Dress in Light Clothing.,No
140,fever, took fishing pole fearing fever  down swimming hole grows bitter herb that bloom ,Dress in Light Clothing.,No
145,fever,my baby fever insane cry,Dress in Light Clothing.,No
147,fever,  okay 'm still sick maybe fever tried writing bed fell research rabbit hole instead   ,Dress in Light Clothing.,No
154,fever,  'm feeling cold today hope 'm coming fever sinusitis inflamed 'm craving mala mogodu  ,Dress in Light Clothing.,No
170,fever,suffering strange fever cough past week inactive fandom yesterday g ,Dress in Light Clothing.,No
182,fever, brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song set ,Dress in Light Clothing.,No
185,fever,saw fyp drunk fuck thought like fever dream,Dress in Light Clothing.,No
190,fever,unfortunate baby fever,Dress in Light Clothing.,No
196,fever,one time sick sleep deprived point experiencing waking fever dre ,Dress in Light Clothing.,No
202,fever,  holy fuck fever 's bitch  ,Dress in Light Clothing.,No
205,fever,  occasion random valentine 's fever  ,Dress in Light Clothing.,No
210,fever,guilty eye fever,Dress in Light Clothing.,No
221,fever,the truth ufo fever grip congress via oh good grief congress ,Dress in Light Clothing.,No
224,fever,im confused question entire production fever dream im going ,Dress in Light Clothing.,No
230,fever,  sorry lack update 've really sick lately woke fever today stream postpone   ,Dress in Light Clothing.,No
240,fever,yall pray health also pas exam tomorrow fever since morning couldnt study shit ,Dress in Light Clothing.,No
245,fever,bring mixtape cabin fever kush oj apple music idk remix shit,Dress in Light Clothing.,No
246,fever,life one long fever dream since march   when think   thing get worse   i\ 'm shown ,Dress in Light Clothing.,No
260,fever,  oh hope fever n't funk bad.  alright sorry wishing speedy recovery mere  ,Dress in Light Clothing.,No
281,fever,my poor baby scarlett fever,Dress in Light Clothing.,No
282,fever,haha thanks yes high fever absolute worst,Dress in Light Clothing.,No
286,fever,  'cause 've got pac man fever pac man fever  it 's driving crazy driving crazy  i 've got pac ,Dress in Light Clothing.,No
289,fever,  've got fever cure dead angel mariabot  ,Dress in Light Clothing.,No
295,fever,hard sleep .. reality feel like fever dream,Dress in Light Clothing.,No
300,fever,had ice cream yesterday im fever hate,Dress in Light Clothing.,No
301,fever,you fever learning live everything happening wrong end long tunnel,Dress in Light Clothing.,No
303,fever,somehow caught bad case cold mild fever covid staying bed nursing back bett ,Dress in Light Clothing.,No
328,fever,one paying million useless bencher  imagine benche ,Dress in Light Clothing.,No
334,fever, cooking banner thematically futuristic cardano town ..  i got fever cold drop tomorrow fams ..,Dress in Light Clothing.,No
337,fever,finally back end terrible day fever phase dropped nothing good pair vaccine mexico wont fix,Dress in Light Clothing.,No
339,fever,something wrong cause heafeel heavy stagetting emotional whenever mention word trigger fever,Dress in Light Clothing.,No
345,fever,movie fucking fever dream,Dress in Light Clothing.,No
356,fever,diamond song france stbl lie fever dsn cold healove new r ,Dress in Light Clothing.,No
371,fever,   i baby fever bad still feel like 'm ready  ,Dress in Light Clothing.,No
372,fever,  bad one 's fever yeah   a whole mess baby need even attempt calm one  ,Dress in Light Clothing.,No
384,fever,  fox woken nap little better 'm sick guy 'm sorry fever like cold ,Dress in Light Clothing.,No
389,fever,qqsxx fever long life nft,Dress in Light Clothing.,No
399,fever,are thousand non plory little seven voting gon na actually tune cabin fever cover ,Dress in Light Clothing.,No
409,fever,mine got covid x campus last yr. day told nurse still really ill fever testing nurse said ,Dress in Light Clothing.,No
410,fever,want wait enjoy time without kid baby fever u really bad haha  we de ,Dress in Light Clothing.,No
424,fever,  fucking game sega world dominating bad company cause holy shit 's fever dream game  ,Dress in Light Clothing.,No
425,fever,my autocorrect changed hay fever gay fever well aint wrong,Dress in Light Clothing.,No
473,fever,its like im constantly sick day actually second time ive got fever cant hear anything right ear,Dress in Light Clothing.,No
479,fever,usually dont get baby fever baby la colombe,Dress in Light Clothing.,No
483,fever,  guess ate junk food middle fever  yes 's lame as  ,Dress in Light Clothing.,No
487,fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,Dress in Light Clothing.,No
489,fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,Dress in Light Clothing.,No
492,fever,got baby fever real bad,Dress in Light Clothing.,No
497,fever, cabin fever mean fret alienation claustrophobia could even say feeling antsy album message ,Dress in Light Clothing.,No
503,fever,nowplaying laughing slow motion cabin fever,Dress in Light Clothing.,No
504,fever,omg game ive recently playing cooking fever sims,Dress in Light Clothing.,No
507,fever,this fucking fever dream bro,Dress in Light Clothing.,No
509,fever,  's exactly russian barbarian must opposit ,Dress in Light Clothing.,No
510,fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,Dress in Light Clothing.,No
515,fever,apologize bringing randomly fever dream,Dress in Light Clothing.,No
523,fever, boom bust industry doubtful growth prospects  elections fever triggering panic companies du ,Dress in Light Clothing.,No
528,fever,did know fever help activate immune cell infection common question get ,Dress in Light Clothing.,No
529,fever,thats last cutesy valentine post ill ultra macho fever dream,Dress in Light Clothing.,No
532,fever,woke morning couple line fever gotten much worse . spare deta ,Dress in Light Clothing.,No
545,fever, common biddle banger  song princess friday night fever frenzy,Dress in Light Clothing.,No
547,fever,wonder mom experience baby fever baby crazy,Dress in Light Clothing.,No
548,fever,atsukage  the evil spread like fever ahead it night died firefly what could said ra ,Dress in Light Clothing.,No
561,fever,rajalingam birth time white colour time fever come dirty air nose time fever time e ,Dress in Light Clothing.,No
571,fever, matthew  shall famine gt pestilence  lt   marburg virus cause deadly hemorrhagic fever like ,Dress in Light Clothing.,No
583,fever,china yellow fever taking everything broken turn poilievre time government selling ca ,Dress in Light Clothing.,No
592,fever, aortaed year old history fever week complaint back ache falling scho ,Dress in Light Clothing.,No
593,fever,take care everyone house sick fever,Dress in Light Clothing.,No
600,fever,feed cold starve fever quote,Dress in Light Clothing.,No
