id,Time,Tweet
1527090495910199296,2023-02-14 16:19:14+00:00,"b""@thepupmommy My wife and I couldn't have a baby, so we adopted a cat instead.\n\nA year or so after that, I developed... https://t.co/jMqb6U6Hpi"""
187989747,2023-02-14 16:18:57+00:00,"b""RT @shmallergy: Bring your loved one a safe sweet this #Valentine's Day! There are LOTS of #foodallergy -friendly #bakeries out there who a..."""
891270957297410048,2023-02-14 16:18:53+00:00,"b""Hey everyone I had a severe allergy attack last night that hasn't exactly ended yet, so I'm holding off on today's... https://t.co/Unwr4TZhH5"""
1332417834,2023-02-14 16:18:28+00:00,"b""RT @FoodAllergy: Happy Valentine's Day! \nTodays the day for EVERYONE to feel loved!  \nOur Send Love, Not Allergens campaign is the pe..."""
466696519,2023-02-14 16:18:11+00:00,"b'RT @firstladyship: Seun, I have allergy for money being wrongly spent. I cannot give the people who are supposed to be praying for Nigeria...'"
1137074472949649409,2023-02-14 16:18:00+00:00,b'RT @AllergyKidsDoc: This is a very useful discussion for anyone with sesame allergy with one of the leading experts in the field \n\nCheck it...'
3636269596,2023-02-14 16:17:58+00:00,b'RT @chuuyaisms: chuuya getting a few roses for valentines and is happy about it and dazai who is about to explode bc whats so good about b...'
2520776000,2023-02-14 16:17:01+00:00,b'i take allergy medicine every morning!!! this is ridiculous!! allergens go back home no one likes you!!!'
1374142162657480705,2023-02-14 16:16:02+00:00,b'RT @ymmayer: i cant take white people who say they cant eat chinese food because they have a msg allergy seriously cuz how did they go...'
15222008,2023-02-14 16:15:49+00:00,b'RT @PAGreenbuilding: Improving Indoor Air Quality with Product Testing - Allergy Standards Ltd.: https://t.co/TztUS0BSwm @allergystandard C...'
1519972338166800384,2023-02-14 16:15:38+00:00,"b""RT @SUJUSHlDAE_: please enjoy this tiny compilation of eunji and sunbin taking advantage of heechul's compliments allergy to embarrass him..."""
161900763,2023-02-14 16:15:18+00:00,b'New allergy meds might be kicking my butt really hard today...  Super drowsy'
1296819846039183361,2023-02-14 16:14:38+00:00,"b""RT @SUJUSHlDAE_: please enjoy this tiny compilation of eunji and sunbin taking advantage of heechul's compliments allergy to embarrass him..."""
207079872,2023-02-14 16:14:33+00:00,"b""RT @GlassHalfWrong: @SparksN123 I've heard that if you are not exposed to nuts as a child you can actually develop an allergy to them. PB&amp;J..."""
1617433438256238593,2023-02-14 16:14:22+00:00,b'\n\n(allergy)\n'
1020929489470025728,2023-02-14 16:14:15+00:00,"b""RT @SUJUSHlDAE_: please enjoy this tiny compilation of eunji and sunbin taking advantage of heechul's compliments allergy to embarrass him..."""
1233533119,2023-02-14 16:14:09+00:00,"b""Today's symptoms:  headache, difficulty being in a lighted room, sore throat, dry cough, a bit of breathlessness ru... https://t.co/SHyFtearwU"""
1151091116978008066,2023-02-14 16:13:25+00:00,b'tabang akong allergy nilala yawa oy di nasad ko katarong ug tulog ani'
965539487374872577,2023-02-14 16:13:18+00:00,"b'RT @OkoyeJanefranc2: ""I have allergy for money being spent wrongly!"" @PeterObi .... \nObi-Datti is coming https://t.co/tsALok6EyB'"
246664168,2023-02-14 16:12:27+00:00,"b'@Agent131711 My teeth, ears and neck glands typically all hurt in spring with snow mold, pollen etc. My allergies w... https://t.co/Vmpdw8cd8P'"
39221086,2023-02-14 16:11:53+00:00,b'RT @ymmayer: i cant take white people who say they cant eat chinese food because they have a msg allergy seriously cuz how did they go...'
1556181222107357184,2023-02-14 16:11:48+00:00,b'bandaid allergy'
1452116765161533443,2023-02-14 16:11:43+00:00,"b'RT @gloriousbanker: ""Seun, I have allergy for money being wrongly spent."" \n--Peter Obi. Presidential Candidate, Labour Party. https://t.co...'"
1520892570569777154,2023-02-14 16:10:25+00:00,"b""If y'all could keep @joker12979  in your prayers we would appreciate it. \nHe got his allergy shots today and had an... https://t.co/eqBrfvu4CW"""
70544263,2023-02-14 16:10:17+00:00,"b'RT @JaypeeGeneral: Seun, I have an allergy for money being wrongly spent, I cant give money to those [CAN] who are supposed to be praying...'"
303849876,2023-02-14 16:09:46+00:00,b'I have allergy for money being wrongly spent https://t.co/AoN1LZCktK'
105023487,2023-02-14 16:09:06+00:00,b'RT @ymmayer: i cant take white people who say they cant eat chinese food because they have a msg allergy seriously cuz how did they go...'
41510212,2023-02-14 16:08:23+00:00,b'Roses are red\nViolets are blue\nOh no. I have a pollen allergy\nAchoooo!'
15013261,2023-02-14 16:08:14+00:00,b'RT @saradietschy: Finally had an allergy test done.. \n\nGreat news is Im not allergic to cats but Im allergic to literal Grass so I dont...'
747563359,2023-02-14 16:08:09+00:00,b'i have a very strong suspicion that allergy season has already started '
3184559611,2023-02-14 16:07:47+00:00,"b""FoodAllergy: Happy Valentine's Day! \nTodays the day for EVERYONE to feel loved!  \nOur Send Love, Not Allergen... https://t.co/TayY0zfwXA"""
23143287,2023-02-14 16:07:37+00:00,b'Food #allergy is an immune system reaction that occurs soon after eating a certain food. https://t.co/XqD4kHOsLt https://t.co/sRgRISb2Zg'
1115699122059616257,2023-02-14 16:07:32+00:00,b'RT @ymmayer: i cant take white people who say they cant eat chinese food because they have a msg allergy seriously cuz how did they go...'
365999380,2023-02-14 16:06:41+00:00,"b'RT @Uncle_Obinna: ""I have an allergy for money being wrongly spent"".\n\nThis man sey worry o.'"
1651215006,2023-02-14 16:06:26+00:00,"b'@Slev___ @aliamethyst I also suffer from this specific adhesive allergy, exactly what happens to mine.\n\nI switched... https://t.co/L6biyPXmtu'"
1281652500395888640,2023-02-14 16:05:23+00:00,"b""RT @SUJUSHlDAE_: please enjoy this tiny compilation of eunji and sunbin taking advantage of heechul's compliments allergy to embarrass him..."""
21225737,2023-02-14 16:04:58+00:00,"b""@WhirledCitizen_ Wish I'd had room to fit it in the tweet. Thanks for asking! Here's a grab off their website to ex... https://t.co/langTaQQI6"""
1305627180,2023-02-14 16:04:26+00:00,"b""Without proper sleep, you'll never feel energized. If allergies are keeping you up at night, it's time for a change... https://t.co/jl552BFJ52"""
3023502906,2023-02-14 16:04:23+00:00,b'Some of the best ways to accommodate a child with allergies are by using separate cooking utensils and washing surf... https://t.co/OQpNU1Zq9J'
77117840,2023-02-14 16:04:12+00:00,b'RT @ymmayer: i cant take white people who say they cant eat chinese food because they have a msg allergy seriously cuz how did they go...'
1357730451482431495,2023-02-14 16:04:01+00:00,"b'With all of the unmet needs within the #allergy community, Revolo is dedicated to changing that with our product in... https://t.co/57zsmIohSK'"
442009790,2023-02-14 16:03:40+00:00,"b""Happy Valentine's Day from our team at Hedberg Allergy &amp; Asthma! https://t.co/OgAcx3G7a4"""
14315513,2023-02-14 16:03:17+00:00,"b'@markchristie Might be nut allergy stuff? That stuff is taken very seriously. There are some real fun police watching lunch boxes, though'"
3304014503,2023-02-14 16:02:33+00:00,b'RT @Mackobra1: I have ALLERGY for MONEY being WRONGLY spent ~ Peter Onwuanusi Taiwo Mustafa Terfa Obi'
600295692,2023-02-14 16:02:04+00:00,b'Spring is near. If you suffer from #allergies try these all natural at home remedies that can Safeguard you against... https://t.co/cXHAerwLxO'
836613355875917825,2023-02-14 16:02:00+00:00,"b'I really find joy in giving people, hehe. Pero allergy ako sa opportunist'"
2337419532,2023-02-14 16:01:50+00:00,"b""yu47Y  You're suffering from an allergy?           #   #   #   #                    https://t.co/XFkYnqc9jH"""
1608674655681871875,2023-02-14 16:01:40+00:00,b'Real tempted to just allergy pill myself to sleep but Im not tryin to waste time like that.'
1573307274583482368,2023-02-14 16:00:58+00:00,"b'RT @JaypeeGeneral: Seun, I have an allergy for money being wrongly spent, I cant give money to those [CAN] who are supposed to be praying...'"
1021858977695637506,2023-02-14 16:00:38+00:00,"b'Because of patients like you, we love what we do. Wishing you a #happyvalentinesday from all of us at McGovern Alle... https://t.co/XcuOyNs2FU'"
