id,Time,Tweet
845658145,2023-02-14 15:40:38+00:00,b'RT @NIHRCRN_yorks: A patient in Yorkshire and Humber has become the first to be recruited globally to a new study investigating the safety...'
1169775415,2023-02-14 15:40:12+00:00,"b'STEELE Water Fact- When dehydrated, airways are restricted by the body to minimize water loss. This can make asthma... https://t.co/ES41FDa1ho'"
837186017501331456,2023-02-14 15:39:49+00:00,"b""@ShieldMouse NO BC I'M CRYING LIKE IM ABT TO HAVE AN ASTHMA ATTACK OKG """
1281186137109925893,2023-02-14 15:39:48+00:00,"b'""Love is in the air""\n\nAsthma patients : https://t.co/qrrdBatgC7'"
2976676220,2023-02-14 15:39:44+00:00,b'Tigas ulo nag mango shake pa ako. Tonsillitis tuloy road to asthma '
1536036590119682049,2023-02-14 15:39:18+00:00,b'@mattyseventeen @MattWalshBlog Any of those experts think it might be wise to get folks out of the area while they... https://t.co/Rwv0n3VX3X'
23866756,2023-02-14 15:39:11+00:00,b'@Covid_Stinks @CityOfVictoria @MarianneAlto My husband ventured downtown yesterday and came home yet again shaking... https://t.co/1BbvYtAmnT'
1411358700934033412,2023-02-14 15:39:06+00:00,b'@oksoshhh Asthma '
1307367915302187009,2023-02-14 15:38:54+00:00,b''
94962756,2023-02-14 15:38:45+00:00,"b'RT @BolaOwolabi8: NEW BLOG from Dr Martin Allen on high quality, low carbon respiratory care that improves lung health outcomes for patien...'"
1307367915302187009,2023-02-14 15:38:43+00:00,b''
1172592878947905537,2023-02-14 15:38:38+00:00,"b'NEW BLOG from Dr Martin Allen on high quality, low carbon respiratory care that improves lung health outcomes for... https://t.co/5BOEdbp8HU'"
1429075765593665540,2023-02-14 15:38:31+00:00,b'@asthma___chan '
2876907620,2023-02-14 15:38:15+00:00,b'@OkeyaDesu wwwwwwwwww'
168654286,2023-02-14 15:38:08+00:00,b'@IppoAng Completely agree. Positive thinking will not treat your disease. \n\nWanting to be healthy does not cure lon... https://t.co/FkJp69BA9C'
2876907620,2023-02-14 15:38:00+00:00,b'@fujii_takafumi_ '
