id,Time,Tweet
1535358532568113152,2023-02-14 16:40:16+00:00,"b'@ThaJungleKiDD @NFL @PatrickMahomes @Chiefs You call me dumb, but yet can piece the fact that you have been losing... https://t.co/z7fnQZcFsW'"
1575371521891106819,2023-02-14 16:40:15+00:00,b'@FLYINGSQUlD . . .\n\n[ big autism eyes. ]\n\ncan i pet it.'
1040131293869162496,2023-02-14 16:40:09+00:00,b'Otizmli cocuklarmz ile ilgili dansmak istediginiz konularda ve ihtiyac duydugunuz her anda Rehberlik Dansma Hat... https://t.co/sl9AsPnHIr'
72830771,2023-02-14 16:40:07+00:00,"b'RT @BillboardChris: The Tavistock, Englands gender clinic, ignored evidence that 97.5 per cent of children seeking sex changes had autism,...'"
1518683698710855681,2023-02-14 16:40:06+00:00,"b'RT @aware_the: ***MISSING JUVENILE*** BRISTOL, VA\nThe Bristol, Virginia Police Department is searching for a missing 15-year-old juvenile w...'"
1461862593459625984,2023-02-14 16:40:00+00:00,b'@apples_dashie LMAO?? AUTISM???'
770281037746364417,2023-02-14 16:39:50+00:00,"b'RT @wweisawesome123: The Maori word for #autism \nis takiwatanga, \nin their own time and space\nI for one, think its lovely \nto describe t...'"
767831533428154369,2023-02-14 16:39:44+00:00,b'as soon as i finish dorohedoro im fully activating the autism chip in my brain and finally getting into gundam'
1461862593459625984,2023-02-14 16:39:39+00:00,b'RT @apples_dashie: Autism is their season https://t.co/WxkqNyVSdG'
767498664092831744,2023-02-14 16:39:39+00:00,"b""RT @drstevenkapp: I am disappointed @kgillyn's &amp; my research continues to be divisively misrepresented. Our title, results, and discussion..."""
1003733194036908032,2023-02-14 16:39:26+00:00,b'https://t.co/4TxmkvGbsd'
486289771,2023-02-14 16:39:18+00:00,b'VIDEO - HHS HeadStart Website Recommends Cartoon Video for Training Preschoolers with Autism to Wear Masks https://t.co/DkypJO0ZrX'
1316113238,2023-02-14 16:39:08+00:00,"b'RT @ColinTKIrk: Children as young as 10 were referred to specialists with a view to them being prescribed puberty-blocking drugs, and other...'"
1434680736993447944,2023-02-14 16:39:07+00:00,"b'My autism brain wants them so bad, especially the last two https://t.co/K9XLlqqfGS https://t.co/gmr3h4arW6'"
1214514598981718016,2023-02-14 16:38:57+00:00,b'@leseulgian @MiracleOculaire @apriljentaTV @ahbxz10 @tragicbirdapp Considering your blaming me for the fact YOU bro... https://t.co/dZlNJhoyvx'
3027325817,2023-02-14 16:38:55+00:00,b'RT @Noahsasson: The autism community is becoming increasingly polarized with some seeing little or no disability associated with autism...'
1202120852701163520,2023-02-14 16:38:48+00:00,"b'RT @eleanorchats: As one step towards improving earlier diagnosis, we need to challenge stereotypes of what we think autism looks like and...'"
1202120852701163520,2023-02-14 16:38:41+00:00,"b'RT @eleanorchats: As professionals, we must get better at detecting autism in girls at an earlier age. Take for example special interests w...'"
1273057484605882369,2023-02-14 16:38:39+00:00,b'RT @f42sfxnym5: the c in creek stands for cringefail and the a in craig stands for autism #spcreek https://t.co/PDtkhmkFSy'
26866358,2023-02-14 16:38:39+00:00,b'RT @TaniaAMarshall: Children referred to GIDS paediatric gender clinic were 10X more likely than national average to have registered sex o...'
983485650237353986,2023-02-14 16:38:39+00:00,"b""@GlitterfaeThey One of the absolute worst parts of being an autistic parent, especially in the kids' toddler years,... https://t.co/hBGRzMwcYw"""
1151613072190201857,2023-02-14 16:38:37+00:00,"b'@juliaisautistic On reflection, it just never occurred to me that HS was supposed to be all dramatic and stressful.... https://t.co/D2Q1agxXTL'"
3027325817,2023-02-14 16:38:37+00:00,"b""RT @drstevenkapp: I am disappointed @kgillyn's &amp; my research continues to be divisively misrepresented. Our title, results, and discussion..."""
1496187351743311876,2023-02-14 16:38:33+00:00,b'RT @Vernoxis_: Proud family louder and prouder normalized autism in the new season but ok'
1146650226570203137,2023-02-14 16:38:32+00:00,b'@BloomMoonbeam SHE LOOKS SO MUCH LIKE THE AUTISM CRECHER I LOVE HERRRRERRERRERRHRJDNNFDMM'
1428313060545077248,2023-02-14 16:38:29+00:00,b'@wweisawesome123 @Autism @BillBailey @glennkirschner2 @AngelaBelcamino @nadiacomaneci10 @mrjamesob @ChrisGPackham... https://t.co/zXvkQyM02e'
2424184315,2023-02-14 16:38:28+00:00,"b'@ChloeSApter Giving a history to a medical student while in ITU, about my MG, and he started to ask questions about... https://t.co/2CXTmuK4By'"
1654306039,2023-02-14 16:38:18+00:00,"b""RT @drstevenkapp: I am disappointed @kgillyn's &amp; my research continues to be divisively misrepresented. Our title, results, and discussion..."""
959645369620672512,2023-02-14 16:38:01+00:00,"b'RT @TaniaAMarshall: The Tavistock clinic ignored evidence that 97.5 per cent of children seeking sex changes had autism, depression or oth...'"
457404747,2023-02-14 16:37:57+00:00,b'RT @CforWomenUK: Children referred to Gids were ten times more likely than the national average to have a registered sex offender as a par...'
569346116,2023-02-14 16:37:53+00:00,"b'RT @ColinTKIrk: Children as young as 10 were referred to specialists with a view to them being prescribed puberty-blocking drugs, and other...'"
1602530673931087872,2023-02-14 16:37:51+00:00,"b'@EllerWinters @MattWalshBlog @benshapiro I have 2 nieces doing the same, so so sad. One is a 22 year old autism spe... https://t.co/nVc2SOmekZ'"
248725588,2023-02-14 16:37:40+00:00,b'@21Sandshark @TrudySnyder20 @RobSchneider I understand it. Have researched it at length. My son had mercury toxicit... https://t.co/wtCu3ddoch'
