id,Time,Tweet
1521984934772060160,2023-02-14 15:50:56+00:00,"b""@purplekisstrend Buff the SLAYer \n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
1323639536350617602,2023-02-14 15:50:52+00:00,"b'@horsepower kids whole account is a fever dream, fortnite tournament leaderboards to tapn for methods LMFAO'"
1347942811287523331,2023-02-14 15:50:48+00:00,b'RT @sugaryoonj_: all these erasure should be a reason for engenes to appreciate enhypens hard work more by supporting them and their music...'
18013990,2023-02-14 15:50:47+00:00,b'Catching a fever. Need someone to do a kerokan for me. Anyone?'
868972807115468800,2023-02-14 15:50:35+00:00,"b""But somehow it started to feel like it wasn't real. It was just a fever dream.... https://t.co/NZTVaitBsx"""
1264099363208302593,2023-02-14 15:50:35+00:00,b'RT @madefor_en: Enhypen Valentines Balance Game  #ENHYPEN \n\nPink or Red? \nPink: \nRed: \n\nDance/Pop or RNB/Jazz? \nD/P: \nR/J: ...'
876745832057393152,2023-02-14 15:50:24+00:00,b'RT @purplekissloops: reminder that you can preorder cabin fever here  and get 40% off!!\n\nhttps://t.co/vlK18cM3Pl https://t.co/vu3AZwHnVu'
1521984934772060160,2023-02-14 15:50:21+00:00,"b""@purplekisstrend Sabrina the teenage witch\n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
1571108275890040833,2023-02-14 15:50:19+00:00,b'RT @sugaryoonj_: all these erasure should be a reason for engenes to appreciate enhypens hard work more by supporting them and their music...'
974312382510985217,2023-02-14 15:50:18+00:00,b''
325075015,2023-02-14 15:50:06+00:00,b'how many sweet treats to cure fever estimate'
1566416910119567361,2023-02-14 15:50:04+00:00,"b'RT @vocabdays:  2012/02/14 @ 22:56 JST \n\nHappy birthday to Nijigen Dream Fever by PolyphonicBranch! As of now, the first upload of the so...'"
1119063088945221632,2023-02-14 15:50:01+00:00,"b'@fluffyliltae Ikr, feels like a fever dream for me '"
1093343382020202496,2023-02-14 15:49:59+00:00,"b""RT @SchoolBreakin: PSYCHIC FEVER !  #challenge  ' '  #NewSchool..."""
1082262160623861760,2023-02-14 15:49:58+00:00,b'RT @boysplanet_kr: this is a fever dream https://t.co/dLgFj0qcAB'
1614571063484239873,2023-02-14 15:49:57+00:00,b'RT @PathinaSrinu: The #PoonakaluLoading fever continues \n@KChiruTweets @dirbobby @ThisIsDSP #Waltairverayya #BlockbusterWaltairVeerayya...'
1167252823639093248,2023-02-14 15:49:56+00:00,b'RT @haruca92: ShazamMAX CHANGMINFever https://t.co/2Jn5s8xH1b'
814995058994900993,2023-02-14 15:49:55+00:00,b'RT @speliviaspr: https://t.co/d7fErog7f6'
1465067811924230147,2023-02-14 15:49:49+00:00,"b""101  Night Fever on Valentine's Day !!!\nGamble Rumble\n\n!\n\n?\nPON?\n... https://t.co/iGHPbrQr5G"""
1521984934772060160,2023-02-14 15:49:44+00:00,"b""@purplekisstrend Hocus Pocus\n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
895598259577643008,2023-02-14 15:49:44+00:00,b'PreOrder\n#PURPLEKISS - 5th Mini Album [Cabin Fever]\n\n660/1310\n\nPoca Ver. (6)\n3310Everline\n3400MakeS... https://t.co/L3l4imO3pb'
1520113018092535809,2023-02-14 15:49:43+00:00,b' 5555555'
814995058994900993,2023-02-14 15:49:35+00:00,b'RT @CLGlifer:  https://t.co/hY7WrnfeaF'
535505365,2023-02-14 15:49:29+00:00,b'RT | PRE #ENHYPEN Fever Dance Practice ()\n\n#SUNOO CONVERSE: RUN STAR HIKE OX ( -10%)\n: 3390\n( 1790)... https://t.co/HHQ7bgj5Ou'
1577687730108219392,2023-02-14 15:49:12+00:00,"b""RT @ENHYPEN_ENGENE: [] REMINDER\n\nPlease keep streaming ENHYPEN () 'FEVER' Official MV on YouTube. Our daily views are increasing slowl..."""
749716911848468482,2023-02-14 15:49:11+00:00,b'RT @IQWrestler: this was my fever dream last night https://t.co/sY2r5ULxSx'
1389736913691582468,2023-02-14 15:49:07+00:00,b'\n:\n:\n\nGuilty Eyes Fever\n\nGuilty Kiss\n! !!'
3405338470,2023-02-14 15:49:06+00:00,"b'RT @mkaketo: #EquatorialGuinea confirms #Marburg  outbreak-09 confirmed dead \n\nDr Matshidiso Moeti, WHO Regional Director for Africa: Marb...'"
1520735662634573824,2023-02-14 15:49:02+00:00,b'PSYCHIC FEVER LIVE TOUR 2023 P.C.F\n\n6/13  Zepp Namba 2\n       6/15  Zepp Nagoya 2\n       6/26  Zepp Ha... https://t.co/jsKK5WsWo2'
1521984934772060160,2023-02-14 15:49:00+00:00,"b""@purplekisstrend Blair witch project \n\nHERE'S PURKY\n#Cabin_Fever_DDAY\n#PURPLE_KISS_IS_BACK # \n@RBW_PURPLEKISS"""
1283398889597366278,2023-02-14 15:48:58+00:00,b'ShazamMAX CHANGMINFever https://t.co/2Jn5s8xH1b'
1566460974630141952,2023-02-14 15:48:54+00:00,b'RT @ChinasaNworu: Assassination fever  that #IPOB exposed leads Atikus Campaign Organization to Offically Cancelled Igweocha (Rivers state...'
377424514,2023-02-14 15:48:47+00:00,b'WGN morning news is occasionally a fever dream. https://t.co/0HjbHyqlvi'
1602999527895699456,2023-02-14 15:48:41+00:00,b'@wckedgxmes on a dit baby fever?!'
1125753132888158208,2023-02-14 15:48:39+00:00,b'RT @GObyYaya: OPEN FAST PO ALBUM ATEEZ ZERO FEVER PART 2\n\n 16.500/album\n\nAvail : A &amp; Z ver\n\n bersih kr\n pilih versi\n sealed\n ems tax...'
1167252823639093248,2023-02-14 15:48:38+00:00,"b""RT @haruca92: MAX CHANGMIN \n' #Fever ' Dance Practice\n\nhttps://t.co/nSCIjuTztk\n\n# # #MAXCHANGMIN\n#MAXCHANGMIN_Devil #Devil htt..."""
628013,2023-02-14 15:48:35+00:00,b'I just added Bike Night Live 2/9/23 to Cycle Fever TV on #Vimeo: https://t.co/1k5bA1M1dH'
1093343382020202496,2023-02-14 15:48:35+00:00,b'RT @highcloudent: #ToTheTop_MV Hits 500K Views \n\n #ToTheTop \nDownload  !\n https://t.co/AeLFxY3m5I\n\nPSY...'
