id,Time,Tweet
1206226416674586624,2023-02-14 16:19:06+00:00,b'Coffee is instant indigestion for me bro '
741780896,2023-02-14 16:16:51+00:00,b'Or maybe you just have indigestion  https://t.co/0ja0VrOItN'
2310625793,2023-02-14 16:16:40+00:00,"b'RT @nandwics: Dont let your heart burn on Valentines Day  get it checked, experts warn \n\nAs part of Oesophageal Cancer Awareness month...'"
884160128521523205,2023-02-14 16:11:10+00:00,b'@lil_indigestion Excited to watch you suffer for the greater good'
1599342814415945729,2023-02-14 16:10:33+00:00,b'@benonwine Heart attack/stroke/indigestion'
1328929711,2023-02-14 16:06:17+00:00,"b'RT @BLMKHealthCare: Dont let your heart burn on Valentines Day  get it checked. \n\nPersistent indigestion, heartburn or acid reflux are a...'"
1576593965347905541,2023-02-14 16:01:33+00:00,"b""@_Nao_Monkey_ It's either, appendicitis, hernia, kidney issues, reproductive system issues, irritable bowel syndrom... https://t.co/h8BANN6zaH"""
245104021,2023-02-14 15:58:40+00:00,b'@CraiginWales Wow such selfishness. How can our net zero overlords properly enjoy their steak and champagne laden p... https://t.co/zJoFhgo2iF'
1160140162204151808,2023-02-14 15:55:47+00:00,b'@benonwine Indigestion.'
605954830,2023-02-14 15:53:27+00:00,b'@Army_chik_ A key to that is if you have indigestion with it??'
1399747400261062659,2023-02-14 15:52:30+00:00,"b'tell me how i binged yesterday on 6.1k (yes 6100) calories, puked twice like five and ten hours later only because... https://t.co/COtbyXrBxV'"
3308231328,2023-02-14 15:51:22+00:00,"b""@ChrisRGun Chris Ray Gun, I got indigestion after seeing this tweet. I don't know if that's good or bad but I figur... https://t.co/lKHQW2nmwa"""
2178334692,2023-02-14 15:50:06+00:00,b'RT @CSupportUK: February is #OesophagealCancerAwarenessMonth. This is a #Cancer that affects the food pipe or gullet &amp; the most common symp...'
1541727152974045185,2023-02-14 15:47:48+00:00,"b'RT @EOE_cancer: If your heart burns with more than passion dont ignore it, warn cancer experts.\n\nPersistent heartburn or indigestion may b...'"
1417834199340441601,2023-02-14 15:47:26+00:00,b'@Lepiaf4 @Vvendet97500915 Indigestion de boudin noir?'
1537564388,2023-02-14 15:41:16+00:00,"b'ang sakit ng tiyan ko,,, indigestion '"
310950432,2023-02-14 15:33:47+00:00,b'@Patrick18958847 @Gille_RM Ostias \nEl plato no se puede mover!\nQue indigestion!\nVaya estomago tienes!'
1600201458837749780,2023-02-14 15:33:26+00:00,"b'Simios juntos fuertes, simios juntos fuertes.\n\nDe verdad que esta maravillada aH ese curry huele que alimenta.\n\nM... https://t.co/3Sd2rIaD2X'"
1022182824,2023-02-14 15:28:13+00:00,"b""@ThanksCancer Missed. Weird sort of uncomfortable feeling inside that wasn't indigestion or stomach ache. Was only... https://t.co/nHNoE6Tk1F"""
761157559067770880,2023-02-14 15:18:25+00:00,b'@Suzanne57104 @OccupyDemocrats Indigestion.'
1267553070210220034,2023-02-14 15:07:22+00:00,b'RT @CSupportUK: February is #OesophagealCancerAwarenessMonth. This is a #Cancer that affects the food pipe or gullet &amp; the most common symp...'
934819107807088641,2023-02-14 15:04:08+00:00,b'RT @CSupportUK: February is #OesophagealCancerAwarenessMonth. This is a #Cancer that affects the food pipe or gullet &amp; the most common symp...'
511662117,2023-02-14 15:02:32+00:00,b'@Antonio05660367 Ufff anoche que indigestion de Margallo por favor!!!!! https://t.co/fyT3do9Lmo'
1259371500,2023-02-14 15:00:21+00:00,"b'Dont let your heart burn on Valentines Day  get it checked. \n\nPersistent indigestion, heartburn or acid reflux a... https://t.co/VHxfq0H1Ps'"
1590001516823384066,2023-02-14 14:52:53+00:00,b'Respect for not succumbing to jingoistic indigestion of this journalist https://t.co/GxzpIDlM3k'
