id,Time,Tweet
1619981728424296449,2023-02-14 16:18:49+00:00,b'RT @Gangadh0301: 13th product Launched By https://t.co/iEMeY6qoHM\n\nLARTUSI ~ WEIGHT LOSS\n\nOne stop solution for weight proble...'
37725417,2023-02-14 16:18:11+00:00,"b'@notesfrompoland Great job, PiS! Curing obesity with #PiSinflacja.'"
9020932,2023-02-14 16:18:02+00:00,b'Study hints healthier school lunch can reduce obesity https://t.co/6nvuEK7y8x'
1605230980679319552,2023-02-14 16:18:01+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
2313062691,2023-02-14 16:17:58+00:00,"b'@OkayestSa Yeah, obesity tracks pretty consistently with use of HFCS and processed foods over the last 50 years.'"
887204089,2023-02-14 16:17:50+00:00,"b'RT @SVecrumba: @w3bsag3 Milley is smart and open-minded, unlike you. He wants to know why our President and his supporters attacked our Con...'"
1372910629326098438,2023-02-14 16:17:34+00:00,"b""RT @goddeketal: If politics really think that a health passport is necessary, why couldn't it be based on healthy eating and sports activit..."""
1534907791,2023-02-14 16:17:30+00:00,"b'@scrumtuous Since I studied how the obesity problem was manufactured, how gun violence and wars are good for busine... https://t.co/KrZ46TR2Zf'"
498357633,2023-02-14 16:17:08+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
794776495,2023-02-14 16:16:49+00:00,b'RT @RottenInDenmark: Headline: Healthier school lunches make kids thinner! \n\nFine print: Kids lost an average of 1 pound in the year after...'
1590723577552183296,2023-02-14 16:16:19+00:00,b'Obesity is hard. Being fit is hard. choose your hard.'
1529797687272431617,2023-02-14 16:16:14+00:00,b'RT @RCSI_Obesity: Thrilled to be listed as a winner for our poster presentation @CHI_Ireland #CHIQuality Showcase outlining our work on Fac...'
1615466860039872513,2023-02-14 16:16:08+00:00,b'@RBReich Now define mass shootings and suddenly the perspective changes. Now do heart attacks from obesity.'
1133477615967309825,2023-02-14 16:16:01+00:00,"b'@illiterate_twat in the UK a few years ago the age minimum got set to 16 to try and curb obesity, plus the unhealth... https://t.co/DOGViOuFZJ'"
1523015302736457728,2023-02-14 16:15:00+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
1456976541909504008,2023-02-14 16:14:23+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
1409002053569957891,2023-02-14 16:14:22+00:00,b'People complain about constant low level anxiety but not enough about morbid obesity.'
1612510573048233984,2023-02-14 16:14:18+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
3061619274,2023-02-14 16:13:37+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
1018957881465597952,2023-02-14 16:13:33+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
147390255,2023-02-14 16:12:55+00:00,"b'@UrsulaV Obesity correlate with many chronic diseases. There is so much money to be made ""treating"" these chronic diseases'"
1310377635084668931,2023-02-14 16:12:45+00:00,b'@CitiBE @hailsealser @RottenInDenmark Its sad that people dont think of this as a problem. Obesity rates at all a... https://t.co/29nCORSADA'
238617125,2023-02-14 16:12:19+00:00,"b'@DrLoupis Obesity should not be celebrated, it is a struggle at times.'"
1520920043797860352,2023-02-14 16:12:04+00:00,"b'RT @jhoffman___: The sugar tax is a perfect example of woke destructiveness, picking away at a symptom over cause. \nIn the 70s, no sugar ta...'"
1443201526751711236,2023-02-14 16:11:38+00:00,"b'RT @suzanneconnoll3:  Join @P_H_S_Official for the launch of our new guide, developed with @FrameWorksUK which aims to improve how we comm...'"
1079266789698228225,2023-02-14 16:11:33+00:00,b'RT @RottenInDenmark: Headline: Healthier school lunches make kids thinner! \n\nFine print: Kids lost an average of 1 pound in the year after...'
1299424775358554112,2023-02-14 16:11:15+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
1353086582933377026,2023-02-14 16:11:10+00:00,b'RT @calleymeans: Semaglutide (obesity drug) could cost taxpayers more than $500 billion per year.\n\nIt would be significantly cheaper to buy...'
717652880237400064,2023-02-14 16:10:04+00:00,"b'RT @EASOobesityECN: ""People with cancer don\'t deserve promotions.""\n \nNo one would accept this statement.  \n\nReplace the word cancer with #o...'"
814995859985301505,2023-02-14 16:10:03+00:00,b'RT @CP24: U.S. study hints healthier school lunch can reduce obesity https://t.co/z0ixU616Pa'
904742111320432642,2023-02-14 16:09:21+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
20699500,2023-02-14 16:09:18+00:00,b'RT @Diab_Matters: News: Overweight and #obesity is very common in Americans with #Type1Diabetes and lifestyle advice is often not given or...'
796291006245302273,2023-02-14 16:08:57+00:00,b'News: Overweight and #obesity is very common in Americans with #Type1Diabetes and lifestyle advice is often not giv... https://t.co/nN1tYnAb5z'
16983601,2023-02-14 16:08:57+00:00,b'@AlpacaAurelius 2 leading suspects of modern obesity:\n\n * consuming corn syrup in lieu of cane sugar.  See Dr. Davi... https://t.co/BpItRqVmF3'
784533937,2023-02-14 16:08:32+00:00,b'RT @EASOobesity: Obesity Care Week coincides with World Obesity Day. #OCW2023 focuses on education and action to change the way we care abo...'
1497386785369837573,2023-02-14 16:08:31+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
100384389,2023-02-14 16:08:12+00:00,"b'RT @calleymeans: We are at a defining moment.\n\nAre we going to acknowledge skyrocketing rates of obesity, diabetes, heart disease, kidney d...'"
792521855223664640,2023-02-14 16:07:03+00:00,"b""Interesting, let's see how this plans out #Health #MensHealth #WomensHealth #obesity #weightloss https://t.co/4L5Lyv7Hor"""
69748042,2023-02-14 16:06:42+00:00,b'RT @calleymeans: Semaglutide (obesity drug) could cost taxpayers more than $500 billion per year.\n\nIt would be significantly cheaper to buy...'
1506323119509852162,2023-02-14 16:06:23+00:00,b'@SUPADUPADC3 @rod_cl_ @AdamLowisz @ClownWorld_ Were not the richest. Although most Americans feel like they live i... https://t.co/Keaa6jx8SW'
1351843138529275904,2023-02-14 16:05:57+00:00,"b""This morning's vital signs : Tuesday, 2/14/2023 - Ravi Manickavasagar, M.S. : age 44 (D.O.B. 06/11/1978)\n10:45am -... https://t.co/XXzP5oBm9Z"""
103423283,2023-02-14 16:04:48+00:00,b'@reallyrosie Not this particular case. But  just so you know  there are a couple of bills being heard at the ct l... https://t.co/CMmJZsg5Ci'
784533937,2023-02-14 16:04:38+00:00,b'RT @DianaCastill08: 04 MARCH \nNumerous events will be taking place in Europe on and around World Obesity Day.  \n#ObesityDayEurope...'
1596951361299554305,2023-02-14 16:04:38+00:00,"b'RT @AlpacaAurelius: In the 1950s Americans were eating ~4000 calories a day from ice cream, sugar, meat, fat, jello, bread and obesity was...'"
553664717,2023-02-14 16:04:28+00:00,"b""Too many Christian men today are weak.\n\nThey're weak physically.   Obesity is rampant in the church.\n\nThey're weak... https://t.co/rGZIDZJ1RN"""
3658020435,2023-02-14 16:04:14+00:00,"b'Thank you, Wise Weight Management, for supporting Obesity Care Week 2023 as a Champion! #OCW2023 https://t.co/HaZGrsrkwJ'"
1729363074,2023-02-14 16:03:58+00:00,b'@RichardEngel so is obesity....should we ban food?'
288465474,2023-02-14 16:03:56+00:00,"b""RT @ShaneyWright: The 1.1million spent on the #LongCovid obesity study in Glagow (which has unsurprisingly lead to nothing useful) would'v..."""
1524038525028487174,2023-02-14 16:03:41+00:00,"b""RT @goddeketal: If politics really think that a health passport is necessary, why couldn't it be based on healthy eating and sports activit..."""
214404702,2023-02-14 16:03:12+00:00,"b'Are you a medical student, work in healthcare or  curious to know more about obesity? \n\nCheck out our latest podca... https://t.co/iujuc4XwuL'"
270873775,2023-02-14 16:02:49+00:00,b'[New Date] Join our free @PROGROUPStudy webinar on 28/03/23 exploring the effectiveness of weight management servic... https://t.co/bUiLN309Hi'
1278677080050458628,2023-02-14 16:02:09+00:00,b'Thrilled to be listed as a winner for our poster presentation @CHI_Ireland #CHIQuality Showcase outlining our work... https://t.co/rJX2TTnqsh'
913051682757586946,2023-02-14 16:01:40+00:00,b'#gidynamics announces the first patient has been treated in the I-STEP trial in India at Apollo Speciality Hospital... https://t.co/PABs2Bk6gN'
114962140,2023-02-14 16:00:57+00:00,b'RT @gitweeta: She knelt?! Ahhhh this drought has no chance. Turkana about to experience MAD cases of obesity https://t.co/tCY8aHNzEm'
883725686359379968,2023-02-14 16:00:52+00:00,"b'#dogs Obesity is one of the most preventable issues with dogs, this may help https://t.co/dVPAsicBPK https://t.co/KUlCE2KlPD'"
1571934832149803009,2023-02-14 16:00:26+00:00,"b""When it comes to #weightloss, bariatric #surgery shouldn't be considered a last resort. It's one of many tools for... https://t.co/f0J0yuCAU7"""
1568301565,2023-02-14 15:59:49+00:00,b'Obesity Care Week coincides with World Obesity Day. #OCW2023 focuses on education and action to change the way we c... https://t.co/7jWpDfPaIe'
