id,Time,Tweet
2819481719,2023-02-14 16:00:00+00:00,b'Join us on stand 22 at #BACOInternational2023 tomorrow to get hands on with \n\n#CELERIS - The worlds 1st disposabl... https://t.co/lVoZEXT1kp'
1331753142677954560,2023-02-14 15:58:49+00:00,"b""@TaylorLGrothe I can't remember if you said you've had sinus surgery before, but just so you know, your dr may say... https://t.co/7fDdExlG0o"""
912569177751224320,2023-02-14 15:55:34+00:00,"b'Aquamarine sometimes referred to as the breath stone, aquamarine is known to alleviate sinus, lung, and respirato... https://t.co/YsaHco1Ng2'"
1362441282929442824,2023-02-14 15:54:48+00:00,"b""RT @fzaofficial: *5 KISILIK AILE* ICIN *ANKARA'DA* KALACAK YER\nMALATYA'DAN GELEN DEPREMZEDELER ICIN, \nBEYIN KANAMASI GECIREN HASTA VAR!\nSED..."""
1284013387,2023-02-14 15:54:40+00:00,"b'Happy Valentines Day to my Sinugator, which I affectionately refer to as the booger blaster, as I near the end of this sinus infection'"
20638539,2023-02-14 15:54:15+00:00,"b""99% sure I have a sinus infection but I'm at work anyways"""
1362441282929442824,2023-02-14 15:54:14+00:00,"b'RT @dizianaIiz: Gokhan Zann yardm cagrsna kulak verelim. Samandag Subas Mahallesi, Antakya, Hatay. #deprem https://t.co/cGAnEqs6Yy'"
1342943037211684864,2023-02-14 15:53:42+00:00,b'RT @ayreframer: Thank you all for the well wishes\nSinus headache gone \nLIVE\nBack into the Void more @PlayVoidTrain we just cleared the sta...'
1362441282929442824,2023-02-14 15:52:57+00:00,b'@AFADBaskanlik @haluklevent #DEPREMOLDU #deprem #ENKAZALTINDAYIM https://t.co/4vCV2nUyRy'
1342943037211684864,2023-02-14 15:52:21+00:00,"b""RT @ayreframer: Woke  up with one of those sinus headaches that  feels like it's right behind my eyes.  \nSo no early stream till I get rid..."""
1470789070733332486,2023-02-14 15:51:52+00:00,b'I swear if this is another sinus infection Im '
1215063330076815360,2023-02-14 15:51:48+00:00,b'I declined my transportation via text and so someone sent transportation 2 hours early and I declined because I hav... https://t.co/YfRTiZeWpW'
928861106,2023-02-14 15:50:40+00:00,"b""RT @ayreframer: Woke  up with one of those sinus headaches that  feels like it's right behind my eyes.  \nSo no early stream till I get rid..."""
928861106,2023-02-14 15:50:26+00:00,b'RT @ayreframer: Thank you all for the well wishes\nSinus headache gone \nLIVE\nBack into the Void more @PlayVoidTrain we just cleared the sta...'
58300342,2023-02-14 15:50:23+00:00,"b'RT @Hendr_xx: FT ela ya every day, for 2+hrs. Ge e sa arabiwi tonight, mablomo a le o sa morekelang, a mo tswarisitse di sinus.. allergex y...'"
104614051,2023-02-14 15:49:45+00:00,b'Is It a Sinus Infection or a Cold? Tips On How To Tell The Difference... \nVIEW TIPS... https://t.co/vfs2PgGOGD https://t.co/Y89yPl02VR'
809845787836485632,2023-02-14 15:49:08+00:00,"b""@diane642016 Awe I hope you feel better soon I understand I'm living day by day in hotels right now have sinus infe... https://t.co/omGzg5e0Jc"""
2305701888,2023-02-14 15:48:16+00:00,"b""sinus surgery was one of my least favorite experiences, he's got a long couple weeks ahead https://t.co/z20Wj4WuNB"""
1092627045304066048,2023-02-14 15:42:58+00:00,b'@sunsetsWinter Bali udah\nTp gw tetep make krn gw sayang duit\nKlo sinus kumat berobatnya mahal coook '
1615399151147315200,2023-02-14 15:42:02+00:00,b'MM Reversal $BTCUSD\n  @ 21947.36\n sinus MA @: 22098.15\n Dir:  UP\n 5:1 UP22732 DOWN\n 5:1: @ 21320'
1615399151147315200,2023-02-14 15:42:01+00:00,b'MM Reversal $SPY\n  @ 410.52\n sinus MA @: 412.38\n Dir:  UP\n 5:1 UP416 DOWN\n 5:1: @ 406'
