,id,Time,Tweet
1404,2508360714,2023-01-29 22:22:30+00:00,"b""#Asthma-related anxiety assoc w disease severity + parent's behaviours around child's PA \xf0\x9f\x91\x89 Child anxiety/parent beh\xe2\x80\xa6 https://t.co/xSLakHmVxa"""
1731,2340601688,2023-01-29 19:21:05+00:00,"b""#MyClotStory: Heather Henry thought she was having an asthma attack, but when her meds didn't work she knew somethi\xe2\x80\xa6 https://t.co/ul1Tg5bcMT"""
253,894654277662257152,2023-01-30 14:06:19+00:00,"b""...kids with allergies, asthma, eczema and other chronic conditions.\n\nIf you're looking for an alternative to conve\xe2\x80\xa6 https://t.co/mEXda8DKjL"""
1759,1367208845634904073,2023-01-29 19:04:26+00:00,"b""@1970shorror True it just makes me sound like a red flag when I say I don't trust doctors lol people wince when u s\xe2\x80\xa6 https://t.co/Z1RbECZAFl"""
379,1568669706529144832,2023-01-30 12:58:11+00:00,"b""@9illeh @Cobratate Haven't had none of the vaccines and still stupid enough to get it dispite all that's happening\xe2\x80\xa6 https://t.co/v6ASAdQcht"""
395,1568669706529144832,2023-01-30 12:52:58+00:00,"b""@9illeh @Cobratate You can't teach stupid. Unfortunaly some are born with it and can't grasp the obvious, my heart\xe2\x80\xa6 https://t.co/eIsEppZSkv"""
651,467369703,2023-01-30 09:33:59+00:00,"b""@ACameronPolicy @ELPinchbeck Yes I am sure for some people such as yourself it's required in the cold weather but I\xe2\x80\xa6 https://t.co/Rt5mfJ8nkj"""
988,1473524545524957188,2023-01-30 03:44:38+00:00,"b""@AjaxXanthe I'm guessing it's grass seed related? I haven't had asthma this bad in ages."""
2057,19955349,2023-01-29 16:18:59+00:00,"b""@AlexBerenson My 1st kid got childhood V's.  Reacted to MMR, is on permanent disability. My mom, oldest &amp; I got all\xe2\x80\xa6 https://t.co/ErR86LDN9O"""
1101,2176212870,2023-01-30 02:02:54+00:00,"b""@AnfieldEdition ....but they're really missing those asthma tabs! \xf0\x9f\xa4\xa3#knackered"""
429,1606147585093373953,2023-01-30 12:36:37+00:00,"b""@AstroKatie @WHO I'm not dead, yet and I haven't been wearing a mask for a while and I am overweight, have Asthma &amp; Diabetes..."""
2583,554651831,2023-01-29 10:32:50+00:00,"b""@BBCWorld Comparing obesity to asthma is a fucking lie,kids don't get asthma because their parents are too lazy to\xe2\x80\xa6 https://t.co/BeCJclbLFN"""
663,247515822,2023-01-30 09:22:29+00:00,"b""@BOMBERARMY117 Hope it works for you. I only get Asthma occasionally with coughing fits, usually when it's damp or\xe2\x80\xa6 https://t.co/btc6umWmjM"""
1227,1687615280,2023-01-30 00:22:23+00:00,"b""@Basilsalty @YouAreLobbyLud NZ has had a high asthma rate for decades, it seems like there's high rate in English s\xe2\x80\xa6 https://t.co/qRn7EomVn2"""
938,4755193191,2023-01-30 04:30:14+00:00,"b""@BeeBeaKC @BethRWarren @henkel_beth @naomirwolf If the shortness of breath wasn't due to exacerbation of her asthma\xe2\x80\xa6 https://t.co/dXuNadXPcb"""
811,1597683147201810434,2023-01-30 06:58:04+00:00,"b""@Bidleb1 @SadiqKhan More whataboutery, I can do that. What about my child's health? What about the child that died?\xe2\x80\xa6 https://t.co/ZfONpcg1BH"""
2530,977918396372279296,2023-01-29 11:26:12+00:00,"b""@Caesum @Ellioft1 @TwinPistols_94 I'm not gonna be rolling around in snow and mud in an optional tomb listening to\xe2\x80\xa6 https://t.co/G8Zc0P1T7b"""
266,1519578235050369025,2023-01-30 13:57:52+00:00,"b""@CarnivoreSapien I get this alot. Especially the last 6 months. I've gained muscle. Gotten leaner. Skin better. Ast\xe2\x80\xa6 https://t.co/PXIUXqRnsv"""
2955,1306372438708703233,2023-01-29 04:15:58+00:00,"b""@Cats_n_autonomy @WallStreetSilv I haven't seen but pesticides are normally just micro nerve agents. Lookup pestici\xe2\x80\xa6 https://t.co/4WjfWh5fJX"""
1487,1509918189836292110,2023-01-29 21:31:33+00:00,"b""@Cords95481107 I'll give ya asthma."""
749,2326602512,2023-01-30 07:56:08+00:00,"b""@CovidSolidarit1 I'm realising when I tell people that I don't want #Covid because I know it will affect me severel\xe2\x80\xa6 https://t.co/bGtZNlXgla"""
30,172118464,2023-01-30 16:16:44+00:00,"b""@DJShenny Bold of you to think that my horse with asthma like breathing can't defeat your puny noise gate. \n\nAlso I\xe2\x80\xa6 https://t.co/LFktF7fcyk"""
875,143552707,2023-01-30 05:45:55+00:00,"b""@DailyCaller It's sort of, though not exactly, like banning lead paint. \n\nGas stoves contribute to childhood asthma\xe2\x80\xa6 https://t.co/NPknKPoGAp"""
1459,1602148888567087105,2023-01-29 21:47:31+00:00,"b""@DrEliDavid I think I've had it 13 months ago. How do you know for sure? Occasionally I have a reaction to dust lik\xe2\x80\xa6 https://t.co/Fv54INLUKB"""
440,1241596907476090883,2023-01-30 12:26:13+00:00,"b""@DrSadaf31755325 @KhawajaMAsif That's the point. There wasn't any chip fracture of any fragment. I as a doctor feel\xe2\x80\xa6 https://t.co/qSLSs0kdTk"""
2185,824619908415754241,2023-01-29 15:17:48+00:00,"b""@Emmaraldi @Teesy738 this is exactly why i'm so glad i wasn't diagnosed as a child, because i know what kind of stu\xe2\x80\xa6 https://t.co/5rwVGIkhMi"""
1560,1372302382697218057,2023-01-29 20:51:36+00:00,"b""@Football__Tweet It's a coincidence that now all the players' asthma has been magically cured, their form has dropped right off"""
1895,3221822914,2023-01-29 17:56:35+00:00,"b""@Football__Tweet Their new signings don't have asthma. \xf0\x9f\x99\x84"""
2325,1426331445828726784,2023-01-29 13:59:02+00:00,"b""@GTMNY143\nCan you make one for us please \xf0\x9f\x99\x8f\nPlease don't make it 'furry' I have asthma.\n\nPs stole these pics, not mi\xe2\x80\xa6 https://t.co/up8IgEIaVo"""
231,260407956,2023-01-30 14:22:51+00:00,"b""@GeorgeTakei it's like those women that buy perfume at duty free and poor half of the bottle on them before taking\xe2\x80\xa6 https://t.co/1YLDvIIUpY"""
85,759179340307243009,2023-01-30 15:49:27+00:00,"b""@GovRonDeSantis It's bought online deal with that! Spray paint locked up in the stores because of sniffing certain\xe2\x80\xa6 https://t.co/vBLeAmaeHn"""
311,1096933400668078081,2023-01-30 13:28:52+00:00,"b""@Grabembydafacts I'm five times vaccinated with moderna I have asthma and high cholesterol my doctor will not let m\xe2\x80\xa6 https://t.co/R2ma2VNY6A"""
1085,2547282169,2023-01-30 02:13:41+00:00,"b""@Gram_Kat WHAT?!  I take it a nurse...? Ohhh, I'm so sorry. In the 'olden days,' you'd actually still be in the hos\xe2\x80\xa6 https://t.co/9U9Ek3OY3V"""
1292,1551776428709986305,2023-01-29 23:36:38+00:00,"b""@GuntherEagleman If she's the person who is in that commercial about the Big Pharma drug for ppl with asthma, and s\xe2\x80\xa6 https://t.co/FCWL7Ro5rS"""
2403,1512089065927098370,2023-01-29 12:59:11+00:00,"b""@Havesomepride2 @mvsforwi @Jim_Jordan But your kid can't get asthma from you exercising. We didn't ban smoking, we\xe2\x80\xa6 https://t.co/FN57Mi4FS1"""
995,18927228,2023-01-30 03:40:17+00:00,"b""@HerbsandDirt @strummaster42 I had never gotten it my mom didn't trust vaccines but when I was 16 I stepped on a ru\xe2\x80\xa6 https://t.co/K9lhLhEv8R"""
3580,126930549,2023-01-28 20:58:08+00:00,"b""@ItsEmilyBlackYT Perfume \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8 I have bad asthma and can't use that \xf0\x9f\xa5\xb4"""
1402,1599169057181532160,2023-01-29 22:23:20+00:00,"b""@JebraFaushay I've layered up my masking to 5 so that I don't die from Asthma from the stove\xf0\x9f\x91\x8d"""
1934,1372583083099234310,2023-01-29 17:33:02+00:00,"b""@JebraFaushay gas stove, gas furnace and still haven't got any asthma for many decades."""
685,928849544,2023-01-30 09:02:31+00:00,"b""@JenrobertsPR Mike Yeadon isn't a doctor, but a retired pharmacologist, who did research on a failed asthma drug, n\xe2\x80\xa6 https://t.co/oiSJpRGjJG"""
49,1155926814,2023-01-30 16:09:21+00:00,"b""@Jim_Jordan Do you not understand that they want to have safer gas stoves? I guess you don't care about children's\xe2\x80\xa6 https://t.co/zVSuMZoyL1"""
941,1528377148154724362,2023-01-30 04:27:42+00:00,"b""@Joaxoxoxo @SpooperO @StarDream3r even people without asthma cough when there's lots of smoke, acting like they're\xe2\x80\xa6 https://t.co/1RgbuFsf8I"""
2625,1587465741699252231,2023-01-29 09:52:43+00:00,"b""@JohnBoweActor Terrible. I  wished I'd never had it, but my son has asthma so I thought I was doing the right thing\xe2\x80\xa6 https://t.co/YFnB9y24mc"""
1810,1608281919392808965,2023-01-29 18:38:35+00:00,"b""@Johnhaven @mmpadellan @DrDistracto0 And I've been dog piled before for over 10 mins and I have asthma and no where\xe2\x80\xa6 https://t.co/eLdipYFsuu"""
164,1151661594562191360,2023-01-30 15:02:03+00:00,"b""@KSchnickelfritz I've always had bad breathing due to asthma, I tend to shallow breathe &amp; hold my breath intermitte\xe2\x80\xa6 https://t.co/0MYuPcPUbx"""
1968,1371949387459481600,2023-01-29 17:09:31+00:00,"b""@Komol_jos I find it offensive to illegalize 'dope/stuff/Marijuana. Elite Daily has an\xc2\xa0article\xc2\xa0on the disease that\xe2\x80\xa6 https://t.co/Z2nLIRq1zj"""
277,1359233233360150530,2023-01-30 13:49:11+00:00,"b""@KoogieXD I couldn't breathe at all, it was a seriously bad asthma attack"""
2807,3293958758,2023-01-29 06:58:20+00:00,"b""@KyleePrettyluh @ImReDub @KSI And I bet you believe your cholesterol isn't too high...sorry to burst your bubble-bu\xe2\x80\xa6 https://t.co/yqf0AD39kS"""
2788,857444321959784448,2023-01-29 07:17:49+00:00,"b""@La_Rabida Children\xe2\x80\x99s Hospital (Chicago)\nI was an asthma patient here in the 70s. In 2023, they're still helping ki\xe2\x80\xa6 https://t.co/zwJa2RGnjL"""
2493,822660347387592704,2023-01-29 11:55:52+00:00,"b""@Laurenlondoner @chrissiemac2424 It's been miserable and scary. I'm used to being sick my whole life with allergies\xe2\x80\xa6 https://t.co/kN7MYABEAB"""
978,1472655037973291019,2023-01-30 03:51:10+00:00,"b""@Lawrenc84345232 @TheGreenParty @carla_denyer Smoke https://t.co/zMCtCXakBq it I don't care but for the love of eve\xe2\x80\xa6 https://t.co/dS81LkdQvy"""
1114,814971302549200896,2023-01-30 01:50:03+00:00,"b""@LemonWestern @unheardparent Have you ever had a severe asthma attack? It feels like you're suffocating &amp; often tri\xe2\x80\xa6 https://t.co/4KVMJv5XoE"""
