,id,Time,Tweet
0,1320104338077802497,2023-02-13 19:51:28+00:00,b'RT @lovesunooo: Sunoo 020323\n\nFever dance break -`\xe2\x99\xa1\xc2\xb4- https://t.co/6fMMGYhiRG'
2,1604691233015832576,2023-02-13 19:51:27+00:00,b'i mad e this last night and it felt like a fever dream the whole time -\xe2\xad\x90 #omorifanart #omorisunburn #sapphicsunburn https://t.co/ntjycNPqt9'
4,197611472,2023-02-13 19:50:59+00:00,b'Baby B woke up from his nap on Saturday with a high fever and covered in welt-like rashes. We got his temp down and\xe2\x80\xa6 https://t.co/qmAlrUiLrZ'
5,1295356224825896961,2023-02-13 19:50:57+00:00,b'RT @nullyuyu: https://t.co/teCT8Lluut'
6,4874706926,2023-02-13 19:50:47+00:00,b'WHY DO I HAVE A FEVER https://t.co/0TBUKEvC3u'
7,1342585325999304704,2023-02-13 19:50:46+00:00,b'@RandomVNBot Danganronpa\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad I\xe2\x80\x99m sorry but dm was a fever dream sorry not sorry'
13,557838912,2023-02-13 19:50:34+00:00,b'@maxwoody84 Me and the wife had that just before Xmas. Im sorry to say it\xe2\x80\x99s not pleasant mate. Hopefully after 3 da\xe2\x80\xa6 https://t.co/rfDpu1U839'
14,1552389267296509952,2023-02-13 19:50:28+00:00,b'RT @denjictrl: y\xe2\x80\x99all don\xe2\x80\x99t understand how bad i need these figures https://t.co/x8UFNimhe6'
15,1137675898432479233,2023-02-13 19:50:08+00:00,b'https://t.co/BzYk2qHgoy'
16,3215759967,2023-02-13 19:50:07+00:00,"b'""FEVER HOUSE is an extraordinary novel, a wild but seamless hybrid of hoodlum noir, government agency skullduggery,\xe2\x80\xa6 https://t.co/aGuqHLsgoR'"
17,64222213,2023-02-13 19:50:03+00:00,b'@Fever_PitchFC Nada a n\xc3\xa3o ser acusa\xc3\xa7\xc3\xb5es m\xc3\xbatuas.'
20,1352019962580271106,2023-02-13 19:49:48+00:00,b'I am in no place to be having baby fever but its not gonna stop me from reproducing'
21,1283838835,2023-02-13 19:49:47+00:00,b'Nigeria is into the season of the year (weeks 3-10) when cases increase the most. \nTransmission of lassa fever viru\xe2\x80\xa6 https://t.co/7HESE0Ey23'
23,859392421,2023-02-13 19:49:42+00:00,"b'It would be crazy if Rafa reactivated his twitter,live tweeted his episode and just bounced again. \xf0\x9f\x91\x80\xe2\x9c\xa8\xe2\x9c\xa8'"
27,3869529017,2023-02-13 19:49:14+00:00,b'RT @_GlobalCrisis_: \xf0\x9f\x93\xa2The planet is in #fever\n#Volcanic Activity All Over The World #Shorts\n#GlobalCrisis #eruption #volcano #volcan #Disast\xe2\x80\xa6'
29,1295356224825896961,2023-02-13 19:49:07+00:00,b'RT @NotBonkyP: visual king \n https://t.co/ThZtNSVCPM'
31,578405575,2023-02-13 19:49:01+00:00,b'I made a fever blister disappear before it even ruined my life. You have to pile on the Zambuk while it\xe2\x80\x99s still jus\xe2\x80\xa6 https://t.co/4GC7lhNo7w'
32,812054797385891841,2023-02-13 19:48:55+00:00,"b""@lonelymiracle I'm absolutely cheering him on. I'm cheering both of you on. Valley fever is rough but absolutely tr\xe2\x80\xa6 https://t.co/zxdnomQS2P"""
35,16220746,2023-02-13 19:48:39+00:00,"b'@evppodcast I won the drawing last week,may I ask 2 questions? 1 about paranormal and 2 to Blake about real estate-\xe2\x80\xa6 https://t.co/B8o7HNRyL8'"
36,1552389267296509952,2023-02-13 19:48:32+00:00,"b'@mememaku No joke, I also drew nagito out of nowhere recently \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80'"
38,1295356224825896961,2023-02-13 19:48:21+00:00,b'RT @ddalgijohwa: Seonghwa pick of animal crossing villagers that resembles him and Hongjoong\xf0\x9f\x98\x82\n\nSasha = Seonghwa    \nMarshal = Hongjoong htt\xe2\x80\xa6'
42,368034992,2023-02-13 19:48:06+00:00,b'Therapists cuffing me to a medical bed for days only letting me out to use the restroom cuffed to a nurse \xf0\x9f\x92\x80\xf0\x9f\x92\x80 fever dream for realllll'
43,1175536596717903874,2023-02-13 19:48:04+00:00,b'RT @Psychomommy13: @EuanYours Bingo. Right out of the mob mentality playbook.\n\nPUSH\nPick a minority group\nUse existing ignorance/biases to\xe2\x80\xa6'
46,1220785018819305472,2023-02-13 19:48:01+00:00,b'@privggs that was a fever dream but a good one'
47,1577245518,2023-02-13 19:47:57+00:00,"b'eering off\nfrom this monster directly ac\n_Discount_Noon_Code_Namshi_Coupon_Sivvi_Promo_Non_s_\nfever and smallpox, https://t.co/KRRFeCY7Id'"
48,1399379155993739269,2023-02-13 19:47:56+00:00,b'RT @poemeIody: Fever Sunoo &gt;&gt;&gt;&gt;\n https://t.co/VVENHcx8T2'
50,1283838835,2023-02-13 19:47:52+00:00,"b'#Lassa fever, #Nigeria:\nCumulatively from week 1 to week 4, 2023, 53 deaths have been reported with a case fatality\xe2\x80\xa6 https://t.co/XKRLN5C1Rh'"
51,839852719133253633,2023-02-13 19:47:51+00:00,b'RT @xxxSYFxxx: \xe3\x80\x90\xe9\x80\x9f\xe5\xa0\xb1\xe3\x80\x91\xe8\xbf\xbd\xe5\x8a\xa0\xe6\x83\x85\xe5\xa0\xb1\n2.19 (Sun)\xe6\x96\xb0\xe4\xbb\xa3\xe7\x94\xb0FEVER\xe3\x81\xa7\xe8\xa1\x8c\xe3\x82\x8f\xe3\x82\x8c\xe3\x82\x8b\xe3\x80\x8cSMASH YOUR FACE vs.\xe3\x83\x99\xe3\x83\x83\xe3\x83\x89\xe3\x83\xbb\xe3\x82\xa4\xe3\x83\xb3\xe3\x80\x8d\xe3\x81\xae\xe3\x82\xa4\xe3\x83\x99\xe3\x83\xb3\xe3\x83\x88\xe3\x81\xab\xe3\x81\xa6\nSMASH YOUR FACE\xe3\x81\xae\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x96\xe3\x81\xa7\xe3\x83\x99\xe3\x83\x83\xe3\x83\x89\xe3\x83\xbb\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\xae\xe3\x82\xb3\xe3\x83\xa9\xe3\x83\x9c\xe3\x83\xac\xe3\x83\xbc\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3\xe3\x81\x8c\xe6\xb1\xba\xe5\xae\x9a\xef\xbc\x81\n\xe6\x9c\x80\xe5\xbe\x8c\xe3\x81\xbe\xe3\x81\xa7\xe3\x81\x94\xe8\xa6\xa7\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84\n\n\xe3\x83\x81\xe3\x82\xb1\xe3\x83\x83\xe3\x83\x88\xe4\xba\x88\xe2\x80\xa6'
52,317223246,2023-02-13 19:47:50+00:00,b'@mikebrownv1 this is an insane fever dream'
54,2928867656,2023-02-13 19:47:42+00:00,b'RT @shawn_pelecon: SF Bay area: Turkish American Assoc is collecting for earthquake relief. In East Bay call 510-684-6630: \nBlankets\nTents\xe2\x80\xa6'
55,748642928466198529,2023-02-13 19:47:40+00:00,"b'RT @ImageComics: Ed Brubaker &amp; @seanpphillips\' ""NIGHT FEVER is like a drug-fueled trip through the streets of France, but it\'s also so much\xe2\x80\xa6'"
56,205365030,2023-02-13 19:47:38+00:00,"b'The ""Holy Herb"" is best known for its ability to relieve respiratory issues like asthma, bronchitis, or seasonal al\xe2\x80\xa6 https://t.co/rr8FSHFl7z'"
57,1295356224825896961,2023-02-13 19:47:32+00:00,b'RT @GalleryJongho: side eye https://t.co/YWScavoLGI'
58,3236586514,2023-02-13 19:47:31+00:00,b'she invented fever dream\nhttps://t.co/rwXBpnQbx2'
59,1372768274,2023-02-13 19:47:30+00:00,"b""@freakedbydubulg Yeah it's my 5th day with fever I'm going insane probably"""
61,1433395878564270080,2023-02-13 19:47:13+00:00,b'RT @lalalimario_m: so they say they slept 3 altogether right? \n\nbut how come Nam does not have any cool fever on her forehead? \xf0\x9f\xa4\x94 https://t.\xe2\x80\xa6'
62,1497477456470548484,2023-02-13 19:46:57+00:00,b'Luka Luka\xe2\x98\x85Night Fever &gt;w&lt;'
63,1601952532099727360,2023-02-13 19:46:55+00:00,b'Just played level 31 of the fast food court on cooking fever https://t.co/m27UdRT9Pb'
64,2974546100,2023-02-13 19:46:52+00:00,b'RT @SchoolBreakin: \xe0\xb8\x81\xe0\xb8\xa3\xe0\xb8\xb0\xe0\xb9\x80\xe0\xb8\x9b\xe0\xb9\x8b\xe0\xb8\xb2 DIY \xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xab\xe0\xb8\x99\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb9\x86 BALLISTIK BOYZ &amp; PSYCHIC FEVER \xe0\xb9\x83\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa3\xe0\xb8\xad\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb8\x95\xe0\xb8\xb2\xe0\xb8\xa1\xe0\xb8\x81\xe0\xb8\xb4\xe0\xb8\x88\xe0\xb8\x81\xe0\xb8\xa3\xe0\xb8\xa3\xe0\xb8\xa1\xe0\xb9\x81\xe0\xb8\x88\xe0\xb8\x81\xe0\xb8\x81\xe0\xb8\xa3\xe0\xb8\xb0\xe0\xb9\x80\xe0\xb8\x9b\xe0\xb9\x8b\xe0\xb8\xb2\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb9\x81\xe0\xb8\xad\xe0\xb8\x84\xe0\xb8\x97\xe0\xb8\xa7\xe0\xb8\xb4\xe0\xb8\x95\xe0\xb9\x80\xe0\xb8\x95\xe0\xb8\xad\xe0\xb8\xa3\xe0\xb9\x8c\xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x87\xe0\xb8\xa3\xe0\xb8\xb2\xe0\xb8\xa2\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xa3\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2!\xe2\x80\xa6'
67,1038547566277709824,2023-02-13 19:46:29+00:00,b'RT @MrBlingBling007: Today: 13 February 2023\n\nEquatorial Guinea confirms first-ever #Marburg virus outbreak \nhttps://t.co/ijEvbI5ptf\n\nFlash\xe2\x80\xa6'
68,187865720,2023-02-13 19:46:24+00:00,"b""We been know ole' Bill got that yellow fever \n\nCan't blame him, I'd be jumping chairs for Connie Chung too https://t.co/J6rAl5QxeX"""
