,id,Time,Tweet
0,id,Time,Tweet
1,1.4491E+18,2023-01-30 11:59:33+00:00,b'periods are weird as fuck because it\xe2\x80\x99s like \xe2\x80\x98yeah I either make you throw up OR you can fight off the nausea with a\xe2\x80\xa6 https://t.co/ISI8PvhUQK'
2,1.59396E+18,2023-01-30 11:57:53+00:00,"b'Hello mate ,i got top grade medical marijuana and cannabis oil for all smokers, cancer cure, insomnia, back pain, e\xe2\x80\xa6 https://t.co/qVcT5Jhn9C'"
3,14448830,2023-01-30 11:56:59+00:00,"b'@AniaKoniec @GeorgeTakei High fever, chills, vertigo, two nights of violent and uncontrollable shaking, terrible na\xe2\x80\xa6 https://t.co/SPwWjwmntR'"
5,1.4216E+18,2023-01-30 11:56:20+00:00,b'And then the nausea kicks in \xf0\x9f\xa4\xa2 #notfun #nobueno \xf0\x9f\xa5\xba'
8,1.36013E+18,2023-01-30 11:51:17+00:00,"b'What are the symptoms of malaria?\nSymptoms of malaria include high fever, chills, headache, body aches, nausea, vom\xe2\x80\xa6 https://t.co/9hXjnVp8J3'"
10,58970303,2023-01-30 11:50:02+00:00,b'@aliastheram_ Helps with nausea that\xe2\x80\x99s what i need it for .'
11,1.4263E+18,2023-01-30 11:45:18+00:00,b'@MrRedMartian I don\xe2\x80\x99t say this to judge anyone at all but please if you can realize it\xe2\x80\x99s similar to Tobacco for man\xe2\x80\xa6 https://t.co/7fflw9Gph3'
15,1.52493E+18,2023-01-30 11:41:48+00:00,b'My nausea is getting so bad. It\xe2\x80\x99s been like 5 days of this and it won\xe2\x80\x99t stop. I want to cry'
16,68730363,2023-01-30 11:41:46+00:00,"b'great, had another round of waking up at night to nausea and dizziness\n\nnot as bad as last time but it lasted longe\xe2\x80\xa6 https://t.co/4DfBmoRxL4'"
17,1.59079E+18,2023-01-30 11:40:00+00:00,b'EXOCRINE PANCREAS \n2. ACUTE PANCREATITIS\n\nClinical features: \n-epigastric abd pain that radiates to the back \n-naus\xe2\x80\xa6 https://t.co/VPPWkkBhtu'
19,182646553,2023-01-30 11:36:55+00:00,b'im actually having nausea rn but its in the way i like'
22,1.52122E+18,2023-01-30 11:28:01+00:00,"b'@healthbyjames Me! It was just a bad flu for me, no nausea tho. Just stayed home in bed and rested\xe2\x80\xa6. Never took the\xe2\x80\xa6 https://t.co/f2IfBAHDlI'"
