,symptoms1,tags
808,vomit,nausea
887,vomit,nausea
896,vomit,nausea
900,gagging,nausea
937,sweating,nausea
966,sweating,nausea
992,vomit,nausea
1000,vomit,nausea
1112,vomit,nausea
1191,vomit,nausea
1222,vomit,nausea
1270,vomit,nausea
1322,vomit,nausea
1412,vomit,nausea
2997,,anxiety
2998,,anxiety
3007,,anxiety
3008,,anxiety
3009,,anxiety
3012,,anxiety
3022,,anxiety
3027,,anxiety
3036,,anxiety
3038,,anxiety
3039,,anxiety
3040,,anxiety
3041,,anxiety
3047,,anxiety
3049,,anxiety
3051,,anxiety
3052,,anxiety
3053,,anxiety
3054,,anxiety
3055,,anxiety
3058,,anxiety
3061,,anxiety
3064,,anxiety
3067,,anxiety
3073,,anxiety
3089,,anxiety
3091,,anxiety
3094,,anxiety
3101,,anxiety
3104,,anxiety
3114,,anxiety
3119,,anxiety
3120,,anxiety
3124,,anxiety
3139,,anxiety
3143,,anxiety
3145,,anxiety
3150,,anxiety
3152,,anxiety
3154,,anxiety
3157,,anxiety
3158,,anxiety
3162,,anxiety
3172,,anxiety
3178,,anxiety
3183,,anxiety
3187,,anxiety
3190,,anxiety
3191,,anxiety
3197,,anxiety
3206,,anxiety
3208,,anxiety
3211,,anxiety
3219,,anxiety
3220,,anxiety
3238,,anxiety
3252,,anxiety
3253,,anxiety
3255,,anxiety
3258,,anxiety
3261,,anxiety
3263,,anxiety
3264,,anxiety
3265,,anxiety
3266,,anxiety
3268,,anxiety
3276,,anxiety
3282,,anxiety
3285,,anxiety
3286,,anxiety
3296,,anxiety
3300,,anxiety
3302,,anxiety
3306,,anxiety
3308,,anxiety
3309,,anxiety
3313,,anxiety
3316,,anxiety
3318,,anxiety
3327,,anxiety
3333,,anxiety
3334,,anxiety
3338,,anxiety
3341,,anxiety
3343,,anxiety
3344,,anxiety
3351,,anxiety
3354,,anxiety
3356,,anxiety
3358,,anxiety
3359,,anxiety
3363,,anxiety
3366,,anxiety
3367,,anxiety
3372,,anxiety
3373,,anxiety
3374,,anxiety
3376,,anxiety
3379,,anxiety
3381,,anxiety
3382,,anxiety
3384,,anxiety
3386,,anxiety
3392,,anxiety
3397,,anxiety
3398,,anxiety
3400,,anxiety
3402,,anxiety
3403,,anxiety
3409,,anxiety
3412,,anxiety
3420,,anxiety
3426,,anxiety
3427,,anxiety
3435,,anxiety
3440,,anxiety
3442,,anxiety
3445,,anxiety
3446,,anxiety
3453,,anxiety
3455,,anxiety
3471,,anxiety
3477,,anxiety
3480,,anxiety
3483,,anxiety
3485,,anxiety
3487,,anxiety
3491,,anxiety
3493,,anxiety
3496,,anxiety
3502,,anxiety
3513,,anxiety
3517,,anxiety
3525,,anxiety
3528,,anxiety
3537,,anxiety
3541,,anxiety
3542,,anxiety
3547,,anxiety
3549,,anxiety
3552,,anxiety
3557,,anxiety
3558,,anxiety
3559,,anxiety
3570,,anxiety
3574,,anxiety
3578,,anxiety
3581,,anxiety
3583,,anxiety
3584,,anxiety
3585,,anxiety
3586,,anxiety
3591,,anxiety
3592,,anxiety
3600,,anxiety
3602,,anxiety
3603,,anxiety
3606,,anxiety
3617,,anxiety
3618,,anxiety
3621,,anxiety
3623,,anxiety
3626,,anxiety
3634,,anxiety
3637,,anxiety
3639,,anxiety
3642,,anxiety
3643,,anxiety
3645,,anxiety
3647,,anxiety
3650,,anxiety
3669,,anxiety
3670,,anxiety
3671,,anxiety
3676,,anxiety
3684,,anxiety
3689,,anxiety
3696,,anxiety
3698,,anxiety
3701,,anxiety
3702,,anxiety
3716,,anxiety
3721,,anxiety
3726,,anxiety
3732,,anxiety
3733,,anxiety
3735,,anxiety
3736,,anxiety
3739,,anxiety
3741,,anxiety
3743,,anxiety
3891,cough,flu
4159,cough,flu
5068,,obesity
5116,,obesity
5182,,obesity
