,symptoms1,tags
1,No,fever
52,No,fever
66,No,fever
67,No,fever
72,No,fever
78,No,fever
81,No,fever
83,No,fever
85,No,fever
88,No,fever
91,No,fever
97,No,fever
101,No,fever
105,No,fever
106,No,fever
109,No,fever
117,No,fever
119,No,fever
120,No,fever
137,No,fever
138,No,fever
140,No,fever
145,No,fever
147,No,fever
154,No,fever
170,No,fever
182,No,fever
185,No,fever
190,No,fever
196,No,fever
202,No,fever
205,No,fever
210,No,fever
221,No,fever
224,No,fever
230,No,fever
240,No,fever
245,No,fever
246,No,fever
260,No,fever
281,No,fever
282,No,fever
286,No,fever
289,No,fever
295,No,fever
300,No,fever
301,No,fever
303,No,fever
328,No,fever
334,No,fever
337,No,fever
339,No,fever
345,No,fever
356,No,fever
371,No,fever
372,No,fever
384,No,fever
389,No,fever
399,No,fever
409,No,fever
410,No,fever
424,No,fever
425,No,fever
473,No,fever
479,No,fever
483,No,fever
487,No,fever
489,No,fever
492,No,fever
497,No,fever
503,No,fever
504,No,fever
507,No,fever
509,No,fever
510,No,fever
515,No,fever
523,No,fever
528,No,fever
529,No,fever
532,No,fever
545,No,fever
547,No,fever
548,No,fever
561,No,fever
571,No,fever
583,No,fever
592,No,fever
593,No,fever
600,No,fever
605,No,fever
608,No,fever
610,No,fever
611,No,fever
615,No,fever
619,No,fever
626,No,fever
628,No,fever
652,No,fever
669,No,fever
672,No,fever
674,No,fever
695,No,fever
697,No,fever
701,No,fever
708,No,fever
717,No,fever
719,No,fever
732,No,fever
738,No,fever
752,No,nausea
753,No,nausea
755,No,nausea
756,No,nausea
761,No,nausea
765,No,nausea
766,No,nausea
768,No,nausea
771,No,nausea
772,No,nausea
773,No,nausea
785,No,nausea
815,No,nausea
817,No,nausea
819,No,nausea
821,No,nausea
828,No,nausea
832,No,nausea
833,No,nausea
835,No,nausea
837,No,nausea
839,No,nausea
840,No,nausea
842,No,nausea
843,No,nausea
845,No,nausea
849,No,nausea
850,No,nausea
853,No,nausea
863,No,nausea
866,No,nausea
880,No,nausea
885,No,nausea
886,No,nausea
888,No,nausea
889,No,nausea
890,No,nausea
891,No,nausea
892,No,nausea
893,No,nausea
895,No,nausea
901,No,nausea
904,No,nausea
907,No,nausea
908,No,nausea
911,No,nausea
912,No,nausea
914,No,nausea
917,No,nausea
925,No,nausea
927,No,nausea
933,No,nausea
941,No,nausea
945,No,nausea
946,No,nausea
949,No,nausea
954,No,nausea
955,No,nausea
959,No,nausea
961,No,nausea
962,No,nausea
963,No,nausea
967,No,nausea
968,No,nausea
973,No,nausea
976,No,nausea
978,No,nausea
982,No,nausea
986,No,nausea
987,No,nausea
991,No,nausea
997,No,nausea
998,No,nausea
999,No,nausea
1005,No,nausea
1010,No,nausea
1015,No,nausea
1019,No,nausea
1020,No,nausea
1023,No,nausea
1029,No,nausea
1032,No,nausea
1033,No,nausea
1035,No,nausea
1036,No,nausea
1037,No,nausea
1038,No,nausea
1043,No,nausea
1053,No,nausea
1055,No,nausea
1058,No,nausea
1065,No,nausea
1067,No,nausea
1069,No,nausea
1075,No,nausea
1078,No,nausea
1080,No,nausea
1083,No,nausea
1084,No,nausea
1085,No,nausea
1094,No,nausea
1095,No,nausea
1099,No,nausea
1103,No,nausea
1106,No,nausea
1109,No,nausea
1117,No,nausea
1119,No,nausea
1123,No,nausea
1124,No,nausea
1126,No,nausea
1128,No,nausea
1134,No,nausea
1139,No,nausea
1140,No,nausea
1142,No,nausea
1144,No,nausea
1147,No,nausea
