,Unnamed: 0,Tweet,tags,Cleaned_tweet,Subjectivity,Polarity,Sentiment,Noun_phrases,Adjectives,final,recommend,symptoms1
1,1,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'",fever,hot cold sometimes usually cold mean thing turning around like fever breaking ,0.84375,-0.45625,Negative,"['cold mean thing', 'fever', 'breaking']","['hot', 'cold', 'cold', 'mean']",Dress in Light Clothing.,Dress in Light Clothing.,No
52,52,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'",fever,im confuse w  body feeling sick amp since weekend running fever body ache ,0.857142857,-0.714285714,Negative,"['im', 'confuse', 'w', 'body', 'sick amp', 'weekend', 'body', 'ache']",['sick'],Dress in Light Clothing.,Dress in Light Clothing.,No
66,66,b'and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',fever,and feverish anxiety incident betting toefl+ ielts.+ gre+ gmat+ sat+ act+ ,0.4,-0.1,Negative,"['feverish anxiety', 'incident', 'toefl+ ielts.+', 'gre+', 'gmat+', 'sat+', 'act+']","['feverish', 'toefl+']",Dress in Light Clothing.,Dress in Light Clothing.,No
67,67,b'@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',fever,yall dont understand dangerous reckless drive cause people ,0.9,-0.6,Negative,"['dangerous reckless drive', 'cause']","['dont', 'dangerous', 'reckless']",Dress in Light Clothing.,Dress in Light Clothing.,No
72,72,"b""usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""",fever,  usually would angry sh take app last time checked fever 'm jus ,0.438888889,-0.25,Negative,"['app', 'last time', 'jus']","['sh', 'last']",Dress in Light Clothing.,Dress in Light Clothing.,No
78,78,b'rt @peeliwg: @goldsbie had a condo property manager who had no sick days. he developed a persistent fever over 2 wks yet had no choice but...',fever, condo property manager sick day developed persistent fever wks yet choice ,0.578571429,-0.307142857,Negative,"['condo property', 'manager', 'sick day', 'persistent fever', 'wks', 'choice']","['condo', 'sick', 'persistent']",Dress in Light Clothing.,Dress in Light Clothing.,No
81,81,b'i am feeling kaafi sick rn:)))) this fever is killing me',fever,feeling kaafi sick rn fever killing,0.857142857,-0.714285714,Negative,"['kaafi', 'sick rn', 'fever']",['sick'],Dress in Light Clothing.,Dress in Light Clothing.,No
83,83,"b'rt @catiezee: ""illness was the cause of the sharp rises in absences before christmas, as strep a...scarlet fever...as well as covid...empti...'",fever,   illness cause sharp rise absence christmas strep  scarlet fever  well covid  empti ,0.375,-0.06875,Negative,"['illness', 'cause', 'sharp rise', 'absence', 'christmas', 'strep scarlet', 'covid empti']","['sharp', 'strep', 'covid']",Dress in Light Clothing.,Dress in Light Clothing.,No
85,85,"b'@crystalbunni i caught baby fever soooooo bad, yesterday!!!'",fever,caught baby fever soooooo bad yesterday,0.666666667,-0.7,Negative,"['caught', 'baby', 'fever', 'soooooo', 'bad yesterday']",['bad'],Dress in Light Clothing.,Dress in Light Clothing.,No
88,88,b'@blake_allen13 @billscher eh i dont think someone ever loses presidential fever once they catch it. but the path f... https://t.co/5ensb1w91t',fever,eh dont think someone ever loses presidential fever catch path f ,0.1,-0.3,Negative,"['eh dont', 'someone', 'presidential fever', 'path', 'f']","['eh', 'presidential']",Dress in Light Clothing.,Dress in Light Clothing.,No
91,91,"b'fever, inevitable. scanner. disappointment house. react\n?\n\n\nh80\nh80\nh80'",fever,fever inevitable scanner disappointment house react     ,0.7,-0.3,Negative,"['inevitable scanner', 'disappointment', 'house', 'react']",['inevitable'],Dress in Light Clothing.,Dress in Light Clothing.,No
97,97,"b'- people, with sunset suffering an endless fever.\n\ncan she reverse the spell, even being affected by it herself?'",fever,  people sunset suffering endless fever.  can reverse spell even affected,0.75,-0.125,Negative,"['endless', 'fever']",['affected'],Dress in Light Clothing.,Dress in Light Clothing.,No
101,101,b'@voadeewa what a failed state.75 years or so of corruption n religious fever has destroyed a nation that had all.st... https://t.co/rawre1sbmt',fever,failed state year corruption n religious fever destroyed nation all.st ,0.275,-0.25,Negative,"['state', 'year', 'corruption', 'religious fever', 'nation', 'all.st']",['religious'],Dress in Light Clothing.,Dress in Light Clothing.,No
105,105,b'why @karachikingsary still in fever of @iamamirofficial?\n@salman_ary please move on sir g. main bowler failed to ge... https://t.co/s93rcknztz',fever,why still fever   please move sir g. main bowler failed ge ,0.316666667,-0.166666667,Negative,"['please move', 'sir', 'g.', 'main bowler', 'ge']","['please', 'main']",Dress in Light Clothing.,Dress in Light Clothing.,No
106,106,"b'for everyone now in a fever over digital id, understand that that ship sailed no later than 2016. \nsoylent green -... https://t.co/vukupykbaz'",fever,for everyone fever digital id understand ship sailed later  soylent green ,0.1,-0.066666667,Negative,"['everyone', 'fever', 'digital id', 'ship', 'soylent green']","['digital', 'soylent']",Dress in Light Clothing.,Dress in Light Clothing.,No
109,109,b'im mad cause why tf i woke up with a fever ',fever,im mad cause tf woke fever,1.0,-0.625,Negative,"['im', 'mad', 'cause', 'tf', 'fever']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
117,117,"b'@qwz180 @tradsperger sick as hell nov 2019. dont know if it was covid, but 48 hours of fever, heavy sweats, chills... https://t.co/nsvfmj0sbk'",fever,sick hell nov dont know covid hour fever heavy sweat chill ,0.678571429,-0.457142857,Negative,"['sick hell', 'covid hour', 'heavy sweat', 'chill']","['sick', 'covid', 'heavy']",Dress in Light Clothing.,Dress in Light Clothing.,No
119,119,b'@guitar550 @riffmandale yeah cough and cold-like. i had a fever of 102 a few days ago but was negative so thought was just flu/similar',fever,yeah cough cold like fever day ago negative thought flu similar,0.4,-0.3,Negative,"['cough cold', 'fever', 'day', 'negative thought', 'flu']","['cough', 'negative', 'similar']",Dress in Light Clothing.,Dress in Light Clothing.,No
120,120,b'@joncoopertweets liberal fever dream....\n\nyou leftist fruitcakes are a strange bunch. ',fever,liberal fever dream .   you leftist fruitcake strange bunch,0.375,-0.05,Negative,"['liberal fever', 'dream', 'fruitcake strange bunch']","['liberal', 'fruitcake', 'strange']",Dress in Light Clothing.,Dress in Light Clothing.,No
137,137,"b""@ujuanya keep living in that fever dream of white racism. it's unhealthy to want so badly to be oppressed.""",fever,  keep living fever dream white racism 's unhealthy want badly oppressed  ,0.455555556,-0.366666667,Negative,"['living', 'fever', 'dream', 'white racism']","['white', 'unhealthy']",Dress in Light Clothing.,Dress in Light Clothing.,No
138,138,b'gm! was on my way to a date and halfway there my son called from school sick with a fever. motherhood calls \nhappy... https://t.co/ao7dqfu5jl',fever,gm way date halfway son called school sick fever motherhood call  happy ,0.857142857,-0.714285714,Negative,"['gm way', 'date', 'halfway', 'son', 'school', 'sick', 'fever', 'motherhood', 'call']","['gm', 'happy']",Dress in Light Clothing.,Dress in Light Clothing.,No
140,140,"b'rt @jnewsombot: but i took my fishing pole (fearing your fever),\ndown to the swimming hole, where there grows a bitter herb\nthat blooms but...'",fever, took fishing pole fearing fever  down swimming hole grows bitter herb that bloom ,0.5,-0.1,Negative,"['fishing', 'pole', 'bitter herb', 'bloom']","['hole', 'bitter']",Dress in Light Clothing.,Dress in Light Clothing.,No
145,145,"b'my baby fever is insane, i can cry '",fever,my baby fever insane cry,1.0,-1.0,Negative,"['baby', 'cry']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
