Diseases,Symptoms,Features,Suggestions,Description
fever,No,no,No,"Avoid taking cold baths or showers : Skin reacts to the cold by constricting its blood vessels, which will trap body heat."
nausea,No,no,No,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea."
sprain,No,no,No,"Heat therapy: After the initial swelling has gone down, heat therapy can help increase blood flow to the area, promoting healing."
stroke,No,no,No,"Emotional support: Stroke can be a traumatic experience, and emotional support is crucial for recovery. Family, friends, and support groups can provide emotional support and help stroke survivors cope with the challenges of recovery."
dengue,No,no,No,Drink juice of Papaya Leaves. Another very effective remedy is drinking papaya leaf juice. 
asthma,No,no,No,Inhaler:Take a puff of your rescue medication inhaler
autism,No,no,No,"Behavioral therapy: Behavioral therapy, such as applied behavior analysis (ABA), can help children with autism learn new skills, improve communication and social interactions, and reduce problematic behaviors."
obesity,No,no,No,"Healthy diet: Eating a healthy, balanced diet is essential for managing obesity. Focus on consuming whole, nutrient-dense foods, such as fruits, vegetables, lean protein, and whole grains, while limiting processed and high-calorie foods."
flu,No,no,No,Rest: Rest is essential for recovery from the flu. Stay at home and avoid physical activity until symptoms improve.
anxiety,No,no,No,Exercise: Regular exercise can help reduce anxiety by releasing endorphins and reducing stress hormones in the body.
