id,Time,Tweet
id,Time,Tweet
id,Time,Tweet
1593628862,2023-01-30 16:29:45+00:00,"b'RT @isthatshabrina: Weverse \xed\x8c\xac\xec\x8b\xb8 \xeb\xb2\x94\xea\xb7\x9c\n\xf0\x9f\x90\xbb : you\xe2\x80\x99re sick? why are you sick?\xf0\x9f\xa5\xba\n\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f : i think going back from the comeback show, the wind is very s\xe2\x80\xa6'"
269446260,2023-01-30 16:29:44+00:00,b'RT @shouldhaveaduck: POV: you\xe2\x80\x99re the last bread crumb https://t.co/SJTWuYba14'
611795732,2023-01-30 16:29:43+00:00,"b'RT @mrexits: So much of the Covid era seems like a fever dream at this point, but California handing out $192 million no-bid contracts for\xe2\x80\xa6'"
512618465,2023-01-30 16:29:42+00:00,b'I dislike children but damn if single dad fics don\xe2\x80\x99t give me baby fever'
1555899599466172417,2023-01-30 16:29:37+00:00,"b'@ssefnum only a second chance, setelah itu bye bye fever'"
938851,2023-01-30 16:29:31+00:00,"b'Commenting on winning the competition, Eleanor said: \xe2\x80\x9cI thought of my backpack to help clean the air because some o\xe2\x80\xa6 https://t.co/zCnKApPZ6U'"
3996902472,2023-01-30 16:29:28+00:00,b'I maybe a little out of touch today. My little guy woke up with a fever and a cough. #dadlife #Parenting'
293272588,2023-01-30 16:29:19+00:00,b'@billienotjeane @socialistbucks He was an absolute fever dream is what he was \xf0\x9f\x98\x82'
1520113018092535809,2023-01-30 16:29:18+00:00,b'RT @TeamSupportNNew: \xe2\x80\x94 #IGNuNewUpdate  =\xcd\x9f\xcd\x9f\xcd\x9e\xe2\x99\xa1 \n(30.01.23)\n\nIG : new_cwr\n\xf0\x9f\x96\x87\xef\xb8\x8f : https://t.co/VoyQw6O2Jn\n\nSee you again in Cuite Love Concert \xf0\x9f\x92\x97\xe2\x80\xa6'
3131495470,2023-01-30 16:29:18+00:00,"b'RT @TatasenkoMana: This ""That\'s what makes me love you"" page is a fever dream,thank you again to Hoshikawa sensei for making Dazai\'s words\xe2\x80\xa6'"
1437819396869615616,2023-01-30 16:29:18+00:00,b'RT @jeonjkloops: so this wasn\xe2\x80\x99t a fever dream. https://t.co/TTmS7d85aB'
1601810617643376641,2023-01-30 16:29:16+00:00,"b""RT @wychstreet: Silk was made in a small part of E1 c.1700-1860. No one but no one said 'The Silk District' then, no one has said it since,\xe2\x80\xa6"""
14167331,2023-01-30 16:29:15+00:00,"b'RT @mrexits: So much of the Covid era seems like a fever dream at this point, but California handing out $192 million no-bid contracts for\xe2\x80\xa6'"
1520113018092535809,2023-01-30 16:29:15+00:00,b'RT @TeamSupportNNew: \xe2\x80\x94 #IGNuNewUpdate  =\xcd\x9f\xcd\x9f\xcd\x9e\xe2\x99\xa1 \n(30.01.23)\n\nIG : new_cwr\n\xf0\x9f\x96\x87\xef\xb8\x8f : https://t.co/VoyQw6O2Jn\n\nSee you again in Cuite Love Concert \xf0\x9f\x92\x97\xe2\x80\xa6'
1520113018092535809,2023-01-30 16:29:13+00:00,b'RT @TeamSupportNNew: \xe2\x80\x94 #IGNuNewUpdate  =\xcd\x9f\xcd\x9f\xcd\x9e\xe2\x99\xa1 \n(30.01.23)\n\nIG : new_cwr\n\xf0\x9f\x96\x87\xef\xb8\x8f : https://t.co/VoyQw6O2Jn\n\nSee you again in Cuite Love Concert \xf0\x9f\x92\x97\xe2\x80\xa6'
1074183963931897857,2023-01-30 16:29:06+00:00,b'RT @Dipali_16: 500 Cr in Just 5 Days \xf0\x9f\x94\xa5\n#Pathaan fever continues at India Today! Our special broadcast at 2.30 PM &amp; 11.30 PM \n@iamsrk @yrf @\xe2\x80\xa6'
1443613264991059974,2023-01-30 16:29:05+00:00,"b'RT @podcast_di: Heard the newest episode of Disturbing Interests yet? Check out Season 5, The Great Fever Dream &amp; The Coldest Blood aka Hip\xe2\x80\xa6'"
4755806460,2023-01-30 16:29:03+00:00,b'RT @xaloapx: Turning 25 this years feel so weird bc I was 21 right before the pandemic and the past 3 years have felt like a fever dream an\xe2\x80\xa6'
1606840684610465793,2023-01-30 16:28:54+00:00,"b'Woke up with fever chills, sweats, and aches this morning, so I\xe2\x80\x99m trading from bed today, This market needs to star\xe2\x80\xa6 https://t.co/nm9ISgVwqr'"
3455424795,2023-01-30 16:28:54+00:00,b'Not all headaches are from fever. When last did you cum \xf0\x9f\x92\xa6\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1331218833755963393,2023-01-30 16:28:42+00:00,"b'Maybe I should have put the fan right behind me, blowing at me for like 3 hours straight\n\nMight have a caught either a fever or a cold'"
187517288,2023-01-30 16:28:33+00:00,"b'RT @DamichaelC: Ja Morant speaking about the third quarter confrontation with Andrew Nembhard. He said Nembhard told his father, Tee, to \xe2\x80\x9cs\xe2\x80\xa6'"
1241424591333056514,2023-01-30 16:28:32+00:00,"b'@SipSipStefen Like, fever sick, or what?'"
1029273758576590848,2023-01-30 16:28:30+00:00,"b""Last night was a chaotic fever dream and to be honest I couldn't see It go any other way. That being said, ganyu pl\xe2\x80\xa6 https://t.co/KqwkqOJp3r"""
546799268,2023-01-30 16:28:27+00:00,b'RT @channelstv: NCDC Sends Warning Regarding High Risk Of Lassa Fever Transmission\n\nhttps://t.co/g5borSmEkF https://t.co/1auABvpu32'
1556414388432773120,2023-01-30 16:28:24+00:00,"b'Fever will adhere to the Internet at home, at school sneezes will think is terminal cancer.'"
1250498262739582977,2023-01-30 16:28:19+00:00,"b""RT @SharvFNF: I don't think I can upload FNF Fever, I don't feel very good. And thanks to everyone who sent in their work on my last tweet,\xe2\x80\xa6"""
859915938518388736,2023-01-30 16:28:09+00:00,"b'RT @isthatshabrina: Weverse \xed\x8c\xac\xec\x8b\xb8 \xeb\xb2\x94\xea\xb7\x9c\n\xf0\x9f\x90\xbb : you\xe2\x80\x99re sick? why are you sick?\xf0\x9f\xa5\xba\n\xf0\x9f\x99\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f : i think going back from the comeback show, the wind is very s\xe2\x80\xa6'"
1305428983878574080,2023-01-30 16:28:01+00:00,b'RT @taembabycheese: Minho fever still hot here!!! #SHINee #MINHO \xf0\x9f\x92\x8e\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5 https://t.co/h4aNiisCab'
40259752,2023-01-30 16:28:01+00:00,"b'Assistant #Editor Si\xc3\xa2n Fever from Netflix\'s ""The Crown"" talks about her approach to #videoediting and\xe2\x80\xa6 https://t.co/t5aqjSWCmS'"
1633318674,2023-01-30 16:27:58+00:00,b'RT @ballistik_fext: \xe2\xa0\x80/\xef\xbc\x8f\n\xf0\x9f\x94\xa56 MORE DAYS\xe2\x80\xa6\n   \\\xef\xbc\xbc\n\nBALLISTIK BOYZ VS PSYCHIC FEVER\nTHE SURVIVAL 2023 THAILAND\xf0\x9f\x87\xb9\xf0\x9f\x87\xad \n\n#YOSHI\n#BALLISTIKBOYZ #\xe0\xb8\x9a\xe0\xb8\xb2\xe0\xb8\xa5\xe0\xb8\xb4\xe0\xb8\xaa\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x81\xe2\x80\xa6'
1603297559060967424,2023-01-30 16:27:43+00:00,"b'@chennaicorp @rdc_south There are several vacant unmaintained plot in 2nd avenue, Vettuvankeni. These are breeding\xe2\x80\xa6 https://t.co/xZJwtxCqNx'"
1523966271431135232,2023-01-30 16:27:41+00:00,b'THEY PLAYED FEVER EARLIER SA LUNETA HAWKDKFKF'
1500507583760801798,2023-01-30 16:27:38+00:00,"b'RT @ifscasjack: charlie and dean, supernatural \npac-man fever (08x20) https://t.co/JvOKYcX3Ue'"
1390625255996018688,2023-01-30 16:27:37+00:00,b'@CommissionrGHMC @GadwalvijayaTRS @GHMCOnline Ramanthapur sri sai Krishna colony.. Mosquitoes so dangerful in this\xe2\x80\xa6 https://t.co/mKpUkuGJyj'
3178024336,2023-01-30 16:27:35+00:00,b'RT @dragonpunk15: i threw a fever-dream kinda idea to my friend and then for some reason i had to draw it \n\neri got a puppy that isnt reall\xe2\x80\xa6'
855777054,2023-01-30 16:27:22+00:00,"b""RT @YouAreLobbyLud: I haven't had a cough or a sniffle or a fever for over three years. I have become addicted to good health and plan to d\xe2\x80\xa6"""
336908236,2023-01-30 16:27:19+00:00,"b""I feel like some of my cousin's friends are insensitive when it comes to her miscarriage.  Like, she was holding he\xe2\x80\xa6 https://t.co/djewFVlvqY"""
28868214,2023-01-30 16:27:07+00:00,"b'Lana, Fever Ray, AND NOW YVES TUMOR THIS MARCH!!!!!'"
286707956,2023-01-30 16:27:01+00:00,b'RT @RaceOfChampions: #Fever\n\nThank you @audisport  for bringing the iconic Audi S1 and your spectacular Dakar challenger. \xf0\x9f\xa4\x8c\xf0\x9f\xa4\x8c\n\n#ROCSweden ht\xe2\x80\xa6'
801881479533957123,2023-01-30 16:26:54+00:00,"b'@hilaryagro I am 99% sure I got it way back when it was first starting in NA.  I was in Colorado, where an outbreak\xe2\x80\xa6 https://t.co/aj31zPUF6z'"
1192726910125522944,2023-01-30 16:26:47+00:00,b'all of these are like a fever dream but it\xe2\x80\x99s not\xf0\x9f\x98\x83'
1230891005244608512,2023-01-30 16:26:43+00:00,b'RT @MASTER__harish: Finally #Thalapathy67 Fever Start \xf0\x9f\x94\xa5\xf0\x9f\x98\xb2!\n\n@actorvijay | #Varisu https://t.co/q0qCU7L3XD'
3221065147,2023-01-30 16:26:43+00:00,"b'What\xe2\x80\x99s up with #Chennai ? I am down with fever, cold , soar throat and cough. Looks like many are experiencing the same symptoms. \xf0\x9f\x98\xb7\xf0\x9f\xa4\x92'"
541433657,2023-01-30 16:26:37+00:00,b'Btw.. I traveled 120km with fever and sickness to see pathaan.. I felt like shit.. Bt it was so worth it.... I woul\xe2\x80\xa6 https://t.co/abLmsJcQT0'
