id,Time,Tweet
42410755,2023-01-30 12:05:01+00:00,b'CureVac Announces Positive Data in Older Adults from COVID-19 and Flu mRNA Vaccine Development Progr... https://t.co/WOMZ4up9Xu'
1546567715728629762,2023-01-30 12:04:56+00:00,"b'@PoetCheesehead An increase in holiday demand, higher production costs for farmers, and an outbreak of bird flu.\nAs\xe2\x80\xa6 https://t.co/Z75Wx5VfqN'"
1608464035091206144,2023-01-30 12:04:48+00:00,b'@DVATW Covid is just rebranded flu.  They killed people in the hospitals with drugs and intubation.'
3055606189,2023-01-30 12:04:34+00:00,"b'RT @j_g_allen: 4/ The 1918 Spanish flu pandemic, measles outbreaks in schools and SARS all show that living conditions can play a critical\xe2\x80\xa6'"
768556527934328833,2023-01-30 12:04:25+00:00,"b'@HannahB04173129 @relic_1022 @AntonioSabatoJr That it was deadly, not a hoax like trump pretended. Not the flu like Trump acted.'"
855280331687055360,2023-01-30 12:04:20+00:00,"b'RT @GatoDelCheshire: ""\xe2\x80\x9cAustralians have very little idea of the scale of the problem at the moment,\xe2\x80\x9d said Burnet Institute director Brendan\xe2\x80\xa6'"
1249301034,2023-01-30 12:04:12+00:00,b'Went to work with some flu like symptoms. This medicine resident ( posted for only 15 days in Nephrology) efficient\xe2\x80\xa6 https://t.co/3hHfplTzi4'
4809501555,2023-01-30 12:04:07+00:00,"b'@mz_storymakers @AlexWallasch Vaccination isn\xe2\x80\x99t an \xe2\x80\x98iron dome\xe2\x80\x99 over you, it\xe2\x80\x99s a system to let the immune system rec\xe2\x80\xa6 https://t.co/8K9HN2ji2c'"
716207945365716992,2023-01-30 12:04:06+00:00,"b'Something to consider, some vaccines are made using eggs, like the flu vaccine. https://t.co/zFcv6aRIL8'"
1080594211240624128,2023-01-30 12:03:58+00:00,b'RT @45Jbama: Does anyone have an actual feasible explanation why flu completely disappeared for 2years?'
1397220645973409792,2023-01-30 12:03:42+00:00,b'RT @LozzaFox: Congratulations to \xe2\x81\xa6@DjokerNole\xe2\x81\xa9 \n\nA man who you can be fairly confident won\xe2\x80\x99t collapse from a heart attack any time soon.\n\nN\xe2\x80\xa6'
1237435305482956801,2023-01-30 12:03:39+00:00,"b'Now I\xe2\x80\x99m committed to getting the flu shot every year, and I know that I won\xe2\x80\x99t regret it!\n\nThis serum is developed t\xe2\x80\xa6 https://t.co/9YK6NIt7uW'"
1244895000875470851,2023-01-30 12:03:34+00:00,b'RT @UKHSA: Here are some simple things we can all do to help stop #flu spreading: \n\xf0\x9f\x8f\xa1 Try to stay at home if you\xe2\x80\x99re unwell\n\xf0\x9f\x98\xb7 Wear a mask if\xe2\x80\xa6'
541068974,2023-01-30 12:03:32+00:00,b'RT @45Jbama: Does anyone have an actual feasible explanation why flu completely disappeared for 2years?'
789331774161563648,2023-01-30 12:03:29+00:00,b'Been under the weather since Thursday. I wanna feel better again. Little dood just recovered but still on and off f\xe2\x80\xa6 https://t.co/5Q0aQQuljo'
2311994617,2023-01-30 12:03:20+00:00,"b'RT @nftwhalealert: Adam Bomb Squad 11249 bought for \xce\x9e1.5 ($1,832.97)\nAvg Price: \xce\x9e0.28\nRare Traits:\nBody Color: Flu Pink - 0.74%\nOuter Spark\xe2\x80\xa6'"
894296085178593282,2023-01-30 12:03:16+00:00,"b'@VP 12). Well, well, well! Hmmmm! Now we all know what a hoax is. Yet, I still run up on people, even rightwingers\xe2\x80\xa6 https://t.co/Vpd9LnXlXS'"
1316433171026792448,2023-01-30 12:03:12+00:00,"b""@covidanarchy All the time! Ex colleague who wouldn't listen &amp; ran for every jab going, including flu, has been off\xe2\x80\xa6 https://t.co/CMN1fILoka"""
1487747551956717569,2023-01-30 12:03:03+00:00,b'RT @Robertvegan7: 2 year old.\nCovid and Flu shot.\nDead. https://t.co/9vPu5SwhNg'
1609152557414318080,2023-01-30 12:03:02+00:00,"b'@CTVNews Stop identity theft,bring back seasonal flu!!!'"
1355979431504961542,2023-01-30 12:03:01+00:00,b'RT @chrissaccoccia1: 2 year old child gets vaxxxinated with covid and flu.  DEAD the next day..\n\n@moderna_tx murdering babies. https://t.co\xe2\x80\xa6'
1074753537920417792,2023-01-30 12:02:56+00:00,"b'RT @bnunylaozu: ""Flu medicine.""\n\nWWX balks.\n\n""I don\'t have the flu and I took prevention medicine for it.""\n\nLWJ exhales slowly. There\'s a t\xe2\x80\xa6'"
45746264,2023-01-30 12:02:50+00:00,b'@juliatanner @Rachel5742 @kacidama @EvLenz @JFRitte @MmzelleFrenchie @nonnie100759 @tominfrance @Petersbrooking\xe2\x80\xa6 https://t.co/QRcLgqBMHv'
33075967,2023-01-30 12:02:45+00:00,b'RT @hugh_mankind: 2 Year Old Girl Dies Day After Covid And Flu Shot Toxic Combo \n\nA Deadly Combo with 147 Already Dead and Over 6000 Injure\xe2\x80\xa6'
862977345430462464,2023-01-30 12:02:39+00:00,"b'RT @Feisty_Waters: For the \xe2\x80\x9cI\xe2\x80\x99m not vaccinated, had covid 4 times and no issues, it\xe2\x80\x99s like the flu\xe2\x80\x9d crowd: \n\nYet. You haven\xe2\x80\x99t had any issue\xe2\x80\xa6'"
857617891390353408,2023-01-30 12:02:32+00:00,b'Bird flu has decimated flocks. https://t.co/qw46WgChlt'
737736804,2023-01-30 12:02:31+00:00,b'RT @hugh_mankind: 2 Year Old Girl Dies Day After Covid And Flu Shot Toxic Combo \n\nA Deadly Combo with 147 Already Dead and Over 6000 Injure\xe2\x80\xa6'
18851009,2023-01-30 12:02:29+00:00,b'RT @hugh_mankind: 2 Year Old Girl Dies Day After Covid And Flu Shot Toxic Combo \n\nA Deadly Combo with 147 Already Dead and Over 6000 Injure\xe2\x80\xa6'
1504570851106209799,2023-01-30 12:02:22+00:00,b'@Housekat43 @CP24 You referring to the flu.  Grab some Kleenex.  You\xe2\x80\x99ll be fine'
26742279,2023-01-30 12:02:22+00:00,"b""Vaccines are the best protection this winter. If you're eligible, book your appointment. \n\n\xe2\x96\xb6\xef\xb8\x8fFind a pharmacy that o\xe2\x80\xa6 https://t.co/ZhS64hNfdX"""
1447933281706651651,2023-01-30 12:02:19+00:00,"b'RT @WolfHouseAK: @healthbyjames Me. A good flu, but nowhere near the terror they want you to feel. I\xe2\x80\x99ve had worse before.'"
1583321544,2023-01-30 12:02:14+00:00,"b'RT @FarmPolicy: After lifting ban on live bird sales, #Iowa reports another bird flu outbreak https://t.co/MLHH8yCZEw'"
798648695671517184,2023-01-30 12:02:10+00:00,b'@ksorbs @bigtrendtrader Seems like a small number of chicken deaths compared to the Avian Flu deaths which are caus\xe2\x80\xa6 https://t.co/I8SlFEiLBv'
1598831328,2023-01-30 12:02:08+00:00,"b'RT @MayorBowser: Residents have access to free KN95 masks, flu shots, vaccinations, boosters, take-home rapid antigen tests as well as a ne\xe2\x80\xa6'"
1586067079312166914,2023-01-30 12:01:55+00:00,"b""RT @ElAmerican_: Revisit: Moderna CEO Compares Annual Covid-19 'Boosters' to Seasonal Flu Shots, Advocates Them for the Elderly and At-Risk\xe2\x80\xa6"""
1512775986664058889,2023-01-30 12:01:54+00:00,b'RT @ResearchFeature: Many potentially deadly diseases like influenza can be prevented by vaccination. Professor Doherty believes adult vacc\xe2\x80\xa6'
1186395242,2023-01-30 12:01:52+00:00,b'RT @jasonorton420: @naraki355 I nearly died of Covid a month ago. Week in the hospital. Had Paxlovid 3 days before I got so bad my wife cal\xe2\x80\xa6'
1534541826467708929,2023-01-30 12:01:38+00:00,b'Flu and Covid are still around \xf0\x9f\xa6\xa0 \xf0\x9f\xa4\xa7\nStop them in their tracks with a free Covid-19 jab and flu vaccine \xf0\x9f\x92\x89\n\nCheck elig\xe2\x80\xa6 https://t.co/KUfJ1J3DN9'
3299452793,2023-01-30 12:01:38+00:00,b'Flu and Covid are still around \xf0\x9f\xa6\xa0 \xf0\x9f\xa4\xa7\nStop them in their tracks with a free Covid-19 jab and flu vaccine \xf0\x9f\x92\x89\n\nCheck elig\xe2\x80\xa6 https://t.co/Rmp8LKU66U'
2414853302,2023-01-30 12:01:30+00:00,b'Are you immunosuppressed? \xf0\x9f\xa4\x94\n\nRemind those living with you to get their free Flu vaccinations to protect you and the\xe2\x80\xa6 https://t.co/Kud3XwcJMV'
185374895,2023-01-30 12:01:23+00:00,b'Many respiratory illnesses share similar symptoms. Learn about how #PCR testing can play an important role in detec\xe2\x80\xa6 https://t.co/VfKHNQHJ0z'
4842549695,2023-01-30 12:01:20+00:00,b'Flu is still causing lots of illness this Winter and can be prevented by vaccination. If you are eligible for a \xe2\x80\x98fl\xe2\x80\xa6 https://t.co/BEngHest8q'
112264545,2023-01-30 12:01:19+00:00,"b""@kirkberzerk @GeelongCats73 @bowlessoul @Nigel_Farage Think you're confusing a cure with a vaccination. Vaccines re\xe2\x80\xa6 https://t.co/OSPiLHlnI5"""
293639471,2023-01-30 12:01:18+00:00,"b'@KFLAPH is hosting a routine immunization, COVID-19, and flu vaccine clinic on Feb. 15 at Molly Brant. COVID-19 and\xe2\x80\xa6 https://t.co/ewSQ5QuDXX'"
4614342862,2023-01-30 12:01:13+00:00,"b'@BethRigby \xe2\x80\x98Chris Witty informed us that post Covid, immunity would be low, and we will likely see a spike in flu a\xe2\x80\xa6 https://t.co/WS4NipTN7Q'"
1243510763794378752,2023-01-30 12:01:09+00:00,"b'RT @LibDemPatrick: ""It\xe2\x80\x99s only when the right to clean &amp; safe indoor air is established in law we\xe2\x80\x99ll truly close the door on Covid. \n\nIt\xe2\x80\x99s l\xe2\x80\xa6'"
151466633,2023-01-30 12:01:09+00:00,"b'RT @wrathofgnon: This is big: ""A Mayo Clinic study of a preschool where half of the school was given humidifiers in winter and half were no\xe2\x80\xa6'"
43426240,2023-01-30 12:01:07+00:00,b'Covid and flu have not gone away.  Cases remain high in the North West.\nGrab a \xe2\x80\x98Jabuary\xe2\x80\x99 vaccine boost to help prot\xe2\x80\xa6 https://t.co/durlFe9dJU'
145938040,2023-01-30 12:01:05+00:00,"b""RT @TheTylerDragon: That was Patrick Mahomes' version of the Michael Jordan flu game. Mahomes is the best quarterback in the NFL and there\xe2\x80\xa6"""
846410393698238464,2023-01-30 12:01:00+00:00,"b'RT @DelthiaRicks: In the lab: Computer model of the flu virus shows *universal vaccine* promise. For the 1st time, scientists have created\xe2\x80\xa6'"
1514977540267552770,2023-01-30 12:00:58+00:00,b'@nbreavington Maybe it has something to do with the other plandemic scenario and evaluating done by the WHO and WEF\xe2\x80\xa6 https://t.co/hrwNXwBaHW'
1587503807101112321,2023-01-30 12:00:53+00:00,b'RT @45Jbama: Does anyone have an actual feasible explanation why flu completely disappeared for 2years?'
1523648380978798594,2023-01-30 12:00:44+00:00,b'@healthbyjames Never caught it or got the vaccine. I never showed any physical symptoms or physical signs. Not a co\xe2\x80\xa6 https://t.co/nCvhUA9Y2g'
