,Tweet,Flag,Tags
3,"b'Coba cek ini, deh: ""SKINTIFIC Best Seller Repair Barrier Travel Size Skincare Set 4PCS - 5x travel set"" Rp145.000 d\xe2\x80\xa6 https://t.co/ZZVAHUNqs1'",1,Skincare
7,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
10,b'@returnofprince2 This is like saying diabetes and fried foods isn\xe2\x80\x99t synonymous',1,diabetes
14,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
15,"b'RT @GoSatvik: What concerns me today is the increasing rates of autism, t1 diabetes, asthma, allergies, leukemia and autoimmune diseases in\xe2\x80\xa6'",1,asthma
22,"b""RT @gemmasbeadery: urgent : trans woman needs insulin!  \nY'all I have type 1 Diabetes and my student health insurance plan just changed. Th\xe2\x80\xa6""",1,Diabetes
23,"b'@Askrlfess Gue pendek 155cm dapet calon suami 179cm \xf0\x9f\xa4\xaa menggemaskan bukan? Gue mah invest di skincare, kepribadian, emas wkwkwk'",1,skincare
24,b'@memefess Diabetes hehe',1,Diabetes
25,b'other ~\nstudy 30m daily\nskincare daily\ntoothcare twice daily\nroom clean always\nbe on time\ntry ST again\nfocus on creating again',1,skincare
30,"b'RT @exogrowlnation: anua.skincare_id Instagram Reel:\n\n""Perfect couple of EXO SUHO\'s favourite Heartleaf Toner\xf0\x9f\x92\x93\nHeartleaf 80% Soothing Serum\xe2\x80\xa6'",1,skincare
31,b'@tanyakanrl skincare sih',1,skincare
32,"b'RT @glowinbeautyy: \xe2\x9c\xa8 \xe2\x9c\xa8 GIVEAWAY \xe2\x9c\xa8 \xe2\x9c\xa8 \nGuysss aku mau giveaway beberapa skincare kuu, almost new yaaah.\n\n\xe2\x9d\x97\xef\xb8\x8fsyarat\xe2\x9d\x97\xef\xb8\x8f\n\xf0\x9f\x94\x81 retweet tweet ini\n\xe2\x9d\xa4\xef\xb8\x8f li\xe2\x80\xa6'",1,skincare
41,"b'RT @jacobsunnliden: Vill inte vara den som \xc3\xa4r den MEN... Nu \xc3\xa4r det ytterligare en serie d\xc3\xa4r huvudpersonen har diabetes, f\xc3\xa5r l\xc3\xa5gt blodsocker\xe2\x80\xa6'",1,diabetes
43,b'RT @DiabetesUK: Do you know the 4Ts of #T1Diabetes? They are:\n\n\xf0\x9f\x9a\xbd Toilet (needing a wee more)\n\xf0\x9f\x92\xa6 Thirsty\n\xf0\x9f\x98\xb4 Tired\n\xe2\xac\x87\xef\xb8\x8f Thinner\n\nIf you\xe2\x80\x99re alread\xe2\x80\xa6',1,Diabetes
45,"b'Trajo su bolsito con maquillaje y cosas de skincare, viene preparado. Simplemente se le acerc\xc3\xb3 un poco m\xc3\xa1s. \n\n\xe2\x9d\x9d Sol\xe2\x80\xa6 https://t.co/t9aHqirzND'",1,skincare
46,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
