,Unnamed: 0,Cleaned_tweet,textblob,vader,preprocess_txt,total_len,pos_count,neg_count,normalization,semi_normalization,actual
0,72,  usually would angry sh take app last time checked fever 'm jus ,neagtive,negative,"['usually', 'would', 'angry', 'sh', 'take', 'app', 'last', 'time', 'checked', 'fever', 'jus']",11,0,2,negative,negative,Negative
1,73, patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis   pa ,neutral,positive,"['patient', 'year', 'old', 'boy', 'infancy', 'gt', 'oral', 'lesion', 'recurrent', 'fever', 'diarrhea', 'vomiting', 'atopic', 'dermatitis', 'pa']",15,1,2,negative,negative,Negative
2,74,the truth ufo fever grip congress politico,neutral,positive,"['truth', 'ufo', 'fever', 'grip', 'congress', 'politico']",6,0,1,negative,negative,Neutral
3,75,patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis ..,neutral,positive,"['patient', 'year', 'old', 'boy', 'infancy', 'gt', 'oral', 'lesion', 'recurrent', 'fever', 'diarrhea', 'vomiting', 'atopic', 'dermatitis']",14,1,2,negative,negative,Negative
4,76,  spent valentine 's day huge fever headache fun  ,positive,positive,"['spent', 'valentine', 'day', 'huge', 'fever', 'headache', 'fun']",7,1,2,negative,negative,Negative
5,77,  burn  ca n't hold now you got nothing stop me i burn  swing want like fever take  ,neutral,positive,"['burn', 'ca', 'n', 'hold', 'got', 'nothing', 'stop', 'burn', 'swing', 'want', 'like', 'fever', 'take']",13,1,3,negative,negative,Neutral
6,78, condo property manager sick day developed persistent fever wks yet choice ,negative,negative,"['condo', 'property', 'manager', 'sick', 'day', 'developed', 'persistent', 'fever', 'wks', 'yet', 'choice']",11,0,2,negative,negative,Neutral
7,79,thank lee mergner marvelous wbgo interview new cd   fever peggy lee celebration    ,positive,positive,"['thank', 'lee', 'mergner', 'marvelous', 'wbgo', 'interview', 'new', 'cd', 'fever', 'peggy', 'lee', 'celebration']",12,3,1,positive,positive,Neutral
8,80,this warned   hemorhagic fever   similar ebola   they talking . stock c ,neutral,negative,"['warned', 'hemorhagic', 'fever', 'similar', 'ebola', 'talking', 'stock', 'c']",8,0,2,negative,negative,Neutral
9,81,feeling kaafi sick rn fever killing,negative,negative,"['feeling', 'kaafi', 'sick', 'rn', 'fever', 'killing']",6,0,3,negative,negative,Negative
