,id,Time,Tweet,tags,pre,words
0,1578527198734065664,2023-02-13 17:09:44+00:00,b'runny nose tear eyes fever headache loss of appetite chills nausea\nidk how im functioning at work',fever,b runny nose tear eyes fever headache loss of appetite chills nausea nidk how im functioning at work,"['b', 'runny', 'nose', 'tear', 'eyes', 'fever', 'headache', 'loss', 'of', 'appetite', 'chills', 'nausea', 'nidk', 'how', 'im', 'functioning', 'at', 'work']"
1,49049956,2023-02-13 15:34:08+00:00,"b'@katkinneywrites i have hot/cold sometimes. usually cold means things are turning around, like a fever breaking. so... https://t.co/h1vvxvkitf'",fever,b i have hot cold sometimes usually cold means things are turning around like a fever breaking so,"['b', 'i', 'have', 'hot', 'cold', 'sometimes', 'usually', 'cold', 'means', 'things', 'are', 'turning', 'around', 'like', 'a', 'fever', 'breaking', 'so']"
2,92341784,2023-02-13 13:57:31+00:00,"b'cytomegalovirus colitis - complication when cd4 &lt;50 cells/microl; s/s: nausea, fever, abd pain, diarrhea, hemorrhag... https://t.co/guff67xami'",fever,b cytomegalovirus colitis complication when cd4 lt 50 cells microl s s nausea fever abd pain diarrhea hemorrhag,"['b', 'cytomegalovirus', 'colitis', 'complication', 'when', 'cd4', 'lt', '50', 'cells', 'microl', 's', 's', 'nausea', 'fever', 'abd', 'pain', 'diarrhea', 'hemorrhag']"
3,1179433528687239173,2023-02-13 11:38:54+00:00,b'@fatalkci l know otli and matli for nausea and vomiting. \nsar-me-darad for headache.\nbukhar for fever.\ntakleef or d... https://t.co/3p0qkakgmb',fever,b l know otli and matli for nausea and vomiting nsar me darad for headache nbukhar for fever ntakleef or d,"['b', 'l', 'know', 'otli', 'and', 'matli', 'for', 'nausea', 'and', 'vomiting', 'nsar', 'me', 'darad', 'for', 'headache', 'nbukhar', 'for', 'fever', 'ntakleef', 'or', 'd']"
4,856681920,2023-02-13 01:57:45+00:00,b'went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days. pls send help ;-;',fever,b went from a fever to a cough to a sore throat to a flu to perma sneezing to nosebleeds to nausea in the span of 5 days pls send help,"['b', 'went', 'from', 'a', 'fever', 'to', 'a', 'cough', 'to', 'a', 'sore', 'throat', 'to', 'a', 'flu', 'to', 'perma', 'sneezing', 'to', 'nosebleeds', 'to', 'nausea', 'in', 'the', 'span', 'of', '5', 'days', 'pls', 'send', 'help']"
5,17979526,2023-02-13 00:59:52+00:00,b'the initial sick day of covid was absolutely brutal and this 8-days-later fever and nausea is killing me today. what a weird fucking disease',fever,b the initial sick day of covid was absolutely brutal and this 8 days later fever and nausea is killing me today what a weird fucking disease,"['b', 'the', 'initial', 'sick', 'day', 'of', 'covid', 'was', 'absolutely', 'brutal', 'and', 'this', '8', 'days', 'later', 'fever', 'and', 'nausea', 'is', 'killing', 'me', 'today', 'what', 'a', 'weird', 'fucking', 'disease']"
6,1170795830,2023-02-12 17:16:21+00:00,b'rt @bornmiserable: disco fever.  disco nausea.  disco stomach cramps.  you have died of disco dysentery.',fever,b rt disco fever disco nausea disco stomach cramps you have died of disco dysentery,"['b', 'rt', 'disco', 'fever', 'disco', 'nausea', 'disco', 'stomach', 'cramps', 'you', 'have', 'died', 'of', 'disco', 'dysentery']"
7,927943576943607808,2023-02-12 16:52:01+00:00,b'fever and flu starting thursday tonight ; feeling nausea',fever,b fever and flu starting thursday tonight feeling nausea,"['b', 'fever', 'and', 'flu', 'starting', 'thursday', 'tonight', 'feeling', 'nausea']"
8,1581382109595422723,2023-02-12 16:06:33+00:00,b'        i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code?',fever,b i may have a fever or so but between the nausea and everyone talking about babies is there any encrypted code,"['b', 'i', 'may', 'have', 'a', 'fever', 'or', 'so', 'but', 'between', 'the', 'nausea', 'and', 'everyone', 'talking', 'about', 'babies', 'is', 'there', 'any', 'encrypted', 'code']"
9,910215892222521346,2023-02-12 15:39:09+00:00,"b'also; vomiting, nausea, diarrhoea, shaking of peripheries, dyspnea, fever etc https://t.co/g3k7l8eeba'",fever,b also vomiting nausea diarrhoea shaking of peripheries dyspnea fever etc,"['b', 'also', 'vomiting', 'nausea', 'diarrhoea', 'shaking', 'of', 'peripheries', 'dyspnea', 'fever', 'etc']"
