,Tweet,Flag,Tags,prep
0,"b'Coba cek ini, deh: ""SKINTIFIC Best Seller Repair Barrier Travel Size Skincare Set 4PCS - 5x travel set"" Rp145.000 d\xe2\x80\xa6 https://t.co/ZZVAHUNqs1'",1,Skincare,coba cek ini deh skintif seller repair barrier travel size skincar set pc travel set rp xe xa http zzvahunq
1,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare,rt ebbahboh xe xb xad xe xb xe xb xb xe xb xe xb xaa xe xb xe xb xa xe xb xe xb xe xb xaa xe xb xa skincar xe xb xe xb xe xb basic xe xb xe xb xb xe xb xe xb xe xb xb xe xb xe xb xe xb xe xb xe xb xe xb xe xb xe xb xe xb xe xb xad xe xb xe xb xb xe xb xe xb xe xb xe xb xad xe xb xe xb xe xb xe xb xe xb xa xe xb xe xb xe xb xe xb xe xb xe xb xa xe xb xa xf xf xbb xf xf xbb xf xf xbb xf xf xbb xf xf xbb http ivnrizjvlv
2,b'@returnofprince2 This is like saying diabetes and fried foods isn\xe2\x80\x99t synonymous',1,diabetes,returnofprinc like diabet fri food isn xe synonym
3,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare,rt kpop herald cha eun woo offclastro name face dior beauti captur total anti age skincar line bran xe xa
4,"b'RT @GoSatvik: What concerns me today is the increasing rates of autism, t1 diabetes, asthma, allergies, leukemia and autoimmune diseases in\xe2\x80\xa6'",1,asthma,rt gosatvik concern today increas rate autism diabet asthma allergi leukemia autoimmun diseas xe xa
5,"b""RT @gemmasbeadery: urgent : trans woman needs insulin!  \nY'all I have type 1 Diabetes and my student health insurance plan just changed. Th\xe2\x80\xa6""",1,Diabetes,rt gemmasbeaderi urgent tran woman insulin ny type diabet student health insur plan chang xe xa
6,"b'@Askrlfess Gue pendek 155cm dapet calon suami 179cm \xf0\x9f\xa4\xaa menggemaskan bukan? Gue mah invest di skincare, kepribadian, emas wkwkwk'",1,skincare,askrlfess gue pendek cm dapet calon suami cm xf xa xaa menggemaskan bukan gue mah invest di skincar kepribadian ema wkwkwk
7,b'@memefess Diabetes hehe',1,Diabetes,memefess diabet hehe
8,b'other ~\nstudy 30m daily\nskincare daily\ntoothcare twice daily\nroom clean always\nbe on time\ntry ST again\nfocus on creating again',1,skincare,nstudi daili nskincar daili ntoothcar daili nroom clean nbe time ntri st nfocu creat
9,"b'RT @exogrowlnation: anua.skincare_id Instagram Reel:\n\n""Perfect couple of EXO SUHO\'s favourite Heartleaf Toner\xf0\x9f\x92\x93\nHeartleaf 80% Soothing Serum\xe2\x80\xa6'",1,skincare,rt exogrowln anua skincar instagram reel perfect coupl exo suho favourit heartleaf toner xf nheartleaf sooth serum xe xa
